 	okomba	est	un	grand	imitateur	du	président	</S>
a15	0.298706	0.189284	0.156534	0.162621	0.112935	0.0414399	0.0212084	0.0172715
a66	0.375614	0.215151	0.171216	0.150491	0.0463614	0.0170507	0.0109551	0.0131604
a87	0.567982	0.272547	0.101026	0.0315715	0.00951897	0.00425191	0.00436125	0.00874162
a23	0.573073	0.295764	0.0959693	0.0212055	0.00459236	0.0020341	0.00231353	0.00504803
a30	0.561249	0.263314	0.0952019	0.0283788	0.00872849	0.0083197	0.0124969	0.0223112
a13	0.601808	0.19738	0.0819898	0.0396441	0.0184296	0.0157724	0.0190583	0.0259172
a57	0.541021	0.148878	0.0922159	0.0771188	0.0508651	0.0324149	0.0275844	0.0299014
a53	0.53217	0.146599	0.0860489	0.0826184	0.0595449	0.0345803	0.0282417	0.030197
a94	0.204243	0.118524	0.150289	0.173899	0.140127	0.0928007	0.064851	0.055266
a98	0.104189	0.118222	0.196554	0.228346	0.170158	0.0916038	0.055566	0.0353612
a6	0.0479197	0.0600708	0.127002	0.239776	0.273074	0.143583	0.0682753	0.0402994
a79	0.0880389	0.093017	0.143893	0.194731	0.203324	0.133602	0.0829759	0.0604179
a94	0.0907511	0.105108	0.152526	0.19297	0.201234	0.125567	0.0754481	0.0563959
a34	0.162335	0.165226	0.195181	0.193728	0.135316	0.0672686	0.0445477	0.0363977
a61	0.176579	0.163907	0.20038	0.21736	0.12437	0.0466781	0.0342703	0.0364559
a0	0.127401	0.101636	0.124706	0.209381	0.203297	0.0867199	0.0671077	0.0797515
a11	0.095747	0.0713206	0.0837318	0.140646	0.216828	0.135819	0.114713	0.141195
a93	0.131898	0.0851249	0.0815784	0.0908334	0.136516	0.127983	0.135036	0.21103
a4	0.0716917	0.0499921	0.0561543	0.0741759	0.146548	0.195085	0.192692	0.213661
a13	0.0469902	0.032758	0.0351453	0.0370385	0.0696785	0.176807	0.271883	0.3297
a57	0.070037	0.0378218	0.026594	0.0226611	0.0352996	0.0837443	0.227337	0.496506
a53	0.0942664	0.0473714	0.0384416	0.039348	0.0659001	0.087492	0.195051	0.432129
a93	0.019594	0.0129474	0.0124622	0.0122746	0.0267712	0.0968026	0.289017	0.530131
a70	0.00383298	0.00237723	0.00207442	0.00216107	0.00600348	0.0338249	0.206654	0.743072
a90	0.00297628	0.00147478	0.00115415	0.00151778	0.00551481	0.0277563	0.186805	0.772801
a92	0.00134412	0.000697884	0.000597058	0.000990386	0.00535205	0.0328212	0.191733	0.766465
a37	0.00148621	0.000818092	0.000749271	0.00160353	0.00819783	0.039941	0.180417	0.766787
a5	0.00100667	0.000488194	0.000391402	0.000886485	0.00478799	0.0322092	0.207416	0.752814
a18	0.0015682	0.000727056	0.000683962	0.00214958	0.0112552	0.0527192	0.233529	0.697367
a27	0.0271171	0.0113856	0.0146362	0.023613	0.0566596	0.121694	0.285573	0.459321
a25	0.243381	0.110608	0.0920349	0.0878649	0.0890694	0.0996424	0.128983	0.148416
a87	0.251833	0.135212	0.089183	0.0603783	0.0674526	0.0849947	0.121022	0.189924
a23	0.26737	0.170478	0.119322	0.0669714	0.0507455	0.054824	0.0926901	0.177599
a87	0.177838	0.198442	0.131605	0.064739	0.0427203	0.0541548	0.11285	0.217651
</S>	0.0443737	0.0382698	0.0287724	0.0205264	0.0391071	0.094515	0.221949	0.512487
