 	il	est	très	brouillon	</S>
a23	0.255782	0.15945	0.191299	0.217083	0.176386
a87	0.297259	0.153373	0.146687	0.209287	0.193393
a10	0.391322	0.17432	0.13552	0.156988	0.14185
a30	0.150583	0.0735755	0.0864196	0.293241	0.396181
a53	0.17057	0.0735621	0.0820714	0.281696	0.392101
a15	0.193863	0.117454	0.101654	0.249555	0.337473
a44	0.37086	0.208286	0.116592	0.157391	0.146871
a84	0.390597	0.22337	0.135356	0.135985	0.114692
a75	0.29832	0.22972	0.176481	0.172111	0.123368
a61	0.202837	0.222449	0.216452	0.196727	0.161535
a75	0.169666	0.197906	0.232581	0.230977	0.168871
a73	0.139129	0.174222	0.225864	0.254575	0.20621
a7	0.132201	0.171752	0.252479	0.242306	0.201262
a11	0.070229	0.108912	0.222236	0.291387	0.307236
a75	0.0291612	0.0487375	0.150662	0.323209	0.448231
a30	0.0491389	0.0811163	0.200003	0.257464	0.412277
a2	0.0354794	0.0601605	0.178864	0.262116	0.46338
a57	0.0182532	0.034323	0.153327	0.223564	0.570533
a10	0.0257129	0.0298593	0.0892211	0.26673	0.588476
</S>	0.0629421	0.0604272	0.145272	0.288831	0.442528
