 	il	bascula	en	arrière	</S>
a23	0.805982	0.0897211	0.02619	0.0363301	0.0417767
a53	0.755773	0.176454	0.0281281	0.0172319	0.0224138
a20	0.544492	0.166484	0.0776644	0.0963709	0.114988
a7	0.531678	0.268414	0.0968358	0.0652443	0.0378284
a2	0.542592	0.275189	0.0687991	0.0566955	0.0567241
a75	0.377742	0.288906	0.122158	0.0990915	0.112103
a92	0.140365	0.154396	0.198242	0.248428	0.258569
a12	0.132144	0.104191	0.176418	0.267959	0.319288
a75	0.352261	0.195736	0.132097	0.148202	0.171703
a25	0.21321	0.125239	0.145478	0.235977	0.280097
a56	0.131452	0.0846085	0.154649	0.282112	0.347178
a93	0.122576	0.101991	0.174161	0.24318	0.358092
a90	0.0571177	0.0777614	0.257583	0.291646	0.315891
a4	0.0239354	0.0339632	0.128977	0.340019	0.473105
a70	0.00581775	0.0100497	0.0687189	0.315692	0.599722
a53	0.00276339	0.00522723	0.0379426	0.24981	0.704257
a4	0.00247187	0.00499095	0.0292498	0.227983	0.735304
a58	0.0014902	0.00310781	0.023981	0.240863	0.730558
a82	0.00318251	0.00422475	0.025284	0.23557	0.731739
a87	0.0351417	0.026281	0.0584233	0.226127	0.654027
a23	0.488711	0.199572	0.0738191	0.0915106	0.146387
a87	0.0723117	0.0821737	0.143723	0.344979	0.356812
</S>	0.0223494	0.0214128	0.0626957	0.315492	0.57805
