 	la	cigarette	cause	les	maladies	pulmonaires	</S>
a66	0.202771	0.163229	0.195944	0.279362	0.119706	0.026447	0.0125419
a87	0.412269	0.271153	0.146405	0.0946619	0.0429334	0.0169187	0.0156579
a23	0.406909	0.289017	0.13794	0.09245	0.0376325	0.015844	0.0202078
a83	0.417157	0.331799	0.105034	0.0737481	0.0390323	0.011965	0.0212644
a54	0.396025	0.262973	0.117261	0.121011	0.0439373	0.0227425	0.0360501
a6	0.319672	0.221266	0.135502	0.175299	0.0768585	0.0350581	0.0363454
a36	0.31411	0.198031	0.139002	0.192091	0.0787032	0.0365827	0.0414798
a21	0.221031	0.215905	0.164797	0.195857	0.102093	0.0480581	0.0522576
a12	0.149421	0.243056	0.185107	0.240138	0.119592	0.0332782	0.029409
a62	0.134777	0.214407	0.168085	0.212686	0.153158	0.066217	0.0506708
a88	0.102755	0.181733	0.171175	0.218422	0.172778	0.086527	0.0666093
a71	0.0839279	0.138576	0.156609	0.20242	0.218859	0.111579	0.0880295
a21	0.0769656	0.0972356	0.148408	0.202249	0.226844	0.134287	0.114011
a47	0.0738788	0.134272	0.179119	0.251928	0.201139	0.0912386	0.0684253
a88	0.0671647	0.113643	0.175232	0.23368	0.243071	0.101462	0.0657472
a53	0.0437041	0.0711237	0.117465	0.192454	0.299945	0.165848	0.109461
a90	0.0408908	0.057935	0.0979212	0.172682	0.245892	0.202632	0.182046
a56	0.0335038	0.04292	0.0770913	0.148893	0.238258	0.233653	0.225681
a34	0.0263902	0.0296762	0.0511198	0.102004	0.207113	0.30258	0.281117
a12	0.0145194	0.0172548	0.0265659	0.0536726	0.146092	0.392316	0.34958
a43	0.0104001	0.0108383	0.0157845	0.0280676	0.103073	0.387681	0.444156
a75	0.0058765	0.00502781	0.00729491	0.0113651	0.0552567	0.340362	0.574817
a47	0.00175996	0.00202984	0.00304173	0.00637705	0.0382845	0.284186	0.664321
a15	0.000723243	0.000721543	0.00100376	0.00194414	0.0195382	0.271224	0.704845
a7	0.00133155	0.000782928	0.000988632	0.00114882	0.00899374	0.178363	0.808391
a44	0.00187382	0.000935055	0.00120888	0.00115706	0.00873832	0.192406	0.793681
a7	0.00104338	0.000650212	0.00078775	0.000718206	0.00535793	0.166847	0.824595
a84	0.00106161	0.000822931	0.00100855	0.000937896	0.00644327	0.163858	0.825868
a57	0.036491	0.0204248	0.0205629	0.0189257	0.0633284	0.323571	0.516697
a87	0.258299	0.131052	0.078518	0.0503533	0.0657538	0.176945	0.239079
a23	0.32164	0.166191	0.108332	0.0705933	0.0747772	0.13049	0.127976
a87	0.172928	0.0751533	0.0594354	0.0273522	0.0633881	0.181505	0.420238
a97	0.0382814	0.0216759	0.0194838	0.0128146	0.0527753	0.159097	0.695872
</S>	0.0830801	0.0713976	0.078733	0.0528762	0.0982559	0.116636	0.499022
