 	l'	affaire	est	terminée	ils	se	sont	réunis	pour	discuter	de	l'	affaire	</S>
a87	0.213713	0.135823	0.102617	0.0563605	0.0260544	0.0228869	0.0209516	0.0203538	0.0268975	0.0416086	0.0528062	0.0790387	0.100375	0.100514
a23	0.104879	0.0706395	0.0370978	0.0319561	0.0377821	0.0446228	0.0560608	0.0646096	0.0702471	0.0879635	0.0902048	0.0976243	0.108224	0.0980888
a62	0.227175	0.177447	0.0926011	0.0593908	0.0334665	0.0225782	0.0221572	0.0210478	0.024834	0.0432606	0.0536469	0.0634251	0.0799735	0.0789967
a94	0.376732	0.223298	0.175005	0.108103	0.0348592	0.0162849	0.0104078	0.00868502	0.00864199	0.00922366	0.00815324	0.00795278	0.0063485	0.00630435
a44	0.398104	0.238347	0.163229	0.0986364	0.0372648	0.0141694	0.00784162	0.00606927	0.00487666	0.00523986	0.00554431	0.00657618	0.00702106	0.00708052
a35	0.243905	0.199392	0.194293	0.146818	0.0688596	0.0300588	0.0200636	0.0152075	0.0122769	0.0127336	0.0135932	0.0137994	0.0152849	0.0137136
a24	0.202153	0.18129	0.184131	0.143533	0.0805035	0.0389627	0.0295631	0.0241535	0.0199212	0.0211126	0.020935	0.0189225	0.0190005	0.0158186
a61	0.121624	0.115624	0.138739	0.144174	0.133828	0.0798668	0.0628137	0.050816	0.0390858	0.0342094	0.0259199	0.0200908	0.0174521	0.0157568
a24	0.0852282	0.0913282	0.106834	0.130918	0.162063	0.110382	0.0845844	0.0647465	0.0474055	0.0364397	0.0265472	0.0198952	0.0174496	0.016179
a43	0.0770273	0.090389	0.102988	0.125792	0.158778	0.112977	0.0875282	0.0685699	0.0511591	0.0385168	0.0273291	0.0205933	0.0187756	0.0195766
a32	0.0434231	0.0543154	0.0719161	0.0947166	0.162152	0.137342	0.107157	0.0841288	0.0655532	0.0563205	0.0374225	0.0283916	0.0264732	0.0306876
a26	0.0398888	0.0469196	0.0621099	0.0799982	0.127958	0.122218	0.108509	0.0977544	0.0870039	0.077982	0.0486272	0.0354139	0.0311414	0.0344766
a41	0.044081	0.0440291	0.0568565	0.0716603	0.103453	0.108523	0.102629	0.0987577	0.0935711	0.0936141	0.0610746	0.0451212	0.0369599	0.0396696
a14	0.0441835	0.0409341	0.0564509	0.0745524	0.105669	0.106066	0.0909419	0.0949377	0.0957958	0.0959852	0.0652375	0.0476384	0.0395694	0.0420381
a30	0.0434227	0.0442057	0.0602316	0.0742085	0.0986798	0.0941518	0.0835283	0.0906089	0.0971453	0.103711	0.0752222	0.0529751	0.0402501	0.0416588
