 	son	nez	est	bouché	</S>
a23	0.388763	0.230259	0.163895	0.121789	0.0952937
a87	0.491257	0.208368	0.117925	0.0922805	0.0901691
a23	0.476781	0.246263	0.110293	0.0843889	0.0822736
a13	0.530879	0.182413	0.0850247	0.0873717	0.114312
a20	0.565462	0.199685	0.103316	0.0696033	0.0619344
a73	0.533255	0.242097	0.11737	0.0617081	0.0455704
a26	0.519174	0.293243	0.114095	0.0429694	0.0305186
a84	0.454028	0.290143	0.140245	0.0615146	0.054069
a38	0.273638	0.277021	0.237329	0.115904	0.0961084
a24	0.297364	0.277972	0.22181	0.107418	0.0954358
a61	0.328225	0.257856	0.223638	0.105249	0.0850314
a83	0.254955	0.26659	0.262354	0.130034	0.0860667
a41	0.221242	0.230654	0.259009	0.164701	0.124395
a61	0.224134	0.23358	0.252739	0.159418	0.13013
a32	0.157725	0.186678	0.254818	0.216019	0.184759
a61	0.114715	0.14046	0.232225	0.256243	0.256358
a88	0.0819117	0.103158	0.200777	0.291612	0.322542
a71	0.0508084	0.0567047	0.13116	0.308159	0.453168
a38	0.0557486	0.0550972	0.134917	0.280051	0.474186
a26	0.0174747	0.0178372	0.0852561	0.26469	0.614742
a61	0.0182064	0.0184825	0.068611	0.22866	0.66604
a83	0.013367	0.0122225	0.0506015	0.219298	0.704511
a75	0.0160745	0.0158005	0.0569354	0.217158	0.694032
a41	0.00783559	0.0088207	0.0441389	0.236325	0.70288
a61	0.0065358	0.00710968	0.0401477	0.216123	0.730084
a32	0.00780292	0.00791942	0.0373923	0.199606	0.747279
a0	0.0087171	0.0076548	0.0348428	0.197816	0.75097
a62	0.0138712	0.0121635	0.0448873	0.195312	0.733766
a83	0.0143374	0.0113249	0.0388044	0.185943	0.74959
a75	0.0122391	0.010941	0.0405281	0.191785	0.744506
a36	0.0107497	0.0100985	0.0426331	0.218127	0.718391
a26	0.0118507	0.0118119	0.0444606	0.192917	0.73896
a57	0.0150928	0.0134441	0.0427552	0.183502	0.745205
a87	0.0239676	0.0191156	0.0393372	0.175389	0.742191
</S>	0.0465812	0.0357403	0.0623465	0.188961	0.666371
