 	j'	aime	mieux	les	bananes	douces	que	les	bananes	à	cuire	</S>
a23	0.282277	0.13655	0.0563231	0.0394214	0.0335799	0.0287987	0.0274854	0.0443729	0.0582515	0.0836363	0.111082	0.098221
a4	0.228571	0.111652	0.0372969	0.0237424	0.0259893	0.0434742	0.0655742	0.0640875	0.0690439	0.0990477	0.117592	0.113929
a75	0.400225	0.207576	0.0485627	0.0418297	0.0799767	0.0888399	0.04761	0.0230998	0.0171028	0.0137337	0.0131149	0.0183286
a14	0.397981	0.250079	0.0858965	0.0785521	0.0772801	0.0568207	0.0212372	0.0094563	0.00672926	0.0052775	0.00515694	0.00553339
a35	0.273494	0.204285	0.0968386	0.112901	0.112689	0.0924524	0.0443493	0.0213868	0.0141129	0.0104065	0.00883721	0.0082476
a24	0.157979	0.152218	0.141556	0.154673	0.128276	0.0949041	0.0635933	0.0361074	0.0239442	0.0166902	0.0146038	0.0154534
a71	0.124307	0.121394	0.139071	0.155632	0.144952	0.121711	0.075099	0.0388589	0.0252738	0.0182953	0.0166469	0.0187607
a62	0.111454	0.108258	0.120243	0.135714	0.131271	0.131601	0.109541	0.0522083	0.0279502	0.0208504	0.0229642	0.027945
a98	0.0780899	0.0743992	0.0898243	0.121904	0.131886	0.162169	0.156408	0.0724785	0.0352301	0.0227954	0.0240335	0.0307817
a75	0.0890871	0.0870107	0.102602	0.123912	0.135817	0.155654	0.141508	0.0676868	0.0339763	0.0201227	0.0198504	0.0227717
a14	0.0664972	0.0637583	0.0718962	0.0947318	0.122484	0.157505	0.150685	0.0853339	0.0575092	0.0416347	0.0396645	0.0483004
a41	0.0595	0.0591569	0.061917	0.0726254	0.0984538	0.1121	0.13733	0.101424	0.0773921	0.0668936	0.0721738	0.0810338
a26	0.0394469	0.0387204	0.041615	0.0561937	0.0877993	0.112025	0.144854	0.109157	0.0966024	0.0898709	0.0855372	0.0981793
a84	0.0257908	0.0234075	0.021541	0.0259106	0.0406116	0.0635505	0.132561	0.153073	0.130709	0.108359	0.122464	0.152022
a38	0.0193739	0.0157513	0.0119744	0.0124538	0.0213942	0.0359238	0.105841	0.190666	0.197775	0.132377	0.119456	0.137013
a90	0.0256321	0.0203811	0.0161039	0.0214801	0.0368759	0.0499755	0.106782	0.17505	0.166734	0.127776	0.120887	0.132322
a53	0.052734	0.0415643	0.0325781	0.0443627	0.073232	0.0921791	0.108412	0.121457	0.119887	0.103514	0.0991853	0.110894
a69	0.0460482	0.0356036	0.0288038	0.0352715	0.0522535	0.0764958	0.0829814	0.0915068	0.120922	0.131426	0.135549	0.163138
a58	0.0362067	0.026904	0.0201865	0.0267908	0.0471388	0.0858169	0.0896448	0.0859287	0.113324	0.133608	0.146067	0.188384
a82	0.0489882	0.0315989	0.0200457	0.026328	0.0444726	0.0608234	0.083776	0.0859364	0.110264	0.132203	0.15467	0.200893
a83	0.0692538	0.0350635	0.0198722	0.0210494	0.0320191	0.0327506	0.0458381	0.0581858	0.0943611	0.131643	0.172379	0.287585
a9	0.0955247	0.050735	0.0286752	0.0380673	0.0504775	0.0693531	0.074426	0.0620039	0.0720339	0.0930307	0.124487	0.241186
a38	0.0680267	0.0362239	0.0200541	0.0258519	0.0361964	0.0443239	0.0548024	0.0541338	0.0771979	0.124481	0.160171	0.298537
a21	0.0842231	0.0461921	0.0261012	0.0371138	0.0545835	0.063464	0.0656312	0.056884	0.0718006	0.101938	0.136373	0.255695
a96	0.0354201	0.0261837	0.0221461	0.0327153	0.0399413	0.0399775	0.0363934	0.0387864	0.0609887	0.0976305	0.180465	0.389352
a98	0.0180792	0.012404	0.00991565	0.0120591	0.0153156	0.0178927	0.0239571	0.0301157	0.0561562	0.126438	0.225603	0.452063
a61	0.0149157	0.00988223	0.00772361	0.0105398	0.017502	0.0232701	0.0272454	0.0301845	0.0475045	0.105799	0.218651	0.486782
a21	0.0137768	0.00999325	0.00846324	0.0115114	0.0161648	0.0169875	0.0227644	0.0273251	0.0496609	0.1058	0.209459	0.508093
a85	0.0113297	0.00800935	0.00704188	0.00942608	0.0154745	0.0168756	0.0210939	0.0260012	0.0468251	0.101281	0.212712	0.523929
a73	0.00714919	0.00529673	0.0047335	0.00693177	0.0115887	0.0161034	0.0183926	0.0231373	0.0444213	0.110275	0.237472	0.514498
a44	0.00464946	0.00345443	0.0030286	0.0049501	0.0107327	0.0155912	0.0224035	0.0274708	0.0463272	0.112225	0.229449	0.519718
a84	0.00262633	0.00199626	0.00171509	0.00274704	0.00624346	0.00836275	0.0160279	0.0241062	0.0436593	0.101808	0.223601	0.567106
a58	0.000729546	0.000528781	0.000422921	0.000726175	0.00145956	0.00230931	0.00453279	0.00881277	0.026031	0.0872332	0.205192	0.662022
a4	0.00136922	0.000718718	0.0004948	0.000799104	0.00107665	0.0016131	0.0035752	0.00726295	0.0242424	0.0986684	0.236522	0.623658
a57	0.000985151	0.000473899	0.000285015	0.000509081	0.000728864	0.0013444	0.00375565	0.00925729	0.0272735	0.10462	0.249268	0.601499
a82	0.00158147	0.000721719	0.000409636	0.000608999	0.000867987	0.00146889	0.00458171	0.0113896	0.0338957	0.115382	0.247592	0.5815
a87	0.00538164	0.00207604	0.00122318	0.00188037	0.00197192	0.00379597	0.0121361	0.0260461	0.0606727	0.13776	0.252729	0.494327
</S>	0.0430371	0.0173717	0.008989	0.0125635	0.00803995	0.0109755	0.0250023	0.041349	0.0791825	0.151542	0.24033	0.361618
