 	ne	bouge	pas	</S>
a23	0.581567	0.165662	0.123319	0.129451
a79	0.662046	0.133539	0.108598	0.0958169
a94	0.525524	0.192583	0.139519	0.142373
a56	0.77536	0.140947	0.0510429	0.0326498
a44	0.808331	0.133323	0.0354735	0.0228726
a11	0.5622	0.258943	0.106401	0.0724562
a0	0.346902	0.315278	0.189253	0.148567
a75	0.173535	0.260866	0.272279	0.293319
a85	0.222691	0.27765	0.261392	0.238268
a36	0.124885	0.265024	0.304309	0.305782
a2	0.0451978	0.13407	0.364445	0.456287
a40	0.0128684	0.0585514	0.321396	0.607185
a85	0.0429997	0.134974	0.365543	0.456484
a47	0.0393332	0.125164	0.368182	0.467321
a36	0.0223599	0.0993403	0.378947	0.499353
a2	0.0292791	0.0988929	0.333968	0.53786
a57	0.106536	0.109403	0.259902	0.524159
a87	0.404216	0.14536	0.194715	0.255709
a23	0.375017	0.189747	0.198565	0.236671
a87	0.444113	0.192588	0.191109	0.17219
</S>	0.132547	0.138242	0.318113	0.411098
