 	l'	enfant	s'	est	accroupi	pour	faire	des	selles	</S>
a66	0.200022	0.186302	0.228337	0.184347	0.136495	0.0286659	0.0148407	0.00828649	0.0062091	0.00649447
a87	0.4462	0.197243	0.122008	0.0714197	0.0485974	0.023108	0.0144735	0.0195958	0.0259206	0.031434
a23	0.414291	0.219801	0.135207	0.0634824	0.0454441	0.0187096	0.0167387	0.0214754	0.0271243	0.0377272
a53	0.296915	0.118751	0.0853541	0.0473359	0.0609819	0.0364223	0.0407098	0.0815124	0.0925539	0.139464
a7	0.342245	0.163677	0.156062	0.109621	0.0753816	0.0367283	0.0288548	0.0323626	0.0258652	0.0292024
a37	0.22923	0.15326	0.182324	0.216002	0.1478	0.027901	0.0125626	0.0135942	0.00832406	0.00900287
a36	0.203451	0.154913	0.164269	0.208308	0.157035	0.0518032	0.0233063	0.0194326	0.00894425	0.00853741
a37	0.170622	0.136183	0.143122	0.178171	0.178969	0.0849534	0.0446281	0.0315238	0.0170617	0.014765
a61	0.115109	0.122518	0.12527	0.19366	0.232816	0.114773	0.0405723	0.0243492	0.0157038	0.0152285
a31	0.110705	0.12212	0.125678	0.187075	0.232452	0.118261	0.0394218	0.0247111	0.0193836	0.0201935
a0	0.0979256	0.11755	0.110036	0.187694	0.235124	0.126275	0.0429086	0.0282054	0.0249834	0.0292971
a75	0.0531864	0.074525	0.0804426	0.141079	0.275933	0.202966	0.0713655	0.0388814	0.0310641	0.0305568
a5	0.0214979	0.0356273	0.0484955	0.0957233	0.22194	0.145024	0.113496	0.115679	0.0967358	0.105781
a36	0.034616	0.051939	0.062685	0.11194	0.22273	0.17101	0.098239	0.0763904	0.076347	0.094103
a27	0.0250686	0.0328714	0.0352894	0.0541098	0.174895	0.212309	0.142446	0.0954172	0.101915	0.125679
a12	0.0210054	0.0256715	0.0212105	0.0214641	0.0918126	0.125965	0.159027	0.171529	0.173468	0.188848
a62	0.0240579	0.02974	0.0318829	0.052323	0.122862	0.16361	0.191082	0.139208	0.110041	0.135194
a88	0.00938284	0.0118702	0.0130842	0.0237719	0.0851425	0.114253	0.212672	0.225877	0.149546	0.1544
a62	0.00313732	0.00384513	0.00396834	0.00600361	0.0312599	0.0523465	0.151559	0.26699	0.242888	0.238002
a88	0.00250446	0.00318518	0.0035738	0.00719564	0.0342976	0.0520986	0.147002	0.289678	0.246328	0.214136
a94	0.000575994	0.000721455	0.000770301	0.00134936	0.00779105	0.0160826	0.0665883	0.204838	0.316018	0.385265
a54	0.000330519	0.000431371	0.000419928	0.000711653	0.00417051	0.0105576	0.0451532	0.157982	0.322791	0.457453
a6	0.000126194	0.000150103	0.000137718	0.000274314	0.0017827	0.00602787	0.0289789	0.126919	0.324274	0.511329
a36	8.94737e-05	0.000109531	8.49174e-05	0.000162392	0.00104505	0.00432361	0.0243432	0.120657	0.349017	0.500168
a26	0.000159862	0.000155977	0.000110422	0.000171893	0.000828908	0.00335953	0.0191589	0.0882065	0.289494	0.598354
a9	0.00578558	0.00420526	0.00261438	0.00355651	0.0110498	0.0253117	0.0605826	0.0964616	0.262159	0.528273
a87	0.117411	0.0626904	0.0391451	0.0391075	0.0482085	0.0669606	0.113222	0.114166	0.161084	0.238005
a23	0.324118	0.181434	0.11787	0.074523	0.0561176	0.0408998	0.0409792	0.0429268	0.0498444	0.0712869
a87	0.161502	0.0778364	0.0279459	0.0164844	0.00798851	0.014515	0.0307907	0.09485	0.228186	0.339901
</S>	0.0129321	0.00711366	0.00330667	0.00277915	0.00384048	0.00998592	0.0357002	0.131362	0.333671	0.459308
