 	que	dieu	nous	donne	la	paix	du	coeur	</S>
a66	0.397233	0.228021	0.104348	0.0950633	0.061593	0.0514242	0.0261847	0.0201775	0.0159553
a87	0.392701	0.166604	0.0710756	0.0679463	0.0542859	0.0582761	0.0590133	0.0671518	0.0629454
a23	0.47831	0.144882	0.0583837	0.0416826	0.0359165	0.0418278	0.0498239	0.0693708	0.0798028
a99	0.382593	0.157532	0.105225	0.0620073	0.0392579	0.0534573	0.046467	0.0617571	0.0917038
a38	0.310695	0.166259	0.0944677	0.0493637	0.0395657	0.0589719	0.0568465	0.087729	0.136101
a54	0.345918	0.167445	0.0936339	0.0496718	0.0447711	0.0675631	0.0543585	0.0760761	0.100562
a37	0.328619	0.219204	0.140719	0.0835104	0.0612864	0.0708525	0.0336353	0.0317518	0.0304223
a12	0.238891	0.258162	0.178907	0.100501	0.0622728	0.0626844	0.030535	0.0344922	0.0335544
a36	0.0969964	0.183163	0.23114	0.183749	0.0947201	0.0744942	0.0434237	0.0455973	0.046716
a75	0.0647911	0.1413	0.229923	0.200742	0.0999909	0.0861923	0.0574933	0.058554	0.0610132
a47	0.0645775	0.147919	0.199624	0.160861	0.108416	0.096681	0.0671189	0.0777084	0.0770954
a36	0.0514878	0.112686	0.181503	0.162565	0.108632	0.102925	0.0752095	0.0985925	0.106398
a21	0.0485304	0.0637724	0.10144	0.130009	0.114899	0.124007	0.104624	0.14552	0.167197
a5	0.0271699	0.0478048	0.0978334	0.185659	0.171469	0.143748	0.109474	0.103652	0.113191
a43	0.0139395	0.0224045	0.0479072	0.132192	0.178656	0.172483	0.135708	0.136557	0.160153
a31	0.0115101	0.0208444	0.0456384	0.110745	0.188465	0.175966	0.143611	0.134758	0.168462
a43	0.00957839	0.0166073	0.0348346	0.0832086	0.166944	0.193335	0.177185	0.150264	0.168041
a75	0.00586296	0.00843173	0.0194428	0.0563737	0.125182	0.179184	0.203519	0.185967	0.216037
a21	0.00152673	0.00230541	0.00657641	0.0210707	0.0680744	0.128929	0.189319	0.23421	0.347989
a5	0.00226845	0.0025743	0.00553001	0.0156691	0.042238	0.0969438	0.203361	0.250433	0.380983
a43	0.000909409	0.00120258	0.00328353	0.0108477	0.0300562	0.0720242	0.177997	0.259254	0.444426
a56	0.000428202	0.000428509	0.000907817	0.00325248	0.0126156	0.0383718	0.128124	0.266668	0.549203
a93	0.000447412	0.000464021	0.000913854	0.0030339	0.0123444	0.0398405	0.134826	0.269472	0.538658
a70	0.00026245	0.00029833	0.000760144	0.0030571	0.0112366	0.0369477	0.127295	0.272141	0.548001
a66	0.000361464	0.000389826	0.000957036	0.0037299	0.013258	0.0387246	0.133171	0.278139	0.53127
a61	0.000642659	0.000597807	0.000994935	0.00305348	0.0116305	0.03478	0.148345	0.281986	0.51797
a47	0.000209718	0.000193421	0.000461795	0.00210038	0.00932467	0.0268815	0.114558	0.260572	0.585698
a96	0.000282489	0.000299362	0.000730695	0.00310897	0.0120612	0.0338257	0.12926	0.269489	0.550942
a18	0.000385877	0.00039111	0.000995498	0.00392914	0.0130503	0.0343947	0.133053	0.266766	0.547034
a38	0.000598104	0.000522718	0.00106215	0.00380138	0.0148251	0.0369502	0.137826	0.274552	0.529863
a82	0.0014002	0.0013794	0.00252252	0.00708309	0.0203227	0.045673	0.134462	0.26371	0.523447
a87	0.0254276	0.0160849	0.0176157	0.029861	0.0534029	0.0815423	0.136915	0.217053	0.422097
a97	0.268822	0.0812753	0.040551	0.0413517	0.0498894	0.064238	0.0998535	0.150826	0.203193
a87	0.1422	0.051769	0.024168	0.023353	0.0304826	0.0495029	0.117571	0.225713	0.33524
a97	0.10543	0.0390863	0.0188973	0.0228246	0.0410616	0.0682781	0.135336	0.23271	0.336376
a99	0.0647111	0.0263463	0.0154323	0.0298559	0.0571929	0.0905963	0.149213	0.235109	0.331543
a97	0.0361897	0.0179263	0.0151796	0.0345853	0.0625682	0.0970442	0.161826	0.243209	0.331472
</S>	0.0301248	0.0162937	0.0113767	0.0229174	0.0434376	0.0726831	0.145161	0.266685	0.39132
