 	le	petit	oiseau	enzembe	chantait	non	loin	de	la	champignonnière	où	nous	avons	ramassé	les	champignons	</S>
a87	0.0780456	0.0434459	0.0332889	0.0465654	0.0657876	0.087107	0.0709074	0.067972	0.077625	0.132397	0.107987	0.0651229	0.0415334	0.03745	0.0196557	0.0138986	0.0112101
a23	0.11918	0.0492093	0.0428009	0.0247305	0.0349463	0.034921	0.0297741	0.0245594	0.0269188	0.109476	0.0703506	0.068416	0.0835694	0.0779636	0.0665111	0.0683252	0.0683483
a62	0.14545	0.111644	0.110883	0.0481824	0.0283228	0.0197051	0.0213932	0.0177083	0.0213829	0.0404975	0.048894	0.0449997	0.0502764	0.0593679	0.0552722	0.0690798	0.106941
a47	0.379028	0.233524	0.11694	0.0322479	0.0205655	0.0169912	0.0152996	0.0163143	0.0148895	0.0234776	0.0275397	0.0220173	0.019438	0.0195847	0.0144332	0.0129218	0.0147877
a96	0.406435	0.257319	0.142983	0.0283707	0.0154301	0.0139401	0.0136482	0.0152549	0.0149684	0.0185842	0.0139191	0.0109512	0.00956467	0.00962297	0.00840094	0.00825226	0.0123549
a43	0.396354	0.261516	0.176013	0.0362379	0.0157836	0.0105808	0.0105199	0.0102074	0.0098491	0.0122928	0.00993782	0.00869432	0.0086355	0.01022	0.00833164	0.0068373	0.0079887
a21	0.30798	0.222261	0.198966	0.0739463	0.0299917	0.0142197	0.0137406	0.0122997	0.0120661	0.0178069	0.015809	0.0136551	0.0130662	0.0147492	0.0128519	0.0115258	0.0150646
a34	0.226876	0.200637	0.22696	0.120962	0.0499234	0.0260714	0.0245574	0.020129	0.0178503	0.0206977	0.0164279	0.0131764	0.0100991	0.00797856	0.00564002	0.00508393	0.00693056
a21	0.157461	0.163967	0.214662	0.158281	0.0694531	0.0340464	0.0312722	0.0231071	0.0198635	0.0234167	0.0200511	0.0169746	0.0140468	0.0118004	0.0106774	0.0117032	0.0192162
a61	0.154561	0.184514	0.212126	0.14784	0.0726834	0.0463052	0.0380335	0.0354206	0.0294333	0.0256117	0.0161767	0.0113313	0.00739691	0.00496323	0.00377467	0.00396953	0.0058601
a21	0.0578259	0.0862406	0.126808	0.19914	0.129577	0.077528	0.0661299	0.0550569	0.04718	0.0455426	0.0268374	0.0209267	0.0156055	0.0111283	0.00924646	0.0101264	0.0151011
a47	0.0670792	0.101294	0.136022	0.201113	0.134909	0.0774359	0.0617787	0.0665575	0.0530107	0.0431215	0.0184575	0.0127735	0.00797692	0.00510253	0.00387922	0.00405181	0.00543749
a31	0.0267687	0.0365222	0.0550327	0.159147	0.156663	0.107066	0.0950584	0.0907142	0.0795637	0.0794807	0.035429	0.0245131	0.0155426	0.010918	0.00766536	0.00823207	0.0116835
