 	celui-ci	est	mon	champ	celui-là	est	à	mon	oncle	</S>
a66	0.181509	0.130646	0.110929	0.107093	0.102612	0.0989799	0.0958459	0.0838423	0.0516516	0.0368911
a87	0.368785	0.195951	0.0872886	0.0718484	0.0694032	0.0693847	0.0564313	0.038688	0.0280929	0.0141272
a97	0.355636	0.216443	0.110572	0.112135	0.0950221	0.0492374	0.0285371	0.013938	0.010126	0.00835246
a87	0.281028	0.184759	0.11636	0.129699	0.112819	0.0633861	0.041571	0.0253987	0.0248117	0.0201672
a97	0.259322	0.186032	0.120523	0.135849	0.11896	0.0680083	0.0450622	0.0254528	0.0235826	0.0172078
a87	0.283328	0.171029	0.0997671	0.110775	0.111292	0.0736625	0.0550056	0.0351354	0.0345944	0.0254103
a97	0.299111	0.170214	0.0978135	0.102824	0.102024	0.0698864	0.0549311	0.0371098	0.0375466	0.0285387
a10	0.329928	0.167641	0.0873277	0.0826526	0.0828606	0.0628644	0.0569284	0.0444421	0.0481754	0.0371807
a97	0.360833	0.176685	0.0921992	0.0712726	0.0661715	0.0526415	0.0510604	0.0429407	0.0477535	0.0384423
a87	0.379753	0.177093	0.0839152	0.0669275	0.0620688	0.047331	0.0481484	0.0432327	0.0498964	0.0416344
a97	0.383879	0.158593	0.0776495	0.0701143	0.0656995	0.0505295	0.0496701	0.0449399	0.0547664	0.0441583
a99	0.381072	0.186635	0.0913747	0.0658211	0.0544083	0.0433212	0.0444269	0.041826	0.0503702	0.0407454
a50	0.302516	0.14664	0.101643	0.0906819	0.0614684	0.0564689	0.06323	0.0589749	0.0642142	0.054162
a62	0.173167	0.117611	0.13139	0.160372	0.0986561	0.0858637	0.0798701	0.064486	0.0480695	0.0405146
a96	0.21652	0.19181	0.175828	0.156758	0.0868265	0.0515663	0.0442501	0.0339754	0.0220808	0.0203847
a70	0.167504	0.179557	0.178377	0.166506	0.107589	0.0626371	0.0489101	0.0377105	0.0259495	0.02526
a93	0.118055	0.150805	0.174439	0.16728	0.136106	0.0822757	0.0574511	0.0456383	0.0350164	0.0329327
a70	0.0828895	0.116095	0.150367	0.169782	0.170585	0.101201	0.0671775	0.0538674	0.0457541	0.0422813
a54	0.0536279	0.0791072	0.115991	0.159812	0.198341	0.118443	0.0746473	0.0636749	0.0650214	0.0713344
a37	0.0865985	0.131187	0.173301	0.18682	0.161552	0.091491	0.0566072	0.0417434	0.0348706	0.0358299
a70	0.0441235	0.0622789	0.100121	0.179089	0.184927	0.124347	0.0853046	0.0686828	0.0673772	0.0837489
a54	0.0218398	0.0328056	0.0609209	0.153031	0.215869	0.150244	0.102001	0.0792428	0.0797859	0.10426
a36	0.0684093	0.0941137	0.145273	0.184794	0.163858	0.124651	0.0813947	0.0532271	0.0454038	0.0388754
a26	0.0191397	0.0204477	0.0405419	0.111986	0.12698	0.157361	0.141535	0.124631	0.115946	0.141431
a38	0.0111069	0.0109727	0.0228264	0.0722319	0.0834597	0.133607	0.134449	0.151852	0.158676	0.220818
a82	0.0102611	0.00890369	0.0156246	0.043474	0.0577692	0.111067	0.125697	0.17452	0.209174	0.24351
a57	0.0168886	0.0140048	0.0215051	0.0458893	0.0533311	0.0905575	0.101818	0.15655	0.251185	0.24827
a97	0.089855	0.0605087	0.0665058	0.0971654	0.070402	0.0924172	0.0893249	0.113865	0.162092	0.157864
a99	0.171956	0.113156	0.106918	0.125713	0.0827218	0.0875184	0.0761188	0.0739927	0.086697	0.0752086
a50	0.179133	0.12704	0.118187	0.147418	0.0694759	0.0684778	0.0628353	0.0618114	0.0753678	0.090253
a62	0.069318	0.0546002	0.0533512	0.0893229	0.0601008	0.0765824	0.0908097	0.110171	0.154162	0.241582
a12	0.00628892	0.00617707	0.00809259	0.0209745	0.0296659	0.0587578	0.0958977	0.167439	0.243152	0.363554
a41	0.00338674	0.00335442	0.00498999	0.0165326	0.0268244	0.0563002	0.0945785	0.167337	0.239174	0.387521
a56	0.00523159	0.00495213	0.00695122	0.0235816	0.0291094	0.0562185	0.0878166	0.160145	0.217816	0.408178
a96	0.00346781	0.00379148	0.00728957	0.0255163	0.0388669	0.0636512	0.0818109	0.150854	0.216917	0.407834
a93	0.0020073	0.00208691	0.00413673	0.0148209	0.0268244	0.0597003	0.0827114	0.16357	0.244101	0.400041
a70	0.0013388	0.00148377	0.00319325	0.0113221	0.0208295	0.0490989	0.068736	0.14193	0.250991	0.451077
a44	0.00103636	0.00107927	0.00232481	0.00835245	0.0176553	0.041421	0.0592682	0.133203	0.262138	0.473522
a70	0.000716894	0.000727555	0.00172028	0.00665075	0.01478	0.0385633	0.0524728	0.114668	0.257303	0.512398
a99	0.000906176	0.00083174	0.00170415	0.00543632	0.0105586	0.0273148	0.041753	0.10453	0.251626	0.55534
a13	0.000930352	0.00086383	0.00190429	0.00655758	0.0130948	0.0295377	0.0386254	0.0928902	0.242917	0.572679
a38	0.00146004	0.00138373	0.00271249	0.00711584	0.0113091	0.0232061	0.030305	0.0741399	0.228505	0.619863
a9	0.00303877	0.00255977	0.00426696	0.00964726	0.0131969	0.0250786	0.0315018	0.0750369	0.224435	0.611238
a3	0.0191364	0.0137844	0.0168883	0.0317011	0.0314268	0.0389227	0.0371299	0.0702336	0.208023	0.532754
a97	0.0945146	0.0588367	0.0475823	0.0701041	0.0605749	0.072767	0.0656701	0.0901858	0.157044	0.28272
a9	0.13508	0.0928549	0.0728607	0.0960426	0.0809092	0.103024	0.0902148	0.0959026	0.108854	0.124257
a97	0.128022	0.107108	0.107816	0.15369	0.109239	0.111204	0.0764013	0.0640624	0.0687953	0.0736607
a87	0.152333	0.12869	0.11654	0.161749	0.0918043	0.0907332	0.067086	0.0571939	0.0621441	0.0717273
a97	0.151941	0.137	0.123804	0.163959	0.0909048	0.0875512	0.0675292	0.0552205	0.0585753	0.0635146
</S>	0.169799	0.155168	0.140194	0.191963	0.0878919	0.0741515	0.0551675	0.0423463	0.0405455	0.0427742
