 	je	lui	ai	donné	un	coup	de	poing	dans	la	face	</S>
a66	0.209482	0.147021	0.12587	0.11061	0.0926954	0.0798136	0.0877422	0.0623321	0.0439024	0.0193187	0.0115908	0.00962121
a87	0.233208	0.138436	0.096488	0.0677608	0.0553158	0.0484609	0.0576721	0.0576765	0.0652534	0.0590597	0.0521232	0.068546
a10	0.226272	0.167394	0.136496	0.0858136	0.0549438	0.0444146	0.0411054	0.0547207	0.0364865	0.03818	0.0633967	0.0507775
a87	0.211973	0.174567	0.152132	0.0938518	0.0483527	0.038107	0.0321514	0.0407178	0.0322658	0.0403046	0.084324	0.0512528
a99	0.20661	0.162094	0.134573	0.0821232	0.0443217	0.036092	0.0325951	0.0439791	0.0390753	0.0510056	0.103214	0.0643172
a62	0.271389	0.169676	0.135232	0.0823632	0.051241	0.0447211	0.0430798	0.0638222	0.0413053	0.0372375	0.0378194	0.0221135
a96	0.307673	0.209303	0.16833	0.107446	0.0583904	0.0424562	0.0295259	0.0395067	0.0136699	0.00945793	0.00867481	0.00556633
a21	0.208417	0.17684	0.174252	0.131129	0.0873702	0.0685139	0.0457907	0.0538811	0.0208495	0.0141988	0.0118155	0.00694242
a56	0.162356	0.154709	0.166635	0.138804	0.107546	0.0913028	0.0611148	0.0624443	0.0239191	0.0144739	0.00987514	0.00681905
a90	0.1084	0.119041	0.140787	0.141422	0.133013	0.122057	0.0803499	0.0777425	0.0308564	0.0202065	0.0149629	0.0111627
a25	0.0592006	0.0736998	0.0923879	0.11551	0.150831	0.152531	0.125292	0.115037	0.0494337	0.026139	0.0203316	0.0196054
a79	0.0563675	0.0698915	0.0785448	0.0980606	0.14223	0.142348	0.131249	0.123286	0.0667299	0.0348539	0.0267426	0.0296962
a56	0.0452461	0.0618994	0.082458	0.104709	0.143961	0.142302	0.130876	0.100942	0.0613118	0.0359078	0.0400346	0.0503523
a90	0.0475826	0.055649	0.0673166	0.0894592	0.117451	0.115151	0.134532	0.101203	0.0857955	0.0502839	0.0610844	0.0744922
a56	0.0276809	0.034474	0.0452641	0.0662457	0.0981532	0.100303	0.141318	0.0942224	0.112124	0.0806527	0.0899257	0.109636
a43	0.0198814	0.021212	0.0247521	0.0361569	0.0586914	0.0629276	0.103845	0.0777837	0.105802	0.0898902	0.152016	0.247042
a47	0.0119059	0.0106688	0.0104891	0.0129172	0.0207016	0.0234056	0.0452763	0.0450077	0.0815829	0.112399	0.232995	0.39265
a61	0.0114415	0.00972597	0.00860092	0.00967926	0.0144662	0.0149359	0.0300587	0.0252334	0.0652801	0.131984	0.264377	0.414217
a47	0.00145897	0.00119384	0.0010507	0.00117067	0.00226199	0.00288853	0.00752595	0.00797698	0.0292136	0.0916175	0.321863	0.531778
a88	0.00177142	0.00148863	0.00132071	0.00136015	0.00218376	0.00255618	0.00637605	0.00842082	0.0318915	0.0924771	0.315497	0.534657
a71	0.000371918	0.000290704	0.000243658	0.000251571	0.000416639	0.00053856	0.00169356	0.00298756	0.0141545	0.055103	0.282205	0.641743
a9	0.00523042	0.00375164	0.00265232	0.00264392	0.00322872	0.00297965	0.00466292	0.00458091	0.0103864	0.0312311	0.270996	0.657656
a10	0.13668	0.0912478	0.05816	0.039396	0.030659	0.0229894	0.0279682	0.0254367	0.0297483	0.0584176	0.191182	0.288116
a97	0.126409	0.0925584	0.0631631	0.0459024	0.0324777	0.0261202	0.0326269	0.0279091	0.0331237	0.0746475	0.212886	0.232176
a87	0.0718599	0.0469895	0.032367	0.0231766	0.0181836	0.017114	0.0250263	0.0215489	0.0325321	0.0975475	0.344788	0.268867
a10	0.051447	0.0369462	0.028982	0.0216411	0.0176367	0.0168254	0.0237383	0.0215173	0.0326294	0.092989	0.318652	0.336995
a87	0.0342204	0.0274546	0.0229875	0.0196541	0.0173917	0.0170255	0.0227041	0.0208796	0.0412592	0.112759	0.245799	0.417865
</S>	0.0527069	0.0440139	0.038014	0.0298259	0.0238538	0.0219855	0.0285904	0.0262198	0.0479623	0.108793	0.246038	0.331996
