 	ce	jeune	garçon	a	une	infirmité	au	pied	</S>
a66	0.196234	0.209548	0.205206	0.149397	0.0955137	0.0758573	0.0341435	0.0205882	0.0135123
a87	0.298396	0.235514	0.204869	0.1266	0.0648995	0.0312575	0.0160701	0.0118399	0.0105537
a23	0.397025	0.212492	0.146264	0.104989	0.0671306	0.034726	0.0143096	0.0110321	0.0120308
a38	0.323932	0.178762	0.104756	0.0857765	0.0820807	0.0720586	0.0412668	0.0404325	0.0709342
a54	0.169823	0.123078	0.0939539	0.109017	0.109504	0.102263	0.0754785	0.0978173	0.119065
a6	0.0787865	0.100172	0.160531	0.20287	0.185402	0.108766	0.0603423	0.0531811	0.0499495
a12	0.0642405	0.0963247	0.178358	0.244582	0.233986	0.119385	0.0333496	0.0163457	0.0134286
a96	0.0953361	0.106713	0.177166	0.226069	0.209485	0.115525	0.0368742	0.0184366	0.0143965
a98	0.0995472	0.100358	0.155317	0.227995	0.230347	0.114796	0.0339988	0.0197329	0.0179077
a15	0.0531957	0.0818361	0.169342	0.211835	0.205742	0.130135	0.0676147	0.0444973	0.0358026
a47	0.0509122	0.0590333	0.102857	0.143642	0.193477	0.161092	0.115175	0.0930029	0.0808087
a5	0.048247	0.0598692	0.0978789	0.130563	0.189973	0.157875	0.127478	0.100177	0.0879392
a21	0.084877	0.0883962	0.113805	0.128133	0.138584	0.10865	0.107423	0.1114	0.118731
a61	0.054512	0.058534	0.0679858	0.0768205	0.099269	0.106602	0.148603	0.184005	0.203668
a21	0.0258717	0.0267297	0.0295511	0.0314495	0.053232	0.104324	0.206198	0.255714	0.266929
a5	0.010284	0.0105345	0.01158	0.011677	0.0202599	0.0582899	0.192279	0.318857	0.366238
a21	0.00509656	0.00545995	0.00600226	0.00545982	0.00886032	0.0471546	0.233158	0.345074	0.343734
a61	0.00298019	0.00295297	0.00254058	0.00225871	0.0044162	0.027106	0.171653	0.362037	0.424056
a12	0.00172789	0.00195155	0.0020161	0.0018845	0.00315764	0.0163575	0.122844	0.333919	0.516141
a18	0.00196654	0.00223622	0.00241489	0.00228737	0.00344362	0.0130439	0.103442	0.319991	0.551174
a70	0.000893941	0.000906615	0.00119738	0.00144539	0.00217377	0.00726698	0.0569637	0.287923	0.641229
a13	0.000504936	0.000575439	0.000834268	0.00103126	0.00184453	0.00704466	0.0533307	0.272694	0.66214
a57	0.00155218	0.00137932	0.00169233	0.00235271	0.00455258	0.0150265	0.0982424	0.339024	0.536178
a3	0.0313757	0.0262258	0.0381028	0.0351299	0.0438899	0.0684588	0.146702	0.25845	0.351665
a87	0.237153	0.17303	0.163378	0.118036	0.0819083	0.0659478	0.0532962	0.0543359	0.0529149
a23	0.236997	0.16389	0.141197	0.110117	0.0832186	0.0623334	0.0618079	0.0718291	0.0686099
a99	0.0678262	0.0316594	0.0216333	0.012167	0.0102163	0.0240304	0.103686	0.248746	0.480035
a97	0.0320893	0.0148954	0.0117871	0.00787097	0.0108348	0.0374264	0.117942	0.245922	0.521232
</S>	0.0114282	0.00564925	0.00604776	0.00646894	0.0120748	0.0401977	0.115263	0.258444	0.544426
