 	il	a	attrapé	deux	anguilles	</S>
a87	0.357328	0.242299	0.142143	0.108862	0.0795941	0.0697739
a23	0.32293	0.146189	0.133089	0.136145	0.130858	0.13079
a10	0.316878	0.213819	0.163264	0.099313	0.100242	0.106484
a87	0.345458	0.230065	0.144909	0.10016	0.0938385	0.0855694
a79	0.352892	0.212083	0.130958	0.0808456	0.0990815	0.12414
a20	0.391154	0.265368	0.146018	0.0638389	0.0670552	0.0665668
a30	0.49375	0.305001	0.136425	0.0381624	0.0183338	0.00832839
a35	0.402953	0.289486	0.18575	0.0864603	0.0253756	0.00997574
a94	0.408991	0.254888	0.183956	0.108993	0.0304563	0.0127152
a35	0.370417	0.258007	0.196028	0.124191	0.0349812	0.0163754
a25	0.309532	0.253388	0.220108	0.147587	0.0464745	0.0229115
a87	0.15588	0.132484	0.192255	0.304851	0.137917	0.0766141
a23	0.0913865	0.0966171	0.112141	0.187189	0.241173	0.271493
a26	0.0747232	0.0817164	0.102299	0.163356	0.302205	0.275701
a75	0.105751	0.104774	0.0927558	0.13601	0.267376	0.293333
a30	0.179352	0.161068	0.18782	0.211059	0.161363	0.0993385
a35	0.203996	0.177171	0.181789	0.184771	0.143124	0.109149
a66	0.125354	0.107676	0.151277	0.226461	0.1989	0.190332
a35	0.077381	0.0728675	0.102689	0.205473	0.266965	0.274624
a76	0.0900348	0.0821642	0.111239	0.2083	0.241372	0.26689
a35	0.0790931	0.0589924	0.0690045	0.160391	0.252161	0.380358
a57	0.0291652	0.0230145	0.0267213	0.0918489	0.219996	0.609254
a20	0.0047951	0.0043859	0.0047947	0.02441	0.20607	0.755544
a14	0.00729229	0.00645091	0.00745077	0.03719	0.234259	0.707357
a73	0.00855992	0.0080514	0.0111495	0.0517254	0.217206	0.703308
a57	0.00371426	0.00271988	0.00368421	0.0184686	0.151649	0.819764
a38	0.00181556	0.00136753	0.00208984	0.00905428	0.1478	0.837873
a14	0.00156392	0.000871777	0.00130592	0.00629973	0.12409	0.865869
a30	0.00316156	0.00223461	0.00332778	0.0125305	0.133704	0.845041
a57	0.00250516	0.001633	0.00256935	0.0112405	0.136076	0.845976
a87	0.00560725	0.00401424	0.00497894	0.0230577	0.181203	0.781139
a23	0.0118696	0.00780979	0.00985336	0.033278	0.184531	0.752658
a87	0.046221	0.0350746	0.036256	0.0803438	0.186334	0.61577
</S>	0.0321734	0.0243767	0.0248009	0.0679842	0.219425	0.63124
