 	je	partirai	à	brazaville	la	semaine	prochaine	</S>
a82	0.332661	0.155977	0.0989008	0.085576	0.0819421	0.123267	0.0872946	0.0343805
a97	0.185888	0.102423	0.0958322	0.135267	0.163478	0.173139	0.101277	0.0426952
a87	0.325665	0.202596	0.120229	0.149377	0.0788185	0.0562409	0.0400758	0.0269967
a23	0.350597	0.212787	0.12657	0.143483	0.080036	0.0487966	0.0226474	0.0150826
a30	0.330892	0.237314	0.128442	0.163285	0.0733739	0.0367973	0.0159303	0.0139657
a75	0.328103	0.272932	0.146576	0.139965	0.0566983	0.025801	0.0151303	0.014794
a5	0.282155	0.242808	0.16831	0.134729	0.077391	0.049562	0.0258001	0.0192447
a75	0.201781	0.194001	0.156807	0.188307	0.135265	0.0766718	0.02596	0.0212078
a5	0.149008	0.182752	0.189149	0.200142	0.150431	0.0873758	0.0236345	0.017507
a21	0.177356	0.191283	0.181603	0.207498	0.15214	0.065402	0.0143391	0.010379
a12	0.181008	0.203186	0.176693	0.197423	0.146783	0.0624606	0.01723	0.0152168
a62	0.159085	0.185537	0.155143	0.177641	0.150175	0.0961927	0.0393384	0.0368868
a47	0.0882029	0.108039	0.100929	0.140849	0.153449	0.165505	0.12377	0.119257
a18	0.080246	0.105906	0.110886	0.162132	0.168572	0.173526	0.109008	0.0897247
a21	0.0378654	0.0440109	0.0447425	0.0803742	0.115156	0.204585	0.224211	0.249055
a85	0.0284052	0.0328332	0.0310811	0.0391016	0.0586908	0.156211	0.291938	0.36174
a6	0.0153094	0.0217792	0.0222256	0.0251987	0.039249	0.107101	0.27307	0.496067
a36	0.00242109	0.00371209	0.00383864	0.00594236	0.011224	0.043464	0.209639	0.719759
a2	0.00490299	0.00711525	0.00583582	0.0073625	0.0100561	0.0267896	0.157156	0.780782
a57	0.0469896	0.0455018	0.0461291	0.0476123	0.0534899	0.0790111	0.205324	0.475942
a87	0.154947	0.108698	0.102409	0.161547	0.129064	0.101196	0.0963257	0.145812
a23	0.131448	0.119021	0.103163	0.164431	0.133178	0.117126	0.095013	0.13662
a40	0.0505781	0.0341317	0.0390388	0.0736819	0.101637	0.154612	0.248469	0.297851
a26	0.07023	0.0517079	0.0463345	0.105936	0.15551	0.180076	0.182475	0.20773
</S>	0.00370772	0.00460863	0.00679564	0.0176544	0.045841	0.114477	0.246196	0.560719
