 	l'	orange	que	j'	ai	dégustée	était	juteuse	</S>
a66	0.241983	0.130593	0.109565	0.0979699	0.14968	0.194612	0.0550874	0.0119102	0.00859942
a87	0.386111	0.150063	0.122789	0.100155	0.103804	0.0702628	0.0417478	0.0139551	0.0111129
a23	0.340078	0.214878	0.15651	0.114059	0.103572	0.0424453	0.0151374	0.00594556	0.00737528
a30	0.244606	0.179745	0.165227	0.169201	0.112639	0.0513677	0.0362984	0.0227412	0.018175
a13	0.208694	0.180906	0.18705	0.191947	0.130378	0.055841	0.0219808	0.0129566	0.0102464
a24	0.236578	0.258131	0.19616	0.125542	0.0968942	0.0527973	0.0185058	0.00871589	0.00667568
a34	0.207395	0.290741	0.227272	0.136274	0.0718573	0.0459335	0.0148787	0.0035004	0.0021479
a96	0.223367	0.299876	0.218488	0.12723	0.0666908	0.0438403	0.0149285	0.00355146	0.00202774
a88	0.157243	0.25904	0.21404	0.155056	0.10542	0.067391	0.0291696	0.00790927	0.00473122
a34	0.113346	0.190561	0.193361	0.183581	0.153657	0.083994	0.0508305	0.0180228	0.012647
a96	0.112841	0.15642	0.162956	0.178607	0.16438	0.0967313	0.068392	0.0340704	0.0256024
a75	0.115063	0.134887	0.142101	0.158733	0.16115	0.102562	0.0771005	0.0548895	0.0535149
a56	0.093224	0.10516	0.117438	0.141733	0.131912	0.156674	0.140529	0.0683455	0.0449844
a93	0.0937387	0.101584	0.102915	0.147551	0.167113	0.150662	0.102433	0.0727894	0.0612135
a56	0.104289	0.103427	0.105961	0.157824	0.181126	0.144694	0.0769645	0.0585749	0.0671404
a44	0.0552583	0.0559207	0.0586408	0.104984	0.141417	0.156896	0.135119	0.144729	0.147035
a43	0.0333055	0.0362405	0.040846	0.0773904	0.124997	0.162696	0.148477	0.178258	0.197789
a75	0.0349537	0.0338165	0.0353149	0.0545552	0.104856	0.14153	0.131564	0.178999	0.284411
a12	0.0131467	0.0119636	0.0166943	0.0299077	0.0597103	0.12697	0.150797	0.267698	0.323113
a96	0.0125283	0.00847462	0.0134807	0.0257149	0.035546	0.0716795	0.130506	0.297251	0.40482
a93	0.00977828	0.00698977	0.0118481	0.0199823	0.026614	0.0566391	0.158376	0.321141	0.388631
a56	0.00359291	0.00212619	0.00401565	0.00722291	0.0114833	0.029759	0.115656	0.352141	0.474003
a34	0.00247826	0.00138069	0.0021812	0.00359724	0.00552824	0.0180497	0.102399	0.359743	0.504642
a75	0.00115673	0.000669027	0.00130903	0.00213152	0.00290841	0.0098581	0.0692456	0.349148	0.563573
a92	0.000172302	9.97262e-05	0.00022041	0.000480023	0.000704893	0.00206938	0.0258567	0.317623	0.652774
a37	0.000133404	7.72455e-05	0.000174219	0.000299527	0.000383118	0.00107065	0.0175388	0.260881	0.719442
a92	0.000204738	0.00012666	0.000263991	0.000381169	0.000498489	0.000858889	0.0120419	0.254935	0.730689
a47	0.000107305	6.10268e-05	0.000107877	0.000145798	0.000214031	0.000661834	0.0145695	0.251858	0.732275
a36	2.19816e-05	1.23702e-05	1.87902e-05	3.42943e-05	6.64758e-05	0.000352666	0.0126452	0.273794	0.713054
a26	0.000918501	0.000630177	0.000713239	0.000573367	0.000873748	0.00328632	0.035707	0.360227	0.597071
a57	0.0502783	0.0382344	0.0279505	0.0181199	0.0250845	0.0430276	0.0873376	0.276425	0.433542
a87	0.152721	0.0997503	0.0921351	0.0663607	0.0612115	0.0500847	0.0627477	0.16594	0.249049
a23	0.242865	0.116133	0.0926871	0.0754098	0.0834955	0.0796952	0.0830779	0.115031	0.111606
a87	0.0997912	0.0435549	0.0286331	0.0160573	0.0236338	0.0232931	0.0653338	0.212604	0.487099
</S>	0.0191768	0.00896473	0.00529312	0.00459045	0.00696338	0.00833182	0.0291682	0.228759	0.688753
