 	ton	enfant	est	blessé	</S>
a66	0.386937	0.237474	0.170535	0.120118	0.0849356
a87	0.280827	0.203402	0.180985	0.16841	0.166376
a23	0.609269	0.189968	0.0818883	0.0557535	0.0631217
a83	0.514245	0.183573	0.111466	0.0894441	0.101271
a54	0.434807	0.206622	0.133975	0.109503	0.115093
a92	0.390572	0.274115	0.154429	0.092102	0.0887827
a37	0.259839	0.253857	0.192965	0.138655	0.154684
a92	0.249752	0.235715	0.191683	0.14956	0.17329
a25	0.155592	0.187842	0.202553	0.199303	0.254711
a69	0.10457	0.154418	0.192007	0.226553	0.322452
a90	0.0896003	0.140273	0.195089	0.249037	0.326001
a56	0.0885182	0.140677	0.198172	0.250593	0.32204
a75	0.0582914	0.105934	0.180784	0.275093	0.379898
a90	0.0220339	0.054132	0.145432	0.328587	0.449814
a69	0.019031	0.0424623	0.113041	0.306261	0.519205
a53	0.0170313	0.0305585	0.0816933	0.301324	0.569393
a32	0.0235645	0.0362794	0.0825424	0.291274	0.56634
a11	0.0214402	0.0329547	0.0704028	0.25909	0.616113
a57	0.0131782	0.0228017	0.0621952	0.24576	0.656065
a82	0.0960578	0.0883852	0.119133	0.24654	0.449884
a87	0.284871	0.165618	0.133407	0.17468	0.241424
a23	0.248268	0.178801	0.144495	0.184077	0.244359
a87	0.150675	0.0853927	0.091521	0.212218	0.460193
</S>	0.0496005	0.0416746	0.0658058	0.208281	0.634638
