 	l'	alcool	de	maïs	rend	soûl	</S>
a85	0.327199	0.273593	0.173939	0.107168	0.0784769	0.0270202	0.0126035
a66	0.450738	0.207161	0.0942618	0.0722546	0.0603681	0.0524901	0.062727
a87	0.343968	0.20858	0.162021	0.114542	0.0461717	0.0509951	0.0737222
a23	0.453717	0.312407	0.131164	0.0554812	0.0201158	0.012786	0.0143292
a79	0.514413	0.272592	0.109429	0.036709	0.0134837	0.0163289	0.037045
a44	0.433219	0.268744	0.153495	0.0642459	0.0273906	0.0233907	0.0295159
a54	0.250297	0.224336	0.228354	0.149266	0.0615577	0.0428454	0.043345
a6	0.120328	0.150231	0.208724	0.218663	0.137843	0.097781	0.0664285
a92	0.104989	0.12006	0.187956	0.221218	0.150694	0.147452	0.0676314
a25	0.101344	0.11165	0.186772	0.243241	0.165551	0.135179	0.056263
a98	0.0785803	0.0886674	0.180649	0.312756	0.181709	0.109087	0.0485507
a92	0.064566	0.0716648	0.135475	0.281122	0.22871	0.149692	0.0687692
a85	0.058071	0.0482995	0.110306	0.247358	0.214249	0.199345	0.122372
a6	0.0266558	0.0184356	0.0504135	0.166792	0.200953	0.301226	0.235524
a0	0.0404307	0.0239136	0.0461635	0.122252	0.176351	0.286453	0.304436
a75	0.0159027	0.00823494	0.0163827	0.0496798	0.0927311	0.300985	0.516084
a85	0.00604792	0.00288034	0.00433388	0.0169282	0.0446781	0.276471	0.64866
a47	0.00647403	0.00335997	0.00359412	0.0128805	0.0399944	0.290664	0.643033
a6	0.00267293	0.00146461	0.00172361	0.00725817	0.0244712	0.218774	0.743635
a36	0.00478112	0.00242368	0.0037835	0.0123685	0.0296357	0.214383	0.732625
a27	0.010896	0.00582103	0.00806906	0.0165001	0.038466	0.257527	0.662721
a10	0.0198159	0.0131692	0.0174235	0.0348185	0.075819	0.269362	0.569592
a87	0.377596	0.199885	0.123349	0.101374	0.056815	0.0608741	0.0801072
a23	0.376881	0.198931	0.118604	0.122903	0.0740604	0.0673401	0.0412811
a87	0.26619	0.154532	0.0781247	0.0702315	0.0528552	0.149045	0.229021
</S>	0.0278718	0.0188205	0.0132883	0.0279491	0.0393578	0.318663	0.554049
