 	la	peau	est	bien	assouplie	maintenant	</S>
a23	0.379055	0.166782	0.104979	0.0891388	0.0839094	0.0964083	0.079727
a98	0.483545	0.210391	0.0961063	0.062417	0.0529914	0.0494167	0.0451321
a71	0.451918	0.229926	0.112	0.0642536	0.0562989	0.049314	0.0362901
a9	0.407303	0.258418	0.150791	0.104887	0.0523337	0.0196642	0.00660336
a84	0.267453	0.208071	0.184286	0.16963	0.0890677	0.0485214	0.0329713
a76	0.132886	0.121558	0.135763	0.158239	0.123359	0.121536	0.206658
a20	0.235177	0.213213	0.197049	0.173082	0.0940935	0.0518496	0.0355358
a41	0.284867	0.243811	0.198977	0.149573	0.0776172	0.0283184	0.0168354
a24	0.227644	0.21246	0.191427	0.164254	0.118402	0.0547489	0.0310656
a41	0.143825	0.136279	0.147148	0.152897	0.185779	0.144608	0.0894642
a76	0.10564	0.0942036	0.109289	0.131451	0.219634	0.202298	0.137484
a41	0.119177	0.10391	0.113547	0.132349	0.201939	0.201756	0.127323
a94	0.0413567	0.0362339	0.049114	0.0782663	0.203176	0.347998	0.243855
a75	0.0264165	0.0194744	0.0238379	0.0329253	0.101726	0.352626	0.442994
a41	0.0103339	0.00744347	0.0107276	0.0190627	0.0832569	0.402178	0.466997
a69	0.00844826	0.00631522	0.00948461	0.0169518	0.0754983	0.398053	0.485249
a20	0.00937111	0.00611395	0.00873631	0.0142962	0.0643431	0.332733	0.564407
a58	0.0132117	0.00576715	0.00622578	0.01065	0.0542554	0.301151	0.608739
a26	0.00474134	0.00178956	0.0017522	0.00274859	0.0207993	0.206244	0.761926
a57	0.0146524	0.00987502	0.0117226	0.0128893	0.0416225	0.177639	0.731599
a87	0.0386988	0.0358884	0.0453914	0.0409051	0.0840451	0.188381	0.566691
</S>	0.0508228	0.0441984	0.0501898	0.0496456	0.081419	0.231181	0.492544
