 	ses	dents	sont	atteintes	de	carie	il	faut	les	lui	ôter	</S>
a66	0.257475	0.242567	0.185562	0.0649734	0.0357577	0.0420416	0.0388778	0.0395149	0.0464357	0.0250412	0.0132914	0.00846236
a87	0.46536	0.306807	0.115093	0.029712	0.0142372	0.0109425	0.00805523	0.00861863	0.0102641	0.00939335	0.0110691	0.0104483
a23	0.480078	0.218065	0.130373	0.0561515	0.0237323	0.0206531	0.011605	0.00980973	0.0108141	0.0103898	0.0102565	0.0180716
a87	0.391959	0.160861	0.0983218	0.0507478	0.0369323	0.0434455	0.0309394	0.0313288	0.0372371	0.0363054	0.0319275	0.0499946
a23	0.409719	0.189946	0.110664	0.055583	0.0272	0.0311879	0.024929	0.0274963	0.0348629	0.0325584	0.0254157	0.0304373
a79	0.226857	0.108209	0.0668911	0.0397308	0.0399308	0.056431	0.0501191	0.0638629	0.0785574	0.090196	0.0828555	0.0963589
a20	0.0940287	0.0814806	0.0910408	0.121338	0.061465	0.0602001	0.0449761	0.0602858	0.0664864	0.0866153	0.113189	0.118894
a7	0.104268	0.136776	0.149965	0.184866	0.0854162	0.0629321	0.0404255	0.0422497	0.0441543	0.0507385	0.0580506	0.0401577
a37	0.0686363	0.0891094	0.150774	0.241518	0.144811	0.10089	0.0453107	0.0345295	0.0315072	0.0301272	0.029973	0.0328141
a24	0.064799	0.0683877	0.115076	0.203988	0.181315	0.135396	0.0661745	0.0453134	0.037795	0.0306362	0.0251228	0.0259962
a21	0.0336513	0.0334085	0.0812277	0.187761	0.221401	0.173585	0.0857245	0.0530068	0.0416856	0.031251	0.0240015	0.0332955
a85	0.0402181	0.0411758	0.111622	0.209486	0.181623	0.141102	0.0812904	0.0536838	0.0442827	0.0310441	0.026222	0.0382508
a5	0.0138957	0.0159258	0.057866	0.168228	0.222467	0.181061	0.108199	0.0637771	0.0479567	0.0335925	0.0289921	0.0580382
a75	0.018831	0.0216292	0.0579477	0.124912	0.163146	0.169249	0.127263	0.0925623	0.0793117	0.0544778	0.038968	0.0517021
a85	0.00874237	0.0102165	0.0287491	0.0718685	0.114776	0.145218	0.13909	0.124249	0.102928	0.0860713	0.0696969	0.0983949
a47	0.00953098	0.0109069	0.0290335	0.0847939	0.166184	0.151108	0.131152	0.0977766	0.0783604	0.0696428	0.0603395	0.111171
a37	0.00362632	0.00436019	0.011956	0.0496826	0.1745	0.196812	0.164622	0.102005	0.0749327	0.0572434	0.0487353	0.111525
a26	0.00774797	0.00947634	0.0172648	0.0425239	0.116971	0.189991	0.191483	0.112259	0.0821819	0.0581563	0.0506639	0.121281
a44	0.00969137	0.012822	0.0206138	0.0388359	0.0672335	0.129622	0.20477	0.140068	0.107266	0.0732092	0.0619307	0.133937
a70	0.0119359	0.0146143	0.0216051	0.0363342	0.0614256	0.113661	0.198451	0.15704	0.121433	0.0808825	0.0608795	0.121739
a13	0.00804126	0.0108732	0.0205967	0.054735	0.0607959	0.0902878	0.149858	0.148327	0.12508	0.104444	0.0849288	0.142032
a53	0.00779271	0.00990464	0.0171083	0.032925	0.0615979	0.0982134	0.171486	0.167745	0.145912	0.101742	0.0675351	0.118038
a4	0.00467791	0.00590469	0.0100735	0.0231369	0.0331641	0.0603682	0.104724	0.126082	0.126616	0.146137	0.15529	0.203826
a57	0.00390253	0.00503305	0.00913911	0.0265734	0.0440615	0.0724655	0.117838	0.125644	0.120602	0.131607	0.130013	0.21312
a82	0.00155641	0.00183259	0.00348983	0.0100758	0.0297329	0.06018	0.118292	0.133148	0.121224	0.126827	0.121239	0.272402
a87	0.0107173	0.012205	0.0195596	0.0265113	0.0481157	0.0624409	0.101609	0.110043	0.107943	0.1006	0.0876249	0.31263
a23	0.0680743	0.0467596	0.0422393	0.0408621	0.0519225	0.0524486	0.0777943	0.109184	0.114432	0.099115	0.0998198	0.197349
a40	0.0127902	0.0066522	0.0071067	0.00874165	0.0267308	0.030373	0.0424766	0.0625028	0.0609517	0.0882941	0.183795	0.469586
a7	0.00107693	0.00115539	0.00220485	0.00750864	0.0221361	0.0316381	0.0503907	0.0598255	0.0540239	0.0697558	0.151288	0.548996
a15	0.00014736	0.000211436	0.000566838	0.00210693	0.0100033	0.0218772	0.0506984	0.0723908	0.0656767	0.0878074	0.169204	0.51931
a44	0.000210502	0.000298243	0.000808254	0.00313324	0.0134155	0.0291716	0.0678433	0.0932511	0.0832175	0.105477	0.175548	0.427626
a4	0.000583003	0.000822764	0.00171578	0.00440086	0.00895118	0.0188128	0.0442234	0.063279	0.0604536	0.0887728	0.181115	0.526869
a13	0.00192398	0.00251913	0.00412621	0.00783045	0.0105979	0.0192394	0.0451188	0.0675095	0.0687851	0.098984	0.182281	0.491084
a53	0.00106232	0.0014169	0.00265251	0.00543798	0.00659746	0.0115308	0.0294335	0.0476267	0.0502713	0.0813762	0.17309	0.589504
a15	0.000633412	0.00084362	0.00145664	0.00270798	0.00569966	0.0122945	0.033733	0.0560738	0.0604817	0.0888234	0.17888	0.558372
a20	0.000239272	0.000292749	0.000562412	0.00131749	0.00437346	0.0091033	0.0277971	0.0474588	0.0492364	0.0784657	0.174601	0.606552
a94	0.000251936	0.000298653	0.000522436	0.000871647	0.00207227	0.00392796	0.0122581	0.0240484	0.0277144	0.0566419	0.163543	0.707849
a15	0.000463043	0.000536732	0.000833147	0.00134738	0.00260667	0.00470369	0.0119746	0.0210462	0.0250096	0.0563727	0.163702	0.711404
a7	0.000109997	0.000109479	0.000194268	0.000432325	0.00134463	0.0025837	0.00861046	0.0176781	0.0198275	0.0504471	0.152024	0.746639
a84	0.00030693	0.000300944	0.000426232	0.000745693	0.00189767	0.00225195	0.00531062	0.00819238	0.00784455	0.0217709	0.0862331	0.864719
a57	0.00924243	0.00776464	0.0091057	0.0106834	0.0189196	0.0183357	0.0343635	0.0505295	0.0520222	0.110358	0.20917	0.469505
a87	0.0431056	0.0247978	0.0250115	0.0312523	0.035692	0.0340218	0.0537525	0.069461	0.075947	0.12144	0.18105	0.304469
a23	0.125071	0.0781415	0.0598701	0.0430116	0.036329	0.0291629	0.0398077	0.0531636	0.0783654	0.113021	0.161371	0.182686
a87	0.0555558	0.0340796	0.0294877	0.018867	0.0215189	0.015464	0.0252498	0.0440142	0.0620791	0.108841	0.221946	0.362898
</S>	0.0205382	0.0119915	0.0109176	0.0098608	0.0154744	0.0140857	0.0289451	0.0468258	0.0484808	0.0781253	0.18092	0.533835
