 	il	a	gagné	beaucoup	d'	argent	</S>
a85	0.280551	0.185263	0.286972	0.0803978	0.0517287	0.0581278	0.05696
a87	0.221811	0.120287	0.0525727	0.0871092	0.132589	0.170569	0.215062
a23	0.372786	0.196464	0.0854126	0.0797917	0.0757883	0.0821663	0.107591
a20	0.189057	0.102672	0.0982947	0.116588	0.139426	0.159009	0.194953
a41	0.248329	0.17789	0.224599	0.124517	0.0961417	0.0705273	0.0579953
a37	0.272963	0.264148	0.311136	0.084835	0.0347127	0.0185896	0.0136151
a26	0.247534	0.233576	0.293484	0.108219	0.0559017	0.033836	0.0274493
a24	0.238005	0.189661	0.167986	0.123885	0.108413	0.0862371	0.0858125
a35	0.203436	0.148948	0.117154	0.128327	0.143952	0.128333	0.129851
a66	0.176197	0.125438	0.0922757	0.140131	0.168926	0.151595	0.145437
a38	0.0849654	0.0606568	0.0500159	0.102053	0.18146	0.237802	0.283047
a76	0.034995	0.0201592	0.0205454	0.072733	0.197778	0.290978	0.362811
a94	0.0154847	0.0160205	0.0366425	0.0998481	0.201765	0.2875	0.34274
a76	0.0153461	0.0137779	0.0223538	0.0572782	0.136196	0.280324	0.474724
a94	0.00384148	0.00376244	0.0135564	0.0561786	0.160457	0.284553	0.477651
a38	0.00270859	0.00229009	0.00622334	0.0324346	0.117598	0.27761	0.561135
a0	0.00165999	0.00154097	0.00629446	0.0293881	0.101759	0.243597	0.61576
a24	0.0024041	0.00211573	0.00831119	0.0340051	0.104935	0.241998	0.606231
a9	0.00343705	0.00316292	0.0125978	0.0419936	0.117152	0.234659	0.586998
a87	0.00395132	0.00381955	0.011268	0.037083	0.108825	0.2287	0.606352
</S>	0.00491503	0.00410615	0.00948709	0.0284605	0.0879696	0.214623	0.650438
