 	les	femmes	ont	étalé	des	nattes	là	où	il	y	a	la	veillée	mortuaire	</S>
a66	0.379176	0.287383	0.0924256	0.0510031	0.027584	0.0266655	0.0185667	0.014585	0.0131468	0.0138216	0.0140911	0.014079	0.0138001	0.0153262	0.0183462
a87	0.454699	0.191898	0.0715707	0.0529679	0.0598567	0.0429772	0.0224774	0.0146493	0.0124775	0.0170322	0.0154991	0.0139991	0.0128039	0.00941381	0.00767824
a23	0.308628	0.167801	0.0761523	0.0758908	0.0976073	0.0490184	0.0265726	0.023173	0.0247495	0.0314409	0.0291215	0.0231138	0.0197647	0.0199934	0.026973
a40	0.0426155	0.0306762	0.0415508	0.13872	0.198701	0.10804	0.0527998	0.0485903	0.0589485	0.0737142	0.0624306	0.0486221	0.0332756	0.0270515	0.0342646
a36	0.242423	0.163816	0.102611	0.087544	0.0781177	0.0783271	0.0383092	0.0327015	0.0314853	0.0353932	0.0278175	0.0275959	0.0228898	0.0156789	0.01529
a96	0.263176	0.262051	0.180008	0.0810332	0.0525262	0.0483084	0.019261	0.0136325	0.0115135	0.0129838	0.00973292	0.0127066	0.00988764	0.0103882	0.0127914
a62	0.239315	0.265029	0.203108	0.102061	0.0603711	0.042246	0.0179307	0.0130232	0.0115357	0.0122294	0.00822868	0.00958292	0.00528103	0.00439903	0.00565815
a75	0.14955	0.230283	0.216737	0.143917	0.0827421	0.0549756	0.0295936	0.0207144	0.0175567	0.0151442	0.00929547	0.00957956	0.00639311	0.00563015	0.00788757
a6	0.121494	0.194083	0.199262	0.114143	0.0813131	0.0795859	0.0419074	0.0305029	0.0292364	0.0281425	0.0184743	0.0194692	0.0131858	0.0122336	0.0169665
a37	0.0852794	0.1343	0.168858	0.110531	0.0792409	0.0989354	0.0695966	0.0409297	0.041769	0.033378	0.0242853	0.0261621	0.0217723	0.0261687	0.0387935
a66	0.10622	0.130647	0.142582	0.130021	0.0876579	0.0827481	0.0590569	0.0380582	0.0451524	0.0335588	0.0266207	0.0244517	0.0253023	0.0284983	0.0394247
a61	0.0633723	0.0759846	0.0905211	0.123711	0.110108	0.10142	0.0715833	0.0599386	0.0763748	0.0556608	0.042295	0.0342965	0.0285286	0.0280092	0.0381969
a5	0.063666	0.0906533	0.0734061	0.0788749	0.0807129	0.0854506	0.0763499	0.0757496	0.0864309	0.0697051	0.0543662	0.0482643	0.0411801	0.0345874	0.0406027
a75	0.0228851	0.0333697	0.0345498	0.0515164	0.0581026	0.0702769	0.0777018	0.0909023	0.116103	0.095489	0.0877197	0.0793995	0.0672924	0.0524455	0.0622459
a85	0.00747838	0.0118386	0.0153569	0.0238437	0.0304686	0.0540491	0.0690934	0.076802	0.104773	0.0916654	0.11095	0.116929	0.101568	0.0864661	0.098717
a6	0.00756029	0.0120755	0.0155421	0.0281029	0.038388	0.0673112	0.0840542	0.0811396	0.101763	0.0867208	0.0968328	0.103821	0.092171	0.0856761	0.0988409
a36	0.00424467	0.00666888	0.00885625	0.0138828	0.022171	0.0503817	0.0680396	0.0884836	0.128297	0.111826	0.127779	0.122004	0.0947187	0.0727657	0.0798811
a37	0.00275267	0.00377061	0.00627403	0.0129648	0.0259294	0.0497873	0.0711506	0.10721	0.161732	0.107752	0.118143	0.0933724	0.0806383	0.0661244	0.0923986
a34	0.00237815	0.00326458	0.00539789	0.0114662	0.022166	0.0456867	0.063043	0.0998304	0.165218	0.108076	0.126169	0.102399	0.0797879	0.0644875	0.100631
a96	0.0021228	0.00261971	0.00375175	0.00731401	0.0149053	0.0332317	0.0488799	0.0873172	0.155496	0.107943	0.141492	0.125194	0.104087	0.0707204	0.0949256
a61	0.00267695	0.00386963	0.00630869	0.010689	0.0181602	0.031967	0.0509841	0.0886072	0.149785	0.0999353	0.115355	0.0919966	0.104203	0.0916194	0.133842
a21	0.00270014	0.0039819	0.00622183	0.0114172	0.0177032	0.0272766	0.0417923	0.0774612	0.12141	0.0872521	0.113249	0.0957455	0.128464	0.119658	0.145668
a92	0.00208081	0.00226275	0.00298029	0.00629423	0.00932686	0.0163327	0.0219578	0.0366048	0.0595796	0.0487135	0.0928803	0.101391	0.169339	0.204506	0.22575
a37	0.00105745	0.00130878	0.00223444	0.00478626	0.0082188	0.0185561	0.0252382	0.0426636	0.0744724	0.0577306	0.0966563	0.0975827	0.144452	0.188894	0.236149
a69	0.000744861	0.00100748	0.00211803	0.00341666	0.0069077	0.0154115	0.0262564	0.043408	0.07124	0.0483501	0.0647152	0.0556439	0.119326	0.220883	0.320572
a58	0.000484724	0.000628062	0.0013237	0.00260867	0.00653824	0.016691	0.026708	0.0533014	0.0871327	0.0577933	0.083918	0.0726612	0.113177	0.191173	0.285861
a82	0.00378744	0.00328961	0.00509136	0.00639646	0.0178891	0.0395315	0.044386	0.0508384	0.0842099	0.0493516	0.0667742	0.0487115	0.0873506	0.180173	0.31222
a87	0.0385698	0.033549	0.0349832	0.0274574	0.0690654	0.127617	0.10302	0.0749751	0.0726765	0.0475692	0.0503973	0.0424574	0.0602937	0.0854632	0.131905
</S>	0.139482	0.0837682	0.0585694	0.0366566	0.108047	0.131182	0.0958953	0.0610146	0.0468429	0.0418853	0.0378906	0.0372464	0.0370584	0.0391208	0.0453403
