 	le	ballon	est	rond	</S>
a66	0.46356	0.275198	0.129032	0.0829922	0.0492172
a87	0.416314	0.257512	0.152375	0.126701	0.0470987
a23	0.566581	0.280875	0.0804236	0.0495395	0.0225811
a99	0.588644	0.231649	0.0872352	0.0611921	0.0312795
a97	0.59287	0.205584	0.0944331	0.0692752	0.0378387
a83	0.548327	0.22553	0.107978	0.0791957	0.0389694
a99	0.365719	0.31664	0.206501	0.0756515	0.0354889
a50	0.232078	0.283155	0.279099	0.145209	0.0604593
a83	0.14732	0.222211	0.275177	0.219682	0.13561
a50	0.184813	0.256822	0.238118	0.191155	0.129092
a62	0.12174	0.17653	0.214079	0.260932	0.226719
a12	0.0770637	0.13138	0.194122	0.289206	0.308228
a94	0.0552216	0.104449	0.174068	0.328589	0.337674
a12	0.0505115	0.0935204	0.190134	0.328965	0.336869
a18	0.031147	0.0501643	0.121506	0.31146	0.485723
a25	0.00483972	0.00833275	0.0392457	0.210683	0.736899
a82	0.00354531	0.00529312	0.0317246	0.174042	0.785395
a87	0.0133045	0.0131345	0.0434759	0.224872	0.705213
a23	0.266834	0.160791	0.117989	0.192641	0.261746
a87	0.157077	0.105395	0.137769	0.238785	0.360973
</S>	0.110221	0.0744991	0.132083	0.221214	0.461983
