 	nous	sommes	en	pleine	saison	de	mangues	</S>
a87	0.456551	0.176348	0.0955809	0.0716652	0.0584558	0.0510046	0.0476747	0.0427193
a62	0.154451	0.11034	0.0898436	0.094414	0.119799	0.133983	0.142396	0.154774
a47	0.318788	0.224969	0.156898	0.0986738	0.0510402	0.0338102	0.0493761	0.0664451
a61	0.334305	0.236112	0.19883	0.100445	0.0406945	0.0234524	0.029653	0.036508
a21	0.444231	0.277312	0.152895	0.0577857	0.0225618	0.0145797	0.0152551	0.0153792
a61	0.400794	0.343461	0.154845	0.0407179	0.0200255	0.0137642	0.013857	0.012535
a18	0.267618	0.239501	0.211731	0.104448	0.0604542	0.0430174	0.0400349	0.033195
a56	0.0594929	0.0386579	0.0634708	0.158087	0.157061	0.170504	0.179913	0.172814
a21	0.168655	0.0890967	0.125419	0.158117	0.134736	0.116719	0.113525	0.0937329
a85	0.083116	0.0432868	0.0903067	0.171496	0.167876	0.15971	0.154481	0.129728
a37	0.033223	0.0192724	0.0346151	0.0963434	0.149439	0.229524	0.245231	0.192352
a98	0.010866	0.00566536	0.0122635	0.0450637	0.0744688	0.189238	0.295856	0.366579
a41	0.00660947	0.00480204	0.0130504	0.0384327	0.0742785	0.213532	0.308478	0.340816
a18	0.00334326	0.00217709	0.00681245	0.0188331	0.0482707	0.186651	0.30632	0.427592
a24	0.000924099	0.000757015	0.00197459	0.00860901	0.0237235	0.105029	0.288371	0.570612
a9	0.000902834	0.000548308	0.0014265	0.00728049	0.0239918	0.109338	0.278749	0.577763
a99	0.0151409	0.00713791	0.00749761	0.0121935	0.0311296	0.101786	0.257111	0.568003
a87	0.0418741	0.0163602	0.0177289	0.0321417	0.0703176	0.146888	0.251436	0.423254
a23	0.0885801	0.0301566	0.0230404	0.0452823	0.101762	0.178896	0.243249	0.289034
a97	0.012264	0.00517398	0.00703745	0.0206485	0.0519451	0.186584	0.330798	0.385549
</S>	0.012955	0.00621649	0.00854426	0.018627	0.0454	0.15864	0.302025	0.447593
