 	la	carpe	est	un	poisson	écailleux	</S>
a66	0.227494	0.159992	0.188524	0.164778	0.159282	0.0700729	0.0298566
a87	0.184506	0.131837	0.124042	0.132666	0.185879	0.149095	0.0919736
a10	0.165742	0.180175	0.227078	0.140759	0.107993	0.103774	0.0744785
a87	0.238194	0.267323	0.266068	0.0980567	0.0463672	0.0498506	0.0341409
a97	0.213683	0.221962	0.220324	0.112679	0.0721157	0.0861645	0.0730718
a87	0.223879	0.235166	0.206328	0.0762936	0.0572644	0.12566	0.0754093
a97	0.220872	0.242039	0.208796	0.0910522	0.0570942	0.107108	0.073038
a83	0.221976	0.227563	0.185001	0.0787196	0.0632467	0.133344	0.0901509
a90	0.26904	0.260472	0.204018	0.0938858	0.0686744	0.058047	0.0458633
a56	0.261375	0.257819	0.246699	0.10869	0.0587236	0.034886	0.0318081
a90	0.225049	0.239654	0.265978	0.13877	0.0669511	0.0348338	0.0287634
a15	0.167958	0.19868	0.239894	0.191825	0.113402	0.05072	0.0375211
a85	0.144465	0.174834	0.199541	0.197599	0.149072	0.070125	0.0643648
a6	0.137919	0.145667	0.172899	0.210794	0.172604	0.0761553	0.0839616
a61	0.113403	0.125996	0.174411	0.206158	0.175376	0.0987003	0.105956
a43	0.115187	0.11279	0.170166	0.190907	0.157241	0.100752	0.152957
a75	0.0739896	0.0740919	0.114462	0.149684	0.162026	0.16239	0.263357
a98	0.0287884	0.0337132	0.0624824	0.127294	0.221519	0.206954	0.319248
a6	0.0271802	0.0310001	0.0500643	0.108068	0.195885	0.196801	0.391001
a0	0.0211853	0.0235758	0.0410895	0.0795504	0.144318	0.227053	0.463227
a21	0.011742	0.00972496	0.0113242	0.0274382	0.0768299	0.244998	0.617943
a61	0.00918528	0.00786697	0.0112509	0.0269476	0.0840046	0.29042	0.570325
a62	0.00812184	0.00709516	0.00829613	0.019263	0.0628316	0.252302	0.64209
a88	0.0048652	0.00508727	0.00773546	0.0203991	0.0694146	0.302211	0.590287
a71	0.00265568	0.00263026	0.00329818	0.0106989	0.0449017	0.218356	0.717459
a9	0.0138129	0.0106784	0.00948977	0.0210036	0.056193	0.171642	0.71718
a10	0.0616371	0.0443771	0.032605	0.0498245	0.0935011	0.207411	0.510644
a97	0.0747989	0.051012	0.0364833	0.0311341	0.0488087	0.194973	0.56279
a3	0.0855214	0.0581575	0.0448491	0.0408817	0.0792207	0.277521	0.413849
a97	0.0714322	0.0548507	0.0444701	0.0391733	0.0668237	0.250855	0.472395
</S>	0.075992	0.0648808	0.0683334	0.0557759	0.0782181	0.242132	0.414668
