 	elle	fut	bouleversée	en	apprenant	la	nouvelle	</S>
a85	0.118989	0.13125	0.182028	0.172491	0.156789	0.0940581	0.084936	0.0594579
a87	0.0927361	0.0842912	0.0976925	0.117002	0.155574	0.136984	0.152754	0.162966
a23	0.316623	0.22852	0.118384	0.0650898	0.0559763	0.0654927	0.0677635	0.08215
a57	0.277645	0.168115	0.0829875	0.0586295	0.0767426	0.104377	0.103138	0.128366
a20	0.268742	0.202068	0.118703	0.0800805	0.0669689	0.0787058	0.0853718	0.0993592
a30	0.402269	0.197065	0.110748	0.075428	0.0503053	0.0498082	0.053331	0.0610449
a2	0.397288	0.272483	0.146779	0.0773141	0.0344434	0.0286019	0.0215113	0.0215793
a38	0.244598	0.243262	0.172514	0.102889	0.0657327	0.0612047	0.0506281	0.0591711
a35	0.188857	0.233286	0.172708	0.105694	0.0794504	0.0760716	0.0676903	0.0762426
a30	0.259498	0.27728	0.167702	0.0978848	0.0672303	0.0475004	0.0405414	0.0423632
a41	0.26283	0.304831	0.209203	0.110553	0.0475404	0.0251844	0.0195774	0.0202805
a24	0.213799	0.269338	0.216798	0.130894	0.068488	0.0351179	0.0303908	0.0351741
a41	0.223102	0.232889	0.204039	0.147452	0.0908305	0.0412639	0.0296474	0.030777
a26	0.15938	0.20115	0.209943	0.164635	0.104416	0.054501	0.051181	0.0547939
a24	0.107225	0.150608	0.206062	0.169139	0.125628	0.0685885	0.076263	0.0964862
a25	0.0787159	0.115069	0.174396	0.1764	0.178827	0.101632	0.0917097	0.0832495
a2	0.0427995	0.0535984	0.112711	0.132013	0.151452	0.119653	0.167869	0.219904
a40	0.0535164	0.0661163	0.120323	0.120813	0.137805	0.126973	0.169479	0.204975
a30	0.0863979	0.117044	0.152255	0.14022	0.157249	0.0998724	0.110605	0.136357
a26	0.127633	0.140604	0.151937	0.137655	0.134299	0.106679	0.105795	0.0953983
a76	0.0329346	0.0492664	0.0789005	0.0911387	0.149521	0.155621	0.197021	0.245597
a35	0.0301823	0.0448669	0.0829756	0.118108	0.221017	0.178569	0.169287	0.154994
a75	0.0158793	0.022186	0.0439894	0.0723341	0.171179	0.196953	0.24705	0.230429
a14	0.0165444	0.0236539	0.0504056	0.0864927	0.227152	0.185884	0.203559	0.206308
a73	0.0124836	0.01579	0.0357458	0.063902	0.170185	0.177579	0.24545	0.278865
a14	0.00914629	0.0106535	0.0263201	0.0499403	0.162832	0.162315	0.233795	0.344999
a2	0.00906541	0.0126638	0.0339906	0.0630852	0.176106	0.158889	0.245591	0.300609
a54	0.0085669	0.00828214	0.0144519	0.0222799	0.0792002	0.113698	0.225529	0.527992
a35	0.00661263	0.00638297	0.0156365	0.0321775	0.129461	0.146536	0.240424	0.422769
a66	0.00510812	0.00584695	0.0151739	0.0312926	0.107695	0.120143	0.244631	0.470109
a83	0.00608118	0.00526563	0.0099893	0.0193478	0.077293	0.117212	0.233078	0.531733
a9	0.00625759	0.00590365	0.00960107	0.016092	0.0523456	0.096875	0.244607	0.568318
a87	0.0088667	0.00721226	0.011192	0.0192959	0.0718867	0.122479	0.255765	0.503302
</S>	0.0054664	0.0053987	0.009184	0.0163318	0.05926	0.126358	0.284219	0.493783
