 	les	petits	enfants	font	la	course	dans	la	cour	</S>
a66	0.474779	0.224278	0.0861501	0.0732518	0.036231	0.0210551	0.018201	0.0168142	0.022224	0.0270159
a87	0.54285	0.10065	0.0463244	0.036813	0.0344111	0.0345159	0.0378614	0.0450685	0.0552956	0.0662102
a23	0.493433	0.164904	0.0797537	0.0405071	0.0266344	0.0232259	0.0224701	0.0335659	0.0514811	0.0640252
a54	0.166733	0.0476087	0.037529	0.0424375	0.0691494	0.0965422	0.119421	0.12507	0.148509	0.147
a47	0.401408	0.164133	0.0912939	0.0605004	0.0465637	0.0543936	0.0504756	0.0416239	0.0454449	0.0441628
a6	0.271941	0.181672	0.127149	0.0946304	0.0628508	0.0614696	0.0530257	0.0451845	0.048891	0.0531861
a85	0.241503	0.125239	0.0973136	0.0997407	0.0788373	0.0864733	0.0710994	0.0569322	0.0634036	0.0794581
a6	0.154847	0.129078	0.121846	0.146277	0.120984	0.0960707	0.0644216	0.0452157	0.0522878	0.0689724
a47	0.23039	0.176335	0.141828	0.131167	0.0938882	0.0672339	0.0449502	0.0311062	0.0362056	0.0468955
a85	0.13029	0.141309	0.141815	0.163649	0.111273	0.0782497	0.0570435	0.0467011	0.0555406	0.0741294
a37	0.101691	0.140318	0.154005	0.166142	0.136542	0.0906548	0.0610234	0.0442239	0.0471199	0.0582796
a12	0.0562024	0.154399	0.19997	0.197518	0.125564	0.0786456	0.0526402	0.0445733	0.0447418	0.0457473
a43	0.0287832	0.110899	0.175866	0.20947	0.151739	0.0918991	0.0704105	0.0556982	0.0517628	0.053473
a0	0.0173374	0.072834	0.139269	0.184769	0.177575	0.106349	0.0800244	0.0708164	0.0721684	0.0788581
a83	0.0236172	0.0690074	0.121599	0.156843	0.159266	0.106863	0.0793278	0.0834777	0.0912267	0.108772
a93	0.0180993	0.0484693	0.0893104	0.126705	0.163671	0.134614	0.104663	0.0967214	0.0954058	0.122342
a4	0.0192833	0.0437251	0.0767519	0.114338	0.177071	0.150474	0.11405	0.0996624	0.092724	0.11192
a98	0.0100935	0.0254371	0.0521099	0.0924961	0.17001	0.167997	0.143212	0.123678	0.1028	0.112166
a47	0.00375821	0.0161194	0.0453417	0.0966833	0.174756	0.143921	0.134196	0.12765	0.121481	0.136092
a36	0.00207462	0.00856429	0.0269082	0.0726771	0.141541	0.129768	0.131489	0.137144	0.143779	0.206053
a75	0.004754	0.0110238	0.0260328	0.0555758	0.0693165	0.0773341	0.112637	0.147235	0.207589	0.288502
a25	0.00265032	0.00819638	0.0228167	0.0525068	0.0874664	0.100677	0.122562	0.161247	0.20315	0.238727
a79	0.00109129	0.00395573	0.0122162	0.0331525	0.0633605	0.0753271	0.0950395	0.164375	0.24759	0.303892
a98	0.00148854	0.0052243	0.0148576	0.0368626	0.0608754	0.0708774	0.091176	0.160944	0.252106	0.305588
a47	0.00124809	0.0050818	0.0147533	0.0345756	0.0520354	0.059392	0.074164	0.144886	0.25721	0.356653
a79	0.00118161	0.00302547	0.00723774	0.0193932	0.0433755	0.0663091	0.0915563	0.177285	0.251051	0.339586
a92	0.00132573	0.00497454	0.0132854	0.0314482	0.0474101	0.0648839	0.0969768	0.180174	0.245978	0.313544
a37	0.00160826	0.00431849	0.0104178	0.0249025	0.0316027	0.0399708	0.0666802	0.159894	0.279383	0.381222
a75	0.00160743	0.00528786	0.0133662	0.0324477	0.044908	0.0621096	0.0931334	0.171421	0.247814	0.327905
a92	0.00152108	0.00408589	0.00939967	0.021847	0.0301333	0.0392653	0.0593084	0.141085	0.26133	0.432025
a37	0.000989895	0.0033015	0.00862669	0.0206083	0.032093	0.0435539	0.0660191	0.151513	0.263971	0.409323
a88	0.00121796	0.00470334	0.0116024	0.0275227	0.0448878	0.0665329	0.0995019	0.173892	0.244548	0.325591
a71	0.00190649	0.00276551	0.00515189	0.0140128	0.0329442	0.0644179	0.111534	0.199031	0.248638	0.319598
a99	0.0206936	0.0263505	0.0390138	0.0605514	0.0910053	0.128735	0.131176	0.155227	0.170445	0.176804
a87	0.0463625	0.0410717	0.0515921	0.0609967	0.0852493	0.108147	0.114785	0.141324	0.168169	0.182304
a23	0.218361	0.124899	0.106392	0.0891468	0.0779994	0.0721591	0.0623697	0.0670327	0.0827773	0.0988626
a87	0.0723199	0.0594289	0.0612732	0.0546874	0.0668335	0.0689787	0.0728616	0.0976181	0.170674	0.275325
</S>	0.00968166	0.0103044	0.0141141	0.021665	0.0339464	0.0404685	0.0627888	0.124432	0.245326	0.437273
