 	son	verger	est	devenu	incontrôlé	</S>
a66	0.468438	0.273689	0.119	0.0825388	0.0363066	0.0200272
a10	0.674509	0.227867	0.0568289	0.0235429	0.0100102	0.00724271
a87	0.698497	0.237583	0.0338689	0.0125492	0.00810493	0.00939778
a23	0.608708	0.32699	0.0348957	0.0106713	0.00873923	0.00999607
a13	0.613152	0.262071	0.0328657	0.0194452	0.027964	0.0445022
a53	0.530978	0.301108	0.0402316	0.0296874	0.0410272	0.0569674
a44	0.445361	0.410502	0.0535541	0.033336	0.0296878	0.0275591
a54	0.158922	0.525288	0.153499	0.0793486	0.0452648	0.037678
a79	0.138326	0.378122	0.173789	0.133499	0.0977926	0.0784716
a15	0.0933923	0.31795	0.224455	0.150728	0.114751	0.0987237
a92	0.112198	0.294857	0.219482	0.15701	0.117211	0.0992419
a12	0.141244	0.285714	0.232871	0.15912	0.0954072	0.0856439
a96	0.165651	0.262621	0.227992	0.163399	0.094663	0.0856745
a18	0.0950613	0.150789	0.246125	0.220238	0.144711	0.143076
a96	0.0390049	0.0602664	0.233959	0.264969	0.198823	0.202977
a75	0.0404612	0.0467373	0.202316	0.261303	0.21891	0.230272
a92	0.0103646	0.0177553	0.109839	0.21554	0.319086	0.327415
a79	0.00814547	0.0130955	0.0830251	0.176674	0.325123	0.393937
a69	0.00600952	0.00940065	0.0685549	0.152193	0.349078	0.414764
a79	0.00744643	0.00739445	0.0396171	0.103019	0.337779	0.504744
a7	0.00364801	0.00371717	0.023288	0.0647077	0.306137	0.598503
a11	0.0016632	0.00146206	0.00732891	0.0308504	0.267587	0.691108
a36	0.00770436	0.00591214	0.0149291	0.0481011	0.280636	0.642717
a2	0.0214361	0.0173626	0.0398383	0.0786632	0.254118	0.588582
a57	0.0569176	0.0468628	0.0722838	0.105684	0.245203	0.473048
a87	0.268654	0.0792139	0.0754795	0.104651	0.202401	0.2696
a23	0.398631	0.105868	0.101922	0.101885	0.13734	0.154354
a87	0.122575	0.0470019	0.0761301	0.0998147	0.28106	0.373419
</S>	0.0211337	0.00875992	0.0299296	0.0589982	0.252281	0.628898
