 	je	ne	veux	pas	aller	en	forêt	avec	toi	parce	que	tu	es	ennuyeux	</S>
a66	0.121202	0.0743572	0.0720805	0.0622654	0.049958	0.0587603	0.0671586	0.0788449	0.080578	0.122466	0.0644666	0.0516371	0.0477258	0.0277057	0.0207943
a87	0.143096	0.0827605	0.0666491	0.0422807	0.0372293	0.0397817	0.0428696	0.0484677	0.0566855	0.0826814	0.0732201	0.0689758	0.0761865	0.0632257	0.07589
a23	0.467555	0.161165	0.0485008	0.0301074	0.0169408	0.0174281	0.0180431	0.0181972	0.0177914	0.0260945	0.021366	0.0282843	0.0572501	0.0319987	0.0392774
a87	0.350364	0.140353	0.0584964	0.0427632	0.0320411	0.0351557	0.0329344	0.0313634	0.0287585	0.0370132	0.0311676	0.0417011	0.064269	0.0377053	0.0359141
a10	0.276287	0.113789	0.0489422	0.035531	0.0307066	0.037957	0.0390927	0.039798	0.0378957	0.0465689	0.0420503	0.0580773	0.0919477	0.0551432	0.0462135
a87	0.267797	0.107147	0.0479377	0.0359918	0.0308829	0.0355707	0.0365543	0.0372006	0.0344529	0.0392536	0.038481	0.0575122	0.0999111	0.0685368	0.0627696
a23	0.205116	0.100212	0.0538006	0.0397291	0.0318122	0.0377399	0.0402419	0.0414522	0.0384577	0.0439355	0.0420336	0.0623013	0.105339	0.0801115	0.0777181
a99	0.185452	0.0846725	0.0472996	0.0386657	0.0361614	0.042932	0.044506	0.0452698	0.0433003	0.0448767	0.0474739	0.0732139	0.117335	0.0852785	0.0635625
a83	0.176307	0.117906	0.0578475	0.0389215	0.0297727	0.0327405	0.0297549	0.0320032	0.0318025	0.0361957	0.037579	0.0595145	0.11655	0.10328	0.0998253
a62	0.321125	0.240884	0.113586	0.0606521	0.0308484	0.025191	0.0204401	0.0193921	0.0165923	0.0164874	0.0145916	0.0192651	0.0311943	0.0273606	0.0423897
a47	0.263972	0.268478	0.157734	0.0837946	0.0391522	0.0303818	0.0245781	0.0221286	0.0178323	0.0169913	0.0129344	0.0146893	0.0178603	0.0122652	0.0172078
a61	0.169576	0.224474	0.176098	0.107102	0.061737	0.0453663	0.03326	0.0284928	0.0222868	0.0206303	0.0165483	0.0180766	0.0221728	0.0225073	0.0316719
a47	0.160799	0.236549	0.201038	0.117625	0.0620034	0.0452754	0.0349474	0.0292612	0.0205432	0.0204182	0.0139163	0.0141751	0.0152614	0.0121162	0.0160718
a83	0.118376	0.162908	0.159246	0.120608	0.0896635	0.0720358	0.0585517	0.0481941	0.0338162	0.0309919	0.0232774	0.0227676	0.0229619	0.0170038	0.0195978
a18	0.10432	0.159681	0.172539	0.131216	0.0920276	0.068649	0.0567248	0.0475996	0.0332582	0.0307733	0.0216753	0.0190001	0.0189294	0.0171184	0.0264886
a53	0.0505862	0.0876007	0.141779	0.137597	0.115272	0.0891122	0.0728212	0.0603977	0.0406101	0.0370685	0.0267847	0.0242225	0.0288741	0.0326139	0.0546599
a25	0.04882	0.0785509	0.116632	0.114877	0.0994779	0.0842653	0.0851024	0.0808981	0.0599728	0.0537007	0.0401437	0.0327887	0.0298694	0.0290919	0.0458086
a56	0.0197946	0.0417508	0.0878243	0.125403	0.140238	0.09811	0.0993813	0.0957011	0.0759711	0.0574377	0.0387099	0.0266092	0.0217547	0.0254732	0.0458407
a75	0.0244905	0.0390646	0.075446	0.109883	0.119025	0.103625	0.109092	0.105094	0.0766079	0.0681932	0.0447008	0.0326665	0.0292206	0.0248313	0.0380589
a44	0.0109653	0.0164488	0.0316337	0.062431	0.108789	0.0961928	0.116716	0.11857	0.11143	0.0867619	0.066963	0.0499255	0.0387543	0.0396833	0.0447351
a61	0.00877714	0.0129886	0.0270649	0.0633594	0.118601	0.109251	0.127401	0.130509	0.108607	0.0867422	0.0583257	0.0404488	0.0334217	0.0297192	0.0447831
a75	0.012524	0.0164115	0.0288844	0.0593357	0.105949	0.10411	0.120236	0.128468	0.108585	0.100343	0.0659953	0.0484543	0.0398461	0.0269686	0.0338887
a25	0.00672734	0.00944348	0.017987	0.0423785	0.0967008	0.0964014	0.123072	0.125174	0.12112	0.0942924	0.0719007	0.0520416	0.039362	0.0461501	0.0572481
a69	0.00320253	0.00503662	0.0102811	0.0310838	0.104367	0.100199	0.137387	0.148145	0.143463	0.0921003	0.0652994	0.0386248	0.0236637	0.0362259	0.06092
a58	0.00516591	0.00661819	0.0121712	0.0327798	0.0929844	0.0924799	0.129128	0.1398	0.135507	0.096225	0.0745098	0.0461342	0.0336199	0.043826	0.0590506
a25	0.00898592	0.0088149	0.0120144	0.0283182	0.0811102	0.0958458	0.137823	0.151508	0.12926	0.0822887	0.0694416	0.0461098	0.0388224	0.042951	0.0667064
a98	0.00673428	0.00674965	0.0102617	0.0262158	0.0781602	0.0833299	0.117397	0.131232	0.125168	0.0798916	0.070002	0.0486182	0.044622	0.0651577	0.10646
a92	0.00518437	0.00612229	0.0101037	0.0264474	0.0755369	0.0764118	0.108987	0.123954	0.129097	0.0877336	0.075811	0.0519115	0.0429538	0.0696175	0.110127
a37	0.00428936	0.00506734	0.00806343	0.0189406	0.0572622	0.0668847	0.108959	0.123605	0.133516	0.0882368	0.0828536	0.0606842	0.048032	0.0803156	0.11329
a98	0.00313564	0.00356749	0.00536602	0.0149498	0.0536128	0.069714	0.107578	0.12434	0.115625	0.0685555	0.0628974	0.0507021	0.0494818	0.10958	0.160894
a44	0.00259036	0.00331575	0.00603232	0.0182117	0.0691207	0.0758882	0.117236	0.129214	0.130001	0.0702627	0.0641661	0.0449488	0.0325317	0.0832877	0.153193
a58	0.00534986	0.00538455	0.00692067	0.0173442	0.0521825	0.0578018	0.0886587	0.101802	0.0998012	0.0560229	0.0551442	0.0453172	0.0482578	0.137963	0.22205
a40	0.0356208	0.0270597	0.0231356	0.0341117	0.0570959	0.0644934	0.0874175	0.100846	0.0900438	0.0555596	0.0547016	0.0453964	0.0499091	0.10489	0.169719
a98	0.0114181	0.00942818	0.0127105	0.026074	0.0545217	0.0497628	0.0601296	0.0637816	0.0610128	0.0432585	0.0483913	0.0451865	0.0648711	0.158627	0.290826
a47	0.00456922	0.00526549	0.0093765	0.0230939	0.0598594	0.0562881	0.0719588	0.0716921	0.0693192	0.0399888	0.0443184	0.0375667	0.0439784	0.147942	0.314783
a26	0.00404375	0.00512577	0.00788753	0.0206815	0.0555666	0.0520909	0.0696707	0.0745734	0.0757689	0.0400418	0.0417532	0.0314451	0.031294	0.135299	0.354758
a11	0.00735707	0.00651128	0.00723736	0.0131301	0.0269129	0.0265757	0.035519	0.0397055	0.0407749	0.0219978	0.0243416	0.0245348	0.0415595	0.216897	0.466946
a61	0.0145638	0.01149	0.0121625	0.0164398	0.0275321	0.0302851	0.037736	0.0428398	0.0397326	0.0250627	0.0330398	0.0404091	0.0731408	0.249335	0.34623
a75	0.00179871	0.00192257	0.00284223	0.0052787	0.0139773	0.0172091	0.0228911	0.0257859	0.0249183	0.0164347	0.0214825	0.0270714	0.0503672	0.246391	0.52163
a37	0.0016617	0.00183224	0.00321707	0.00807849	0.0248283	0.0263602	0.0360685	0.0369762	0.037497	0.0230683	0.0316542	0.0328369	0.0383065	0.203671	0.493943
a34	0.00142934	0.00158383	0.00230335	0.00496596	0.0138855	0.0158909	0.0211864	0.0229282	0.0217484	0.0122332	0.0161733	0.0185049	0.0308416	0.205573	0.610752
a70	0.000852158	0.00102298	0.0017848	0.00396182	0.0125281	0.0155444	0.0215516	0.0227971	0.0214929	0.0131371	0.0186795	0.0216963	0.0338986	0.197784	0.613269
a61	0.000638913	0.000829242	0.0017024	0.00367838	0.0103281	0.0119378	0.0137302	0.0146488	0.0141093	0.0086875	0.0123826	0.016048	0.0334674	0.242907	0.614905
