 	ses	voisins	murmurent	contre	lui	à	cause	de	sa	loquacité	</S>
a66	0.161475	0.126585	0.132217	0.0390037	0.0484377	0.101707	0.134368	0.112924	0.0708214	0.0424148	0.0300487
a87	0.216455	0.141884	0.0993105	0.0400775	0.0555414	0.0719756	0.0668039	0.0562816	0.0721687	0.11039	0.0691124
a23	0.403399	0.269854	0.151206	0.0593903	0.0333615	0.0253091	0.0147709	0.00948811	0.00864143	0.0118906	0.012689
a87	0.380623	0.287661	0.199874	0.0626844	0.0285414	0.0163365	0.0049859	0.00173131	0.00179875	0.00441108	0.0113538
a23	0.349579	0.260526	0.181352	0.0776506	0.0567747	0.0321373	0.0129142	0.00563903	0.00463161	0.00669426	0.012101
a96	0.34012	0.196787	0.186926	0.102023	0.0696662	0.0415709	0.0146211	0.00723166	0.00861287	0.0133999	0.0190421
a61	0.343616	0.11508	0.180727	0.119849	0.0572821	0.0368796	0.0160827	0.0112649	0.0199747	0.0559394	0.0433037
a12	0.455578	0.146225	0.118691	0.0877804	0.049852	0.0485053	0.0320334	0.0144109	0.0132306	0.0186307	0.015063
a88	0.155674	0.122345	0.175221	0.199801	0.0951628	0.0969631	0.0612107	0.0218418	0.0168622	0.0239956	0.0309229
a62	0.0592971	0.0633307	0.131397	0.273641	0.162974	0.133944	0.0831413	0.0292871	0.0163476	0.0181709	0.0284687
a21	0.0485166	0.069187	0.114471	0.290917	0.174634	0.136789	0.089386	0.0323855	0.0129073	0.0105358	0.0202698
a12	0.0415538	0.0528289	0.0892265	0.232922	0.168428	0.160753	0.120631	0.0550778	0.0222075	0.0193837	0.0369882
a21	0.0402922	0.0486823	0.0680839	0.193095	0.169304	0.175452	0.138775	0.0689872	0.0265647	0.0263498	0.0444135
a85	0.0308421	0.0366343	0.0433917	0.0868422	0.143473	0.236928	0.214502	0.110747	0.0337124	0.0227512	0.0401753
a47	0.0249942	0.0162896	0.0153861	0.0450209	0.127331	0.202085	0.20416	0.117516	0.0525913	0.0679219	0.126703
a98	0.0207	0.0130116	0.014404	0.0370181	0.0896318	0.172505	0.201629	0.139054	0.0604008	0.0923746	0.159272
a47	0.0108722	0.00739913	0.00775624	0.0206591	0.0458235	0.0986673	0.139159	0.149198	0.0800789	0.15286	0.287527
a85	0.00931344	0.00646114	0.00390317	0.0103995	0.023591	0.0381052	0.0514979	0.0597216	0.0372332	0.256289	0.503485
a5	0.00694866	0.00508999	0.00367306	0.0101078	0.0208316	0.0378103	0.0549401	0.0770058	0.0648103	0.248982	0.469801
a37	0.00572564	0.0046032	0.0046287	0.0138095	0.0256823	0.0455277	0.0813478	0.138079	0.109052	0.225989	0.345556
a56	0.00829277	0.00549206	0.00504866	0.0152824	0.0252725	0.0315415	0.0426453	0.0875006	0.0817702	0.269039	0.428115
a93	0.00390528	0.00283029	0.00300404	0.00827252	0.0147286	0.019381	0.0270365	0.0727493	0.105111	0.320888	0.422093
a90	0.00385334	0.00239869	0.00217071	0.00550285	0.00969248	0.0102474	0.0127454	0.0362323	0.0744945	0.332464	0.510199
a15	0.000666983	0.000505199	0.000520899	0.00122416	0.00242102	0.00305113	0.00442017	0.0176989	0.0613974	0.396034	0.51206
a94	0.000529394	0.000325005	0.000225823	0.000478246	0.000707529	0.000687485	0.000991672	0.00497136	0.0347129	0.368831	0.58754
a90	0.000258039	0.00015908	0.000136046	0.000290337	0.000451104	0.000358749	0.000416932	0.00246983	0.0244552	0.314235	0.65677
a93	0.000107801	5.71595e-05	5.81456e-05	0.000129655	0.000259065	0.000284606	0.000472995	0.00336025	0.0254152	0.327148	0.642707
a4	0.000154032	6.58539e-05	5.87869e-05	0.000112908	0.000261122	0.000307167	0.000581105	0.00367594	0.0249742	0.328368	0.64144
a30	0.000136181	6.20729e-05	5.30433e-05	0.00013253	0.000316921	0.000401199	0.000673567	0.00383679	0.033096	0.331113	0.630178
a93	0.00444821	0.00153313	0.000981917	0.00141744	0.00184123	0.00187645	0.00343196	0.0175051	0.0736888	0.313652	0.579623
a13	6.30012e-05	4.23609e-05	2.79844e-05	7.53133e-05	0.000127163	0.000161828	0.000267605	0.00171351	0.0159576	0.234975	0.746589
a9	0.000394748	0.000196067	0.000126194	0.000262775	0.000352072	0.000420027	0.000743559	0.00476448	0.0312747	0.266666	0.694799
a99	0.0219762	0.00639682	0.00358819	0.00498359	0.00487389	0.00593419	0.0107271	0.0245941	0.0528458	0.303653	0.560427
a87	0.0820008	0.0326891	0.014965	0.0139167	0.0120881	0.0175067	0.0242285	0.0348508	0.0569073	0.238332	0.472515
a23	0.150856	0.124803	0.0513763	0.0345558	0.0297742	0.0388659	0.0396291	0.0401665	0.0599766	0.180976	0.249021
a87	0.0472357	0.0938711	0.044372	0.0331066	0.0167495	0.0152741	0.014982	0.0235054	0.0493338	0.218956	0.442614
</S>	0.00695968	0.0087519	0.00370966	0.00465542	0.00221906	0.00238386	0.00295949	0.00753883	0.023247	0.265491	0.672084
