 	n'	aies	pas	peur	</S>
a57	0.45643	0.204496	0.174572	0.0945859	0.0699158
a53	0.212862	0.0757362	0.148501	0.220336	0.342565
a15	0.187109	0.149118	0.200771	0.246373	0.216629
a25	0.305993	0.223284	0.201883	0.155297	0.113543
a44	0.528578	0.242846	0.110712	0.0604968	0.0573674
a84	0.548213	0.286574	0.0884229	0.0404038	0.0363864
a75	0.322463	0.367454	0.151966	0.0854153	0.0727027
a85	0.502448	0.281292	0.0986078	0.056826	0.0608262
a47	0.468482	0.236441	0.119796	0.0822966	0.0929845
a15	0.512021	0.235873	0.089337	0.0737507	0.0890179
a44	0.441254	0.28014	0.132425	0.0740071	0.0721745
a53	0.364785	0.274902	0.152293	0.102552	0.105467
a90	0.177927	0.298951	0.224261	0.155235	0.143626
a56	0.12015	0.255044	0.288329	0.182974	0.153504
a66	0.0686982	0.212569	0.295812	0.246208	0.176713
a11	0.0336687	0.095576	0.159372	0.32519	0.386193
a75	0.0168588	0.0597548	0.115261	0.335866	0.472259
a98	0.0260332	0.0957705	0.136799	0.344936	0.396462
a44	0.0225041	0.0435958	0.0804133	0.313427	0.540059
a13	0.019974	0.0496289	0.0917441	0.295955	0.542698
a90	0.00240361	0.00967318	0.0348844	0.238085	0.714953
a94	0.00595273	0.0254648	0.0613449	0.290869	0.616368
a90	0.00344988	0.0106843	0.0336561	0.222873	0.729337
a58	0.00162051	0.00515058	0.0216132	0.217713	0.753902
a82	0.00185804	0.00679497	0.0419902	0.305923	0.643434
a87	0.0161499	0.0408042	0.143563	0.359023	0.44046
a23	0.155218	0.103718	0.207144	0.259233	0.274688
a99	0.0209005	0.0321845	0.130575	0.376986	0.439354
a87	0.00387459	0.00630669	0.0503623	0.333582	0.605875
a23	0.00256605	0.00554422	0.046116	0.296505	0.649269
a87	0.00478601	0.00871721	0.0548857	0.319848	0.611763
</S>	0.00892726	0.013749	0.0643116	0.309342	0.603671
