 	il	a	dénoncé	son	ami	auprès	de	leur	chef	</S>
a66	0.39195	0.225673	0.249727	0.0452419	0.029122	0.0188141	0.0143312	0.00931951	0.00771238	0.00810922
a87	0.265937	0.155973	0.131985	0.097729	0.0703133	0.0442039	0.0644934	0.0566287	0.0558009	0.0569359
a23	0.370547	0.277181	0.200058	0.0743259	0.0306607	0.0118965	0.00720717	0.00707143	0.00885672	0.0121964
a87	0.361426	0.284718	0.210014	0.0578229	0.0247021	0.0122637	0.0100806	0.00853543	0.0121815	0.0182556
a23	0.378972	0.260615	0.212785	0.0468787	0.0222353	0.0145202	0.0151823	0.0137142	0.016112	0.0189858
a30	0.383794	0.254091	0.207046	0.0444044	0.0227527	0.0173374	0.0179773	0.0134964	0.0170946	0.0220054
a53	0.3354	0.212243	0.208753	0.0600861	0.0371618	0.030258	0.0327998	0.025423	0.0270885	0.0307874
a20	0.230541	0.197224	0.239576	0.13658	0.0852593	0.0481274	0.0248779	0.0130885	0.0118608	0.0128648
a0	0.0784602	0.108733	0.184618	0.177541	0.143622	0.0951231	0.0661193	0.0444642	0.0424608	0.0588585
a56	0.0441872	0.0586654	0.129454	0.180365	0.17299	0.135716	0.0842561	0.0555655	0.0588555	0.0799447
a94	0.0387669	0.0509893	0.112138	0.217104	0.221894	0.130042	0.061834	0.0457684	0.0498678	0.0715955
a93	0.0294049	0.0372299	0.0697763	0.183389	0.213731	0.129193	0.0695332	0.0648917	0.0848561	0.117994
a4	0.0246843	0.0296627	0.0495317	0.165225	0.216039	0.13584	0.0725347	0.0686274	0.102056	0.135799
a62	0.0215747	0.0250896	0.036314	0.125919	0.200376	0.143764	0.0982653	0.0877314	0.116743	0.144223
a21	0.0217156	0.0240728	0.0322364	0.0904818	0.156626	0.122446	0.106162	0.107136	0.144105	0.195018
a92	0.0295483	0.0314955	0.0481161	0.0936242	0.133689	0.108438	0.105409	0.113885	0.148189	0.187606
a79	0.015822	0.0182276	0.0224086	0.0396218	0.0659527	0.0733846	0.108381	0.165454	0.228991	0.261758
a93	0.0135849	0.0155988	0.0148303	0.028977	0.0579162	0.0672355	0.10667	0.183224	0.232109	0.279854
a4	0.0108991	0.0111366	0.0117725	0.0266055	0.0656922	0.110514	0.125931	0.141854	0.215288	0.280308
a93	0.0107568	0.0102563	0.00844912	0.0123661	0.0256949	0.058049	0.122015	0.174351	0.257125	0.320937
a70	0.00564837	0.00492646	0.00365948	0.00423952	0.00878319	0.0276127	0.0946793	0.165574	0.291992	0.392884
a75	0.00210511	0.00200313	0.00160068	0.00221539	0.00491754	0.0153342	0.0823808	0.173278	0.316093	0.400073
a98	0.000888172	0.000746693	0.000466918	0.000750189	0.00174911	0.00600022	0.0444143	0.140684	0.335377	0.468923
a79	0.000513976	0.000511464	0.00037423	0.000897034	0.00213482	0.00635141	0.0413746	0.152017	0.320183	0.475642
a98	0.000277456	0.000223853	0.000113898	0.000241448	0.000636149	0.00264175	0.0273135	0.133681	0.340577	0.494295
a15	0.00025173	0.000213737	9.23671e-05	0.000244118	0.00060673	0.00265647	0.0314256	0.143679	0.358896	0.461934
a36	0.000447485	0.000296503	0.000105067	0.000289267	0.000553576	0.00187469	0.0202446	0.108842	0.354625	0.512722
a2	0.0135645	0.0125078	0.00611589	0.0102459	0.00955148	0.0139091	0.0368611	0.121554	0.279647	0.496043
a57	0.0959921	0.0896331	0.0458938	0.0513749	0.040492	0.041334	0.052138	0.0974352	0.17478	0.310927
a87	0.247092	0.199625	0.13602	0.0409222	0.0271896	0.0252386	0.0323602	0.06637	0.101764	0.123419
a23	0.254887	0.227182	0.182516	0.0472013	0.0233764	0.0168633	0.026413	0.0539067	0.0801089	0.087546
a87	0.0876927	0.0848272	0.0381968	0.0188417	0.0120648	0.0112643	0.0328388	0.119838	0.253318	0.341118
a97	0.010127	0.00823052	0.00363914	0.00547476	0.00601573	0.0108935	0.0314323	0.113476	0.282972	0.527739
</S>	0.0479925	0.0438304	0.0355202	0.0245127	0.0212389	0.0247718	0.043214	0.102194	0.238371	0.418354
