 	pourquoi	ton	époux	a	acheté	cette	épave	de	véhicule	</S>
a87	0.130441	0.117865	0.154783	0.152947	0.13611	0.208529	0.0511178	0.0242206	0.0141099	0.0098768
a23	0.387931	0.147889	0.0970748	0.0451045	0.0348212	0.0565006	0.06403	0.0543423	0.04621	0.0660959
a93	0.175516	0.170088	0.163617	0.124712	0.0992225	0.115844	0.0372548	0.0282784	0.0294884	0.0559784
a34	0.310067	0.18651	0.142966	0.116908	0.0825398	0.0713528	0.026519	0.0200272	0.0203403	0.0227695
a56	0.40665	0.244161	0.102071	0.0787676	0.072874	0.05527	0.0140845	0.00734887	0.00845969	0.0103132
a93	0.379662	0.238771	0.124796	0.0919336	0.0723625	0.0545928	0.0113942	0.00626135	0.00853586	0.0116915
a35	0.265731	0.220926	0.178052	0.136215	0.0935766	0.0697884	0.0117902	0.00656162	0.00769885	0.00966106
a98	0.113834	0.169608	0.251572	0.200541	0.129486	0.0938717	0.0167523	0.00843152	0.00756202	0.00834133
a92	0.138297	0.202194	0.227001	0.164976	0.109958	0.0895896	0.0303203	0.014608	0.0105752	0.0124801
a37	0.0972591	0.165647	0.268309	0.200422	0.127104	0.0902861	0.0241006	0.0089866	0.0074127	0.0104721
a85	0.0739071	0.151053	0.242705	0.212885	0.155531	0.108652	0.0263483	0.00959667	0.00799057	0.011331
a43	0.0582194	0.126651	0.236285	0.209165	0.159414	0.115236	0.0412786	0.0185862	0.0148855	0.0202784
a11	0.0236576	0.0529232	0.190476	0.24924	0.226774	0.15632	0.0419515	0.0185214	0.016516	0.02362
a75	0.0196848	0.0383842	0.149141	0.233085	0.243494	0.173829	0.051827	0.0266837	0.0268911	0.03698
a34	0.0395496	0.0603612	0.181836	0.230731	0.203785	0.128183	0.0460068	0.0326518	0.0310162	0.0458786
a88	0.0325595	0.0516311	0.14024	0.229115	0.248248	0.163114	0.0514569	0.0269486	0.0222496	0.0344369
a71	0.0172924	0.0320875	0.101001	0.180056	0.236773	0.181635	0.0857327	0.0481115	0.0464387	0.0708726
a75	0.00503102	0.0126075	0.0753687	0.162138	0.237669	0.172572	0.126165	0.0669048	0.0569657	0.0845781
a25	0.0346261	0.0404933	0.0873134	0.13298	0.157785	0.0855318	0.0703765	0.0894255	0.119842	0.181627
a44	0.0278598	0.0300622	0.067932	0.117348	0.171797	0.135929	0.10244	0.0863891	0.100407	0.159836
a11	0.0176472	0.0262039	0.0609085	0.0950173	0.137028	0.0926415	0.106123	0.127963	0.156697	0.17977
a75	0.0149897	0.0246426	0.066184	0.112543	0.175947	0.132719	0.141933	0.117793	0.0990028	0.114246
a25	0.0350585	0.0398573	0.0822829	0.114019	0.135147	0.0842244	0.0697417	0.0834442	0.136886	0.21934
a92	0.0391225	0.0379512	0.0671839	0.0915393	0.128567	0.112489	0.08387	0.0776427	0.121447	0.240186
a25	0.0516583	0.0581997	0.110806	0.148801	0.158838	0.10943	0.0652596	0.0562619	0.0847546	0.155992
a90	0.037214	0.0412106	0.0789341	0.108329	0.143314	0.126577	0.100875	0.0735849	0.0994654	0.190496
a57	0.0257377	0.032293	0.058901	0.0806427	0.107259	0.0930221	0.107815	0.125336	0.158438	0.210554
a38	0.0155906	0.024175	0.0649258	0.0862412	0.108564	0.101517	0.152952	0.14666	0.129614	0.16976
a25	0.0296855	0.0391952	0.087716	0.111042	0.124083	0.106997	0.112563	0.11246	0.119677	0.156581
a56	0.0366604	0.0345955	0.0623974	0.0809333	0.0962594	0.10968	0.0969009	0.0892069	0.14356	0.249806
a96	0.0131762	0.0174222	0.053372	0.0990498	0.133286	0.0869654	0.12932	0.12359	0.146004	0.197814
a61	0.0152339	0.0200669	0.0570357	0.093232	0.119023	0.0803364	0.12062	0.122625	0.151527	0.220301
a47	0.0228555	0.0299087	0.0722726	0.109823	0.130803	0.0859115	0.117188	0.115178	0.133664	0.182396
a61	0.0075457	0.0126556	0.0446554	0.0778338	0.107044	0.0761954	0.125326	0.134575	0.179325	0.234844
a47	0.00791748	0.0112361	0.0446181	0.0769705	0.0968398	0.0566833	0.100485	0.122903	0.184374	0.297973
a96	0.00423163	0.0071456	0.0322025	0.0667035	0.0933207	0.0620677	0.0982034	0.129978	0.208094	0.298053
a34	0.00176898	0.0031182	0.0146129	0.0295945	0.0422142	0.0267753	0.0690819	0.125881	0.253819	0.433134
a56	0.00143654	0.00239496	0.0100238	0.0207479	0.0306764	0.0186192	0.0512398	0.104488	0.254706	0.505668
a35	0.00384802	0.00602871	0.0205563	0.0350431	0.0429081	0.0282376	0.0703856	0.109932	0.215321	0.46774
a75	0.00113125	0.00170914	0.00660627	0.0114634	0.0145841	0.0101003	0.0342914	0.0670361	0.196808	0.65627
a96	0.00203263	0.00303125	0.0111943	0.0174247	0.0206862	0.0164168	0.0457	0.0852208	0.21105	0.587244
a83	0.000445039	0.000679111	0.00308845	0.00553024	0.00716551	0.00495962	0.0212649	0.0469281	0.171641	0.738298
a9	0.000366234	0.000584526	0.0027325	0.00485573	0.00623553	0.00467559	0.0212305	0.0477641	0.178495	0.73306
a99	0.00146453	0.0015717	0.00400131	0.00722271	0.0101727	0.00889149	0.0403574	0.0997305	0.237707	0.588881
a97	0.00301854	0.00249262	0.00427544	0.00561356	0.00712526	0.00866491	0.0386774	0.122427	0.265002	0.542704
a87	0.0269508	0.0178364	0.031522	0.0340245	0.0407702	0.0670544	0.101655	0.164438	0.208686	0.307062
a23	0.0360121	0.0236239	0.0556092	0.0635002	0.0631324	0.124611	0.0891336	0.11315	0.14069	0.290537
a87	0.0131054	0.00616653	0.0112151	0.0122405	0.0140164	0.030321	0.0503385	0.0821894	0.168238	0.612169
</S>	0.00567761	0.00341329	0.0122134	0.0144365	0.0150547	0.0270875	0.0377052	0.068654	0.171784	0.643974
