 	j'	irai	chez	lui	l'	an	prochain	</S>
a23	0.513674	0.147214	0.0547536	0.0504462	0.0587966	0.0632592	0.0531694	0.0586871
a94	0.468961	0.178138	0.0710987	0.0466067	0.0535433	0.0544468	0.0575774	0.0696285
a75	0.556322	0.271272	0.0843254	0.0353787	0.0206266	0.0121945	0.00892578	0.0109551
a30	0.420542	0.36005	0.105122	0.0478659	0.0292004	0.0175944	0.0105295	0.0090957
a35	0.299788	0.326452	0.170535	0.0930014	0.0501406	0.0303828	0.0171531	0.0125464
a24	0.294361	0.312264	0.186686	0.0957932	0.0529049	0.0312058	0.0157348	0.0110508
a25	0.254048	0.258814	0.206049	0.123058	0.0743132	0.0468028	0.0219624	0.0149531
a38	0.143896	0.174514	0.239487	0.185938	0.118839	0.0768828	0.0362557	0.0241871
a73	0.107363	0.133737	0.242113	0.203014	0.139429	0.0973202	0.0458407	0.0311842
a35	0.0696683	0.0840504	0.191802	0.206619	0.175157	0.140121	0.0764825	0.0561001
a38	0.0906592	0.105218	0.19245	0.182523	0.151783	0.1237	0.0878517	0.0658149
a14	0.0811635	0.0895929	0.159608	0.182543	0.163967	0.137628	0.100949	0.0845486
a73	0.0635951	0.0673737	0.136861	0.167704	0.163968	0.155855	0.124481	0.120163
a90	0.0387993	0.0319216	0.0628623	0.0927519	0.156643	0.227236	0.175998	0.213787
a76	0.0457799	0.0265046	0.0414089	0.0548606	0.107327	0.206386	0.203165	0.314568
a73	0.0569448	0.0273458	0.0470488	0.0606662	0.106926	0.192451	0.224836	0.283782
a84	0.0582181	0.0285433	0.0426172	0.0484818	0.0887081	0.175948	0.226267	0.331216
a87	0.042743	0.0303688	0.0477707	0.0505733	0.0785268	0.134989	0.217547	0.397482
a23	0.058955	0.0258009	0.024001	0.0284925	0.0647268	0.119637	0.274361	0.404026
a53	0.0485998	0.0262681	0.0255513	0.0350412	0.0826394	0.140227	0.286258	0.355416
a4	0.0958124	0.0479857	0.0431928	0.0449475	0.0830845	0.114584	0.197835	0.372558
a57	0.059564	0.0374551	0.0394269	0.044529	0.0827098	0.11059	0.223416	0.402309
a38	0.0162141	0.0139689	0.0276219	0.0385865	0.107277	0.154606	0.236998	0.404727
a94	0.021856	0.0121002	0.0179317	0.0252171	0.0646817	0.118478	0.222648	0.517088
a35	0.0156062	0.00967695	0.0176831	0.026483	0.0593078	0.103805	0.218117	0.549322
a76	0.00871192	0.00475956	0.00968838	0.0148839	0.038364	0.0846166	0.211292	0.627683
a24	0.0117482	0.00635867	0.0132116	0.0207225	0.0450403	0.0929042	0.211634	0.598381
a62	0.00678387	0.00415033	0.0072319	0.0124645	0.0291263	0.0599493	0.188733	0.691561
a41	0.0122907	0.0106272	0.0139855	0.0183595	0.0412787	0.0685343	0.188548	0.646375
a14	0.00573829	0.00378758	0.00690908	0.0112528	0.0360811	0.0790601	0.19842	0.658751
a73	0.00851869	0.00571841	0.00753671	0.0110666	0.0341371	0.08357	0.204389	0.645063
a57	0.0278488	0.0159233	0.0155678	0.018266	0.0505051	0.105864	0.194602	0.571423
a87	0.0850592	0.0482344	0.0369288	0.0365329	0.0717741	0.10924	0.188438	0.423793
a23	0.0886132	0.0553542	0.0398968	0.0323515	0.0499915	0.0877276	0.203071	0.442994
a87	0.13897	0.109475	0.0623459	0.0403753	0.0528412	0.0821047	0.193624	0.320264
</S>	0.0718613	0.0572461	0.0475469	0.0368207	0.0584764	0.0968992	0.201937	0.429213
