 	la	manière	dont	il	a	blessé	mon	fils	relève	d'	une	tentative	de	meurtre	</S>
a66	0.121493	0.0902753	0.0707152	0.0853649	0.0916937	0.13061	0.140482	0.109401	0.060455	0.0364499	0.0207046	0.0142446	0.0104934	0.00845319	0.00916372
a87	0.366339	0.242661	0.148433	0.0772153	0.0455736	0.0352295	0.0231014	0.0146047	0.00722168	0.00653406	0.00508688	0.00497862	0.00541299	0.00622555	0.0113828
a23	0.344687	0.20706	0.165241	0.0827634	0.0471011	0.0426902	0.0270244	0.0207076	0.0136064	0.0117824	0.00905839	0.00749275	0.00603993	0.00596899	0.00877629
a18	0.227428	0.210409	0.176842	0.0649113	0.0365232	0.0385838	0.0270526	0.0220886	0.0192577	0.0219482	0.0221538	0.0275737	0.0313435	0.0348095	0.0390752
a82	0.173079	0.196127	0.221474	0.0908816	0.0477142	0.0429133	0.0271928	0.0210963	0.016715	0.0182665	0.0180032	0.0232958	0.0289327	0.0323642	0.041945
a27	0.200093	0.204826	0.208705	0.0942734	0.0513157	0.0431365	0.0311721	0.0243464	0.0194085	0.0203031	0.0200072	0.0218578	0.0213593	0.0189612	0.0202345
a54	0.213544	0.215384	0.198097	0.0875682	0.0451976	0.0354768	0.0259087	0.0212314	0.0195637	0.0206253	0.0212267	0.0231241	0.0246288	0.0235339	0.0248898
a56	0.211136	0.235196	0.148207	0.0676711	0.0350578	0.0274088	0.0226402	0.0209096	0.0205644	0.0242315	0.0277475	0.0426968	0.0395047	0.0375086	0.0395201
a43	0.202965	0.299628	0.192809	0.09293	0.0469893	0.0273571	0.0208948	0.0165589	0.0141965	0.014079	0.0130239	0.0189271	0.0155765	0.0136149	0.0104501
a0	0.0999275	0.220824	0.232738	0.130528	0.076071	0.0460944	0.031972	0.0221782	0.0175993	0.018157	0.0163268	0.0245772	0.0225616	0.02238	0.018064
a62	0.0925644	0.17247	0.246018	0.128992	0.0807863	0.0506934	0.032543	0.0223457	0.0188398	0.0208348	0.0199166	0.0304954	0.0278011	0.0292834	0.0264157
a21	0.0880688	0.14565	0.218765	0.161565	0.106103	0.0686558	0.0452719	0.0293813	0.0234303	0.0234157	0.0207332	0.0240052	0.0175552	0.0155638	0.0118359
a5	0.0501375	0.0913478	0.172856	0.191998	0.151563	0.104669	0.0664369	0.0358754	0.0249667	0.0220218	0.0166819	0.0233243	0.0184853	0.0165665	0.0130693
a36	0.0282291	0.0494881	0.10957	0.168378	0.157701	0.134148	0.0984833	0.0581069	0.0423225	0.032804	0.0233648	0.0315906	0.0240823	0.0227971	0.0189344
a25	0.0210836	0.0252292	0.0540289	0.144709	0.15635	0.161578	0.113366	0.0682168	0.0483528	0.0381657	0.0284029	0.0330452	0.0304428	0.0358643	0.0411647
a56	0.0134078	0.0172762	0.0422017	0.111701	0.141102	0.156689	0.125764	0.0745984	0.0503389	0.0395453	0.0291678	0.0495384	0.0435464	0.0500896	0.0550336
a32	0.022206	0.0217736	0.0358197	0.108518	0.132852	0.155956	0.145581	0.0957078	0.0621178	0.0419873	0.0313832	0.0495957	0.034794	0.0334808	0.0282266
a11	0.0127224	0.0131615	0.021848	0.0734624	0.113659	0.171693	0.168793	0.125061	0.0814442	0.0505111	0.0331427	0.0411587	0.0327778	0.0313265	0.0292383
a93	0.0128015	0.0136618	0.0214769	0.060681	0.102484	0.175677	0.16603	0.125866	0.0845248	0.0549019	0.0335561	0.0424606	0.0364789	0.0345472	0.0348528
a79	0.00898634	0.00816098	0.0111919	0.0339349	0.0639305	0.134608	0.156894	0.142214	0.108975	0.0736505	0.0489547	0.0681181	0.0528388	0.0467094	0.0408331
a44	0.00280023	0.00298391	0.0050454	0.0186583	0.0451343	0.112129	0.137713	0.140674	0.122269	0.0840617	0.0565586	0.0698773	0.0654079	0.0715536	0.0651338
a75	0.00391157	0.00351845	0.00545097	0.0143614	0.0282568	0.0762671	0.103772	0.11493	0.108098	0.0830771	0.0620269	0.0949056	0.0915261	0.106512	0.103386
a79	0.00168125	0.00155632	0.00255688	0.00951394	0.0208362	0.0585674	0.0839802	0.110139	0.122529	0.0913034	0.073674	0.0967646	0.108454	0.120253	0.0981895
a44	0.00103395	0.00103781	0.00201634	0.00860108	0.0185154	0.0489581	0.066345	0.097175	0.121585	0.0965949	0.0765932	0.0923583	0.112471	0.137283	0.119432
a79	0.00159397	0.00129789	0.00223086	0.00916854	0.0195506	0.0464942	0.0605052	0.0835549	0.102034	0.0874543	0.0738406	0.102472	0.117501	0.148243	0.144059
a37	0.000863709	0.000854345	0.00165513	0.00715053	0.0153272	0.0356063	0.0453398	0.0699969	0.0990634	0.0865264	0.074533	0.0999551	0.137263	0.173421	0.152444
