 	il	prend	son	arc	et	ses	flêches	</S>
a23	0.599717	0.153214	0.0489215	0.0413758	0.0330039	0.0280969	0.0282501	0.0674204
a85	0.302486	0.157024	0.0638406	0.0531498	0.0525244	0.0554538	0.0893282	0.226194
a87	0.194458	0.152738	0.10458	0.0900588	0.0756719	0.0518095	0.101573	0.229112
a23	0.187984	0.168662	0.154825	0.0971208	0.0563866	0.0380117	0.0781835	0.218826
a87	0.0400536	0.0328089	0.0366734	0.02978	0.0233723	0.0281195	0.128928	0.680264
a23	0.106535	0.090433	0.0844954	0.0598118	0.0400137	0.0353391	0.0956929	0.487679
a79	0.0539381	0.0469409	0.0459614	0.0429755	0.0336773	0.0348898	0.137497	0.60412
a20	0.114612	0.0797133	0.0465392	0.0556073	0.0670284	0.0596484	0.185637	0.391213
a94	0.187811	0.187234	0.143354	0.120609	0.102735	0.0912118	0.0906425	0.0764026
a20	0.179512	0.19995	0.18661	0.162959	0.121821	0.0709552	0.0453367	0.0328558
a73	0.124176	0.16982	0.208442	0.157298	0.124603	0.0880831	0.0661785	0.0613996
a2	0.120019	0.152851	0.187122	0.176389	0.123147	0.0825056	0.0821387	0.0758284
a53	0.133162	0.162983	0.206441	0.190521	0.127044	0.0698436	0.0543844	0.05562
a94	0.0838282	0.0985197	0.147905	0.154811	0.124488	0.0950547	0.145442	0.149951
a56	0.0725303	0.0847	0.133897	0.182709	0.129939	0.0921396	0.136689	0.167396
a37	0.0882952	0.0918817	0.124103	0.164263	0.127775	0.0881791	0.128516	0.186988
a41	0.101674	0.0962951	0.127066	0.146113	0.11134	0.0888355	0.123111	0.205566
a75	0.0468852	0.0443342	0.069338	0.106907	0.100428	0.0968449	0.173706	0.361557
a41	0.0267641	0.0287059	0.0521752	0.0894208	0.0930574	0.0957922	0.210982	0.403103
a98	0.0162784	0.0195285	0.0387115	0.0953705	0.113245	0.114573	0.227196	0.375097
a73	0.0136602	0.0172167	0.0392619	0.103175	0.141821	0.144101	0.216184	0.32458
a35	0.0119443	0.0139615	0.0295169	0.0807263	0.137503	0.153888	0.229513	0.342948
a94	0.0119961	0.0155302	0.0315634	0.0745592	0.125733	0.154365	0.251548	0.334706
a38	0.011343	0.0135952	0.0315243	0.0800011	0.136063	0.186332	0.240093	0.301049
a73	0.0088126	0.0100115	0.0212632	0.0521899	0.101542	0.197307	0.282709	0.326164
a69	0.00957374	0.0116948	0.0231762	0.0521445	0.102321	0.201809	0.272377	0.326902
a20	0.0083174	0.00950537	0.0205773	0.0536341	0.0990311	0.171173	0.295924	0.341838
a84	0.0291286	0.0221422	0.0342863	0.0657229	0.0882981	0.105481	0.21211	0.442831
a87	0.00389968	0.00366849	0.00683994	0.0180568	0.035694	0.0772636	0.292278	0.5623
</S>	0.0129558	0.00940988	0.00675875	0.0114207	0.0193851	0.0570134	0.262771	0.620286
