 	cette	manière	de	faire	couler	les	larmes	est	celle	des	filles	</S>
a85	0.179621	0.119628	0.0800157	0.0718827	0.0689894	0.0847615	0.0986291	0.101129	0.0905124	0.0507072	0.0310187	0.0231053
a66	0.313974	0.180074	0.0751854	0.057549	0.0489114	0.0526341	0.052572	0.0603779	0.0654257	0.0390454	0.0303555	0.0238952
a87	0.183584	0.140917	0.133951	0.115367	0.114701	0.0828276	0.0587236	0.0510428	0.0529542	0.0210613	0.0186907	0.0261801
a23	0.29171	0.209546	0.150765	0.106425	0.0841404	0.0398888	0.0297242	0.0258288	0.0250598	0.0119212	0.0106904	0.0142995
a88	0.264928	0.237292	0.155662	0.110011	0.0853417	0.0322553	0.0223512	0.0182594	0.0165999	0.0154253	0.0168224	0.0250515
a71	0.283124	0.210678	0.134184	0.100621	0.0790225	0.041531	0.0332014	0.0306727	0.0250752	0.0202957	0.0193573	0.0222365
a38	0.29062	0.185512	0.101688	0.0753911	0.0490127	0.0483378	0.0556469	0.0722752	0.0594069	0.0274284	0.0171389	0.0175419
a62	0.219335	0.155978	0.0951113	0.0747982	0.0513399	0.0550272	0.0659261	0.0871606	0.0773275	0.0461451	0.0340892	0.037762
a47	0.107577	0.156081	0.146844	0.137627	0.11232	0.0973483	0.0824128	0.0660619	0.0455875	0.0213801	0.0130655	0.0136945
a62	0.101198	0.138904	0.149522	0.142322	0.127635	0.108568	0.0804104	0.0582874	0.0375653	0.0210569	0.0157296	0.0188017
a0	0.0777512	0.110678	0.129495	0.141242	0.146548	0.130921	0.0992729	0.0739022	0.0458369	0.0185253	0.0119785	0.0138498
a24	0.0606911	0.0929878	0.101858	0.125529	0.149444	0.129478	0.114483	0.0878221	0.0576349	0.026881	0.0231221	0.0300698
a62	0.0425123	0.0592228	0.0624415	0.0846644	0.11017	0.118669	0.137587	0.120922	0.0996701	0.0575973	0.0448456	0.0616982
a21	0.0432957	0.0630496	0.0670992	0.0942345	0.12689	0.151019	0.161823	0.123018	0.079383	0.0316232	0.0250666	0.0334981
a5	0.0256371	0.0388666	0.0407576	0.0625404	0.099196	0.149738	0.185541	0.171665	0.112186	0.0450331	0.0353335	0.0335056
a36	0.0140662	0.0249001	0.0269693	0.0428856	0.0701859	0.126498	0.190281	0.181683	0.128314	0.0658496	0.0616555	0.0667123
a27	0.019963	0.0280774	0.0266802	0.0373445	0.0455379	0.067769	0.0870328	0.101176	0.096524	0.0990912	0.158713	0.232091
a75	0.0409979	0.0483714	0.043751	0.0512111	0.052545	0.0539531	0.0461145	0.0585443	0.0700995	0.111729	0.174637	0.248047
a5	0.00364474	0.00570276	0.00786045	0.013428	0.0243593	0.0406797	0.0681181	0.072864	0.0803701	0.135942	0.238179	0.308852
a37	0.00616922	0.00709717	0.00791301	0.0123474	0.0207127	0.0358285	0.0590779	0.0722566	0.0990137	0.208398	0.228057	0.243129
a21	0.00516165	0.00720707	0.00796281	0.0123886	0.0182028	0.0266859	0.0354764	0.0436415	0.0591527	0.165022	0.264957	0.354141
a47	0.00275867	0.0030888	0.00316601	0.00460818	0.00688372	0.0121067	0.0194996	0.0269744	0.0459708	0.184285	0.332057	0.358601
a21	0.00246067	0.00407717	0.00424472	0.00639716	0.00861767	0.0127382	0.0174902	0.0254967	0.0424121	0.162152	0.322123	0.39179
a5	0.00191421	0.00216532	0.00200869	0.00263174	0.00354946	0.00610716	0.0105787	0.0186498	0.0377817	0.152802	0.336145	0.425666
a61	0.00102515	0.00116715	0.00112904	0.00154059	0.00232111	0.0043403	0.00777218	0.0155913	0.0319636	0.135487	0.334099	0.463564
a96	0.0006066	0.001037	0.00101172	0.00143186	0.00183873	0.00315429	0.00426878	0.0077842	0.0151585	0.0684387	0.267764	0.627505
a70	0.000680083	0.000980855	0.000915492	0.00118148	0.00142011	0.00260675	0.00352389	0.00719023	0.0146118	0.0642978	0.255536	0.647055
a13	0.0004333	0.00071634	0.000695911	0.000878894	0.00105853	0.00181776	0.00230255	0.00456231	0.00874352	0.0461994	0.255986	0.676606
a9	0.00282734	0.00277967	0.00253376	0.00243339	0.00213475	0.00288678	0.00257513	0.00594903	0.0117555	0.0651086	0.288885	0.610131
a99	0.023091	0.0153255	0.0154762	0.0140863	0.0107948	0.0168042	0.0162497	0.0202122	0.0237423	0.0638904	0.211763	0.568564
a87	0.030752	0.0197128	0.0208021	0.0172496	0.0133626	0.0233418	0.0228997	0.0306853	0.0429619	0.0862424	0.202809	0.489181
a23	0.201472	0.110353	0.100308	0.0682573	0.050493	0.053304	0.0447282	0.0340719	0.0320611	0.0471783	0.0847818	0.172992
a87	0.123232	0.0716133	0.0757224	0.0517598	0.048009	0.0522839	0.0443736	0.0297717	0.0289624	0.0759597	0.159202	0.239111
</S>	0.0205294	0.0122231	0.0164748	0.0155128	0.019366	0.028451	0.0300905	0.0249356	0.0306334	0.116615	0.259507	0.425661
