 	il	faut	retenir	tout	ce	qu'	ils	te	diront	</S>
a66	0.233838	0.246918	0.230887	0.131438	0.0683103	0.0379432	0.0210394	0.0135554	0.00850704	0.00756237
a87	0.255382	0.279688	0.240508	0.102985	0.0489409	0.0228194	0.0146063	0.0117513	0.00952744	0.0137921
a23	0.274082	0.241072	0.207956	0.124322	0.0671033	0.0271733	0.0185264	0.0159787	0.0109021	0.0128834
a87	0.280264	0.209422	0.171627	0.0807509	0.0537568	0.0310825	0.0326184	0.0461612	0.0440962	0.0502213
a23	0.299881	0.225542	0.171021	0.079814	0.0487298	0.0289278	0.029149	0.0372562	0.0353209	0.044358
a79	0.221561	0.181289	0.151921	0.0675629	0.0487257	0.037777	0.0458013	0.0701553	0.078693	0.0965135
a58	0.222488	0.184908	0.189381	0.091941	0.0678079	0.0492431	0.0504626	0.0597444	0.0411887	0.0428356
a40	0.199404	0.190821	0.199402	0.12662	0.0811515	0.0529946	0.0449661	0.0460893	0.0290125	0.029538
a54	0.184785	0.183929	0.25531	0.156434	0.095319	0.0501886	0.0323041	0.0248864	0.00941944	0.00742349
a6	0.116684	0.132125	0.235184	0.20679	0.135386	0.0776671	0.0438473	0.0277892	0.0130761	0.0114513
a37	0.0913407	0.112326	0.205717	0.192124	0.147039	0.0972629	0.0570705	0.0423859	0.0278279	0.0269053
a85	0.145164	0.136208	0.180893	0.157191	0.113953	0.0748351	0.044918	0.042215	0.0515164	0.0531064
a5	0.0805765	0.0884874	0.119129	0.159731	0.148964	0.123319	0.0798791	0.0744596	0.0622451	0.0632095
a21	0.0998005	0.095309	0.0916039	0.137362	0.142022	0.118741	0.0771781	0.0751611	0.0850318	0.0777905
a5	0.0486522	0.0471643	0.0423028	0.0825161	0.11121	0.124339	0.106946	0.120739	0.175097	0.141034
a41	0.0271882	0.0220266	0.0182907	0.0474568	0.090873	0.142918	0.140733	0.150288	0.198519	0.161707
a21	0.0166517	0.0130531	0.0110202	0.0342244	0.0822372	0.145178	0.144452	0.156004	0.215972	0.181207
a92	0.0189052	0.0135148	0.0109848	0.0260407	0.0582202	0.121032	0.139584	0.157432	0.241107	0.213179
a98	0.00609899	0.00473949	0.00392505	0.0105819	0.0280165	0.0725293	0.119015	0.170384	0.30104	0.28367
a85	0.00483602	0.00434634	0.00424457	0.0141212	0.0469121	0.12071	0.154816	0.168499	0.250645	0.23087
a92	0.00459961	0.00381911	0.00357957	0.0107123	0.0326341	0.0907644	0.139909	0.169192	0.280497	0.264293
a6	0.00711306	0.00507126	0.00451323	0.00951775	0.0235736	0.0668912	0.12704	0.184577	0.290241	0.281462
a36	0.00518965	0.00378786	0.00381126	0.00630963	0.0123431	0.032045	0.0876	0.171275	0.328532	0.349106
a56	0.0039471	0.00318996	0.00370254	0.00493119	0.00763655	0.0149531	0.0386963	0.096938	0.343014	0.482991
a43	0.00245281	0.00211435	0.00220838	0.00349443	0.00650268	0.0132714	0.03425	0.097234	0.398866	0.439606
a24	0.00211227	0.00210457	0.0028106	0.00419946	0.00728959	0.0137181	0.0314754	0.0794372	0.358018	0.498835
a88	0.00208784	0.00255129	0.00363602	0.00400756	0.00680889	0.0133589	0.0357094	0.0846772	0.316715	0.530448
a71	0.00103774	0.00129113	0.00181863	0.00235603	0.00506052	0.0125809	0.0380552	0.095699	0.327746	0.514355
a30	0.00679347	0.00801566	0.010108	0.0136362	0.0212608	0.0387821	0.0871538	0.155769	0.333613	0.324869
a13	0.0408171	0.0490744	0.056755	0.0654081	0.0733654	0.0882695	0.117987	0.127395	0.201678	0.17925
a57	0.00878614	0.0107378	0.0123524	0.0160551	0.0265751	0.0453123	0.0833655	0.134149	0.321652	0.341015
a3	0.0416461	0.0465708	0.0444183	0.0436098	0.0484822	0.0580216	0.0870599	0.120025	0.252208	0.257959
a87	0.130964	0.140566	0.116987	0.0980967	0.0773603	0.0660943	0.0764096	0.0817453	0.112619	0.0991573
a23	0.103292	0.117769	0.110446	0.0980029	0.0786794	0.0674476	0.0891992	0.108553	0.126644	0.0999677
a87	0.0771622	0.0663403	0.0669165	0.0725479	0.0814726	0.0776139	0.114202	0.154661	0.146239	0.142844
</S>	0.0128747	0.0137794	0.0226019	0.0361023	0.0584708	0.0743436	0.127256	0.196164	0.223178	0.23523
