 	tout	le	village	fut	avisé	de	mon	arrivée	</S>
a23	0.186395	0.0906463	0.0460611	0.0405655	0.0520917	0.082976	0.10961	0.192795	0.198859
a53	0.380729	0.190346	0.104797	0.0643195	0.0426063	0.0361609	0.0449263	0.0613122	0.0748033
a15	0.43009	0.171566	0.0958355	0.0744243	0.0772861	0.0441282	0.0309453	0.0389569	0.0367681
a92	0.527538	0.258994	0.0932158	0.0523417	0.0302784	0.0110443	0.00805449	0.00915398	0.00937881
a12	0.362411	0.290585	0.144543	0.0877804	0.0432328	0.0167739	0.0154306	0.0191719	0.0200706
a32	0.327277	0.282607	0.148854	0.107359	0.0527735	0.0179123	0.0170359	0.0216448	0.0245361
a75	0.179056	0.202843	0.176742	0.21256	0.111642	0.0292552	0.0258662	0.02981	0.0322256
a41	0.128338	0.149439	0.130248	0.148421	0.130995	0.07359	0.0705035	0.0794361	0.0890298
a32	0.111391	0.131588	0.118972	0.150108	0.15578	0.0845119	0.0770954	0.0825371	0.088016
a11	0.138346	0.140481	0.137365	0.170252	0.148716	0.0668113	0.0584338	0.0632402	0.0763543
a26	0.139276	0.139345	0.15302	0.200935	0.160088	0.0563982	0.0445324	0.0462999	0.0601042
a62	0.111849	0.120394	0.147905	0.191337	0.163488	0.0695185	0.0554061	0.0565505	0.083551
a75	0.0956928	0.0911523	0.107876	0.173643	0.19505	0.11862	0.0822224	0.0654724	0.0702718
a47	0.0790496	0.0764286	0.0607912	0.0651202	0.079628	0.128185	0.158811	0.166094	0.185893
a7	0.0550043	0.0505377	0.0522071	0.0694895	0.102725	0.147348	0.161778	0.159254	0.201656
a2	0.0457481	0.0426429	0.0530089	0.0663448	0.0911379	0.129241	0.148983	0.157116	0.265777
a30	0.0392652	0.0404586	0.047665	0.0618536	0.0604645	0.108413	0.158395	0.184038	0.299447
a41	0.0321498	0.0324666	0.0363235	0.053364	0.0572086	0.128902	0.166139	0.191095	0.302351
a24	0.025858	0.0257979	0.0295557	0.0329295	0.0390298	0.0872872	0.137615	0.214546	0.407382
a41	0.0328543	0.0324578	0.0329557	0.0367218	0.0416284	0.098572	0.165486	0.218594	0.34073
a94	0.0158927	0.0174035	0.019762	0.0232481	0.0335528	0.0886793	0.160972	0.237738	0.402752
a76	0.0200319	0.022891	0.0277348	0.0326334	0.040701	0.0920544	0.166195	0.236685	0.361073
a69	0.0248782	0.0263168	0.0297814	0.0342182	0.0507383	0.11721	0.175726	0.227536	0.313595
a58	0.0241753	0.0291029	0.0369926	0.0456396	0.0633009	0.107913	0.167448	0.218518	0.306911
a76	0.00570844	0.00649372	0.00876357	0.00963201	0.0145852	0.0466364	0.122623	0.270948	0.51461
a94	0.0263437	0.0249488	0.0249157	0.0229108	0.0260564	0.0610495	0.132506	0.255651	0.425618
a76	0.00394097	0.00474698	0.00648736	0.00721031	0.0112101	0.0354812	0.095985	0.260791	0.574147
a41	0.0154591	0.0173521	0.0197292	0.0196107	0.0235783	0.0601775	0.127328	0.265296	0.451469
a62	0.0040251	0.00479117	0.00642048	0.0071693	0.0105648	0.0439994	0.118898	0.283633	0.520499
a21	0.00480203	0.00528493	0.00606564	0.00745669	0.0153664	0.0443211	0.0997955	0.240916	0.575992
a85	0.00559782	0.00632067	0.00674564	0.00804534	0.0137522	0.046071	0.108088	0.25982	0.545559
a14	0.00433984	0.00481035	0.00521823	0.00649587	0.0122889	0.0540495	0.126226	0.28569	0.500881
a94	0.00552376	0.00692098	0.00871608	0.00970145	0.0120223	0.0436084	0.113437	0.277877	0.522193
a70	0.00267581	0.00324909	0.00453096	0.00573725	0.00962846	0.0319961	0.0819783	0.239119	0.621085
a75	0.00424364	0.00402444	0.0045623	0.00524692	0.00978383	0.0344133	0.0841642	0.238336	0.615225
a73	0.00654591	0.00611559	0.00627243	0.00663025	0.0107128	0.0398798	0.0982574	0.261712	0.563874
a57	0.00352767	0.00372722	0.00495265	0.00496076	0.00726043	0.0314763	0.0914632	0.26443	0.588201
a87	0.00239015	0.00212915	0.00253701	0.00232955	0.00435784	0.0291871	0.0958933	0.27336	0.587816
</S>	0.00289265	0.00225211	0.00222098	0.00208162	0.00606691	0.0420594	0.123437	0.304027	0.514962
