 	les	moutons	broutent	</S>
a23	0.530486	0.223533	0.141165	0.104816
a87	0.470806	0.281065	0.147331	0.100797
a23	0.401709	0.313132	0.148709	0.13645
a24	0.533912	0.328623	0.0768874	0.0605776
a98	0.696291	0.248382	0.0379787	0.0173479
a66	0.45678	0.388745	0.0965209	0.0579539
a75	0.43197	0.381608	0.110034	0.0763882
a76	0.378439	0.371383	0.14416	0.106018
a35	0.418618	0.327617	0.140981	0.112784
a76	0.431626	0.350448	0.127721	0.0902053
a94	0.388103	0.32222	0.164911	0.124766
a84	0.329093	0.334093	0.181633	0.155181
a57	0.128967	0.190158	0.277045	0.40383
a99	0.13649	0.185095	0.263625	0.414791
a53	0.1042	0.145152	0.267795	0.482853
a69	0.0782711	0.107249	0.258185	0.556295
a58	0.0508103	0.0962234	0.235359	0.617607
a26	0.0213827	0.0392152	0.178689	0.760713
a24	0.0207419	0.023963	0.12428	0.831015
a71	0.0350288	0.0302077	0.143182	0.791581
a38	0.0387033	0.0428013	0.164666	0.753829
a75	0.0390879	0.0313261	0.126598	0.802988
a14	0.0230624	0.0211948	0.138844	0.816899
a30	0.0218727	0.0248842	0.166281	0.786962
a2	0.0394913	0.0490238	0.196796	0.714689
a57	0.0622204	0.0536394	0.188071	0.696069
a87	0.112771	0.0728927	0.17196	0.642376
</S>	0.0816469	0.047904	0.14704	0.723409
