 	notre	père	est	souffrant	dans	la	maison	</S>
a66	0.373791	0.307608	0.182001	0.0808985	0.0227879	0.0133218	0.0102322	0.00935911
a87	0.414005	0.10854	0.0494921	0.0442338	0.0443915	0.0601421	0.12226	0.156935
a23	0.530121	0.16549	0.05545	0.0298272	0.0274497	0.0352351	0.0573017	0.0991246
a10	0.441942	0.15593	0.0500394	0.0279193	0.0391994	0.0557	0.0876396	0.14163
a87	0.497667	0.166866	0.0553775	0.0321731	0.03622	0.0485247	0.0650195	0.0981524
a97	0.409226	0.153555	0.0676404	0.0352967	0.0358557	0.0573365	0.0918305	0.149259
a79	0.364747	0.166206	0.0805202	0.044378	0.0450713	0.0663817	0.093224	0.139472
a47	0.393653	0.15177	0.0769627	0.0461902	0.0311442	0.0565196	0.0870223	0.156739
a36	0.381871	0.334361	0.152577	0.0513022	0.0178751	0.0201144	0.0175487	0.0243502
a37	0.293732	0.344687	0.187561	0.0829476	0.0286373	0.0255686	0.0171176	0.0197491
a61	0.385776	0.327672	0.171052	0.0629737	0.0180677	0.0132885	0.00960573	0.0115651
a0	0.318751	0.33598	0.243455	0.0689503	0.0124041	0.00764909	0.00563871	0.00717158
a31	0.240641	0.290705	0.264553	0.107148	0.0313775	0.0220648	0.018609	0.0249027
a21	0.185964	0.28559	0.287044	0.124884	0.0398267	0.0268243	0.0220451	0.0278202
a85	0.132263	0.293936	0.35991	0.119819	0.0317482	0.0220005	0.0180832	0.0222386
a5	0.0550858	0.149182	0.278735	0.148317	0.0784907	0.0858095	0.0893293	0.115051
a36	0.100417	0.219177	0.285856	0.13954	0.0667465	0.0552012	0.0561382	0.0769248
a61	0.0349835	0.0734313	0.158092	0.168555	0.142451	0.119598	0.129014	0.173875
a88	0.0149165	0.034451	0.0748334	0.137568	0.220385	0.175992	0.162611	0.179243
a71	0.00530555	0.00966229	0.0230182	0.0707749	0.209478	0.239616	0.221604	0.220541
a53	0.00293513	0.00439238	0.00882214	0.0259582	0.100668	0.19607	0.281174	0.37998
a69	0.00174649	0.00315476	0.00945345	0.0316022	0.136321	0.233818	0.264273	0.319631
a44	0.000426291	0.000887764	0.0035658	0.0128639	0.0859063	0.222731	0.304664	0.368955
a70	0.000325246	0.000506598	0.00165536	0.00725569	0.0505969	0.156727	0.281864	0.501069
a0	0.00027785	0.000457483	0.00167538	0.0088585	0.0549951	0.158451	0.294916	0.480369
a75	9.68112e-05	0.000184063	0.000873334	0.00571426	0.0400981	0.133392	0.300071	0.519571
a56	9.08843e-05	0.000222498	0.00108853	0.00461776	0.0233225	0.0867487	0.281917	0.601992
a37	9.2311e-05	0.000205884	0.000859519	0.00449687	0.0301841	0.118267	0.307261	0.538634
a66	0.000102633	0.000246824	0.00106663	0.00570267	0.0289481	0.107348	0.300548	0.556037
a88	0.000823282	0.000940528	0.00174419	0.00895054	0.0398533	0.128146	0.298294	0.521249
a71	0.000426187	0.000641303	0.00149317	0.00731398	0.0347746	0.128158	0.303233	0.52396
a9	0.0034318	0.00464948	0.00709849	0.0197707	0.0547379	0.139212	0.27459	0.49651
a97	0.0588169	0.0369249	0.0318896	0.0460562	0.0792353	0.135294	0.232799	0.378984
a87	0.128478	0.0531503	0.0267607	0.0281741	0.0513276	0.104526	0.223391	0.384193
a97	0.121943	0.053272	0.0246828	0.0281941	0.0646098	0.133154	0.240754	0.33339
a99	0.0431344	0.0190135	0.0103776	0.0132639	0.0449425	0.112015	0.27616	0.481093
a97	0.0145562	0.0083685	0.00626106	0.00789972	0.0353908	0.0999459	0.281637	0.54594
</S>	0.00799519	0.00644989	0.0066046	0.00937375	0.0300497	0.0877663	0.260518	0.591243
