 	les	petits	enfants	se	baignent	nus	au	marigot	</S>
a66	0.325368	0.178079	0.159968	0.129371	0.102397	0.0516172	0.0189447	0.0173398	0.0169149
a87	0.461327	0.170525	0.0839181	0.0488841	0.0467654	0.0383605	0.0324758	0.0472182	0.0705258
a23	0.52864	0.17989	0.0791911	0.0423029	0.029687	0.0243865	0.024199	0.0364275	0.0552758
a40	0.426741	0.130407	0.0664909	0.0486782	0.0366381	0.0281679	0.040872	0.0651907	0.156814
a26	0.3518	0.178267	0.110948	0.0764605	0.0660477	0.0569581	0.0490613	0.0483048	0.062153
a61	0.283882	0.209963	0.175926	0.124282	0.0624219	0.0408792	0.0327158	0.0312836	0.0386465
a0	0.259716	0.240254	0.209537	0.137688	0.0586596	0.0341714	0.0231778	0.017596	0.0192014
a24	0.18921	0.185057	0.211233	0.186316	0.0894488	0.0508292	0.0315549	0.0254957	0.0308544
a38	0.113256	0.163732	0.231107	0.24682	0.117978	0.0589825	0.0244127	0.019402	0.0243097
a93	0.100442	0.137068	0.184721	0.220215	0.123784	0.0872108	0.0479199	0.0424497	0.0561892
a53	0.123054	0.173949	0.216774	0.244205	0.117231	0.0550553	0.0223427	0.0204019	0.0269868
a15	0.062016	0.109176	0.168462	0.24859	0.150411	0.0964838	0.0497512	0.0503062	0.0648034
a36	0.0396431	0.0764157	0.1296	0.209046	0.159124	0.119171	0.0708593	0.0812424	0.114898
a0	0.0369305	0.0633063	0.122765	0.254227	0.185034	0.108486	0.0606569	0.0688999	0.0996941
a44	0.0468287	0.0594921	0.105455	0.246003	0.237477	0.117624	0.0485068	0.0550328	0.0835814
a70	0.0340218	0.0467217	0.0874399	0.216049	0.246501	0.151153	0.0599888	0.0619686	0.0961565
a88	0.0245277	0.0333954	0.0640282	0.167049	0.286537	0.217188	0.0773874	0.0550427	0.074845
a71	0.0390821	0.0423828	0.0606795	0.142348	0.25256	0.194213	0.0830896	0.0779412	0.107703
a75	0.0364745	0.0345717	0.0410208	0.0895569	0.199674	0.168672	0.109426	0.138093	0.182512
a6	0.0155043	0.0257367	0.0455999	0.0930181	0.186841	0.202984	0.144374	0.116746	0.169196
a15	0.0132608	0.0207298	0.0387839	0.0853829	0.181194	0.241674	0.170178	0.106736	0.142061
a36	0.0114259	0.0181156	0.0300187	0.0547786	0.115248	0.178735	0.196866	0.153924	0.24089
a2	0.0131868	0.0156517	0.0200377	0.0318592	0.0655679	0.101094	0.146675	0.206841	0.399087
a10	0.0266512	0.0189894	0.0136384	0.0152612	0.0243933	0.0317045	0.0986819	0.306206	0.464474
a90	0.0233023	0.0143169	0.0111244	0.0141731	0.0323881	0.0611371	0.182282	0.300691	0.360585
a69	0.00551775	0.00586043	0.00693776	0.0121213	0.0312322	0.0636164	0.220843	0.28811	0.365762
a58	0.00229865	0.00321677	0.00450104	0.00873145	0.0225341	0.0420785	0.165621	0.333163	0.417856
a50	0.00129678	0.00105438	0.00102789	0.00175567	0.00600724	0.0175334	0.111002	0.312137	0.548186
a88	0.00970731	0.0073861	0.00673272	0.0107718	0.0273255	0.0601505	0.147397	0.299615	0.430915
a24	0.00212051	0.00209022	0.00250354	0.00439044	0.0115558	0.0263587	0.114562	0.322035	0.514384
a9	0.00337901	0.00322203	0.0034209	0.00594831	0.0158794	0.0390573	0.131618	0.310631	0.486844
a10	0.0281451	0.0217187	0.018237	0.0225486	0.0400526	0.0721926	0.143455	0.262185	0.391465
a87	0.0769144	0.0459063	0.032797	0.0352898	0.0529135	0.0821336	0.152604	0.2254	0.296042
a23	0.409952	0.181181	0.098809	0.0670528	0.0558606	0.0472289	0.0446762	0.0418962	0.0533426
a87	0.232371	0.135268	0.0766892	0.0471292	0.0401453	0.0572837	0.116212	0.149747	0.145154
</S>	0.0160925	0.0148195	0.0118479	0.0128646	0.0192427	0.0412513	0.152433	0.307287	0.424161
