 	ses	yeux	sont	brouillés	par	les	larmes	</S>
a85	0.265391	0.176079	0.118014	0.105161	0.115429	0.0780844	0.0708038	0.0710383
a87	0.293591	0.197728	0.144179	0.103564	0.0694836	0.053066	0.0639869	0.0744016
a23	0.289283	0.206025	0.130873	0.113672	0.0818435	0.0590254	0.0563897	0.0628877
a79	0.34779	0.280105	0.125725	0.0559403	0.0466474	0.0370935	0.0417587	0.0649398
a20	0.404119	0.237707	0.10463	0.0517247	0.0481246	0.0399106	0.0589761	0.0548082
a73	0.445691	0.30851	0.132679	0.0538517	0.0297834	0.0111767	0.00971645	0.00859183
a94	0.297428	0.290626	0.220326	0.111331	0.0430928	0.0149692	0.0108591	0.0113683
a34	0.244179	0.252008	0.239934	0.141169	0.0589913	0.0249636	0.0187416	0.0200139
a24	0.203812	0.21267	0.243318	0.185554	0.081236	0.0303749	0.0213154	0.0217184
a0	0.152799	0.170518	0.205976	0.181055	0.124742	0.0675116	0.0495986	0.0477999
a75	0.122201	0.146347	0.217133	0.208409	0.142423	0.0640213	0.0480303	0.0514345
a14	0.117637	0.127289	0.198719	0.235072	0.146231	0.0745901	0.0527903	0.0476703
a35	0.143763	0.134787	0.172055	0.180038	0.136554	0.0915624	0.0736823	0.0675585
a24	0.115576	0.113593	0.144705	0.171412	0.150266	0.107569	0.102162	0.0947191
a41	0.0906086	0.0964577	0.125302	0.148093	0.172728	0.140341	0.121603	0.104867
a14	0.063874	0.0617732	0.083816	0.124888	0.186405	0.155721	0.16325	0.160273
a2	0.0718321	0.0630691	0.0802344	0.126768	0.200153	0.166057	0.159205	0.132681
a11	0.0275354	0.0266475	0.033963	0.0599989	0.14581	0.220049	0.226452	0.259545
a75	0.0183278	0.0177879	0.0215739	0.0321742	0.0797083	0.18292	0.284941	0.362567
a14	0.0134983	0.0130961	0.0195229	0.038813	0.0941605	0.198175	0.330974	0.29176
a35	0.0165719	0.0175701	0.0240238	0.04551	0.101397	0.19716	0.340727	0.25704
a75	0.0127883	0.0102677	0.0138406	0.0243455	0.0552363	0.154757	0.396806	0.331959
a14	0.00926496	0.00871482	0.0130982	0.0256199	0.0650997	0.184013	0.363752	0.330438
a30	0.00568177	0.00667443	0.0103321	0.0207147	0.050126	0.160922	0.39402	0.351529
a57	0.00628778	0.00524246	0.00632728	0.0097212	0.0298292	0.104765	0.266252	0.571574
a87	0.0093596	0.0060314	0.0062343	0.00944797	0.0238833	0.0803041	0.224225	0.640514
</S>	0.00389951	0.0026355	0.00353576	0.00953648	0.0311744	0.123122	0.280552	0.545544
