 	les	mamans	doivent	vacciner	leurs	enfants	contre	la	rougeole	</S>
a66	0.259865	0.231303	0.20704	0.112868	0.0633324	0.0412727	0.0377339	0.0182216	0.0155028	0.0128603
a87	0.182107	0.118786	0.101358	0.0418709	0.0573468	0.0468	0.0568461	0.0933035	0.136546	0.165036
a23	0.26903	0.245321	0.142215	0.0475819	0.0264777	0.0176003	0.0197727	0.0366094	0.0595245	0.135868
a87	0.263836	0.241971	0.102762	0.0426582	0.0374836	0.030954	0.0403853	0.0562735	0.0652628	0.118413
a23	0.271044	0.26417	0.0968388	0.0340546	0.0354715	0.0401477	0.0519614	0.0621476	0.0649605	0.0792048
a87	0.255299	0.159157	0.0474261	0.0279191	0.0513755	0.04892	0.0556421	0.094111	0.103542	0.156609
a23	0.232664	0.175056	0.0456639	0.0263748	0.052604	0.0491361	0.0537944	0.0979785	0.115512	0.151217
a40	0.203269	0.1227	0.0338774	0.028703	0.057641	0.0492966	0.0511092	0.101655	0.141732	0.210017
a44	0.334138	0.193267	0.0908533	0.0737932	0.0737597	0.033604	0.0413621	0.0438685	0.0546246	0.0607299
a4	0.285764	0.22518	0.114644	0.0958531	0.0692462	0.04308	0.0455785	0.0449135	0.0397178	0.0360224
a13	0.192504	0.188546	0.135014	0.133538	0.085716	0.0598466	0.0549041	0.0542987	0.0487162	0.0469154
a54	0.196559	0.188881	0.156801	0.128968	0.0698797	0.0571795	0.049577	0.0502102	0.047057	0.0548868
a47	0.0637501	0.103743	0.126031	0.180966	0.16454	0.0984975	0.0719788	0.0567082	0.0571632	0.0766221
a36	0.0836711	0.120022	0.161745	0.171808	0.137526	0.0755621	0.0607904	0.0568981	0.0574271	0.0745497
a2	0.0965564	0.150151	0.185958	0.17929	0.111701	0.0729893	0.0577831	0.0485009	0.0422525	0.0548186
a57	0.0678486	0.105772	0.236755	0.24403	0.098431	0.0640615	0.0486744	0.0406931	0.0396078	0.0541269
a54	0.0428839	0.0562093	0.165931	0.243447	0.134396	0.0890799	0.0706462	0.0625644	0.0626754	0.0721669
a47	0.0115605	0.0353279	0.100489	0.15446	0.208837	0.153296	0.106043	0.0712974	0.0650231	0.0936657
a37	0.0206003	0.0585126	0.190535	0.203216	0.163172	0.0994515	0.0672114	0.0494193	0.0552665	0.0926157
a79	0.0246311	0.0588415	0.199742	0.228998	0.172031	0.107378	0.0739506	0.0435534	0.0397394	0.0511353
a44	0.0105771	0.0264896	0.121861	0.173428	0.187924	0.141956	0.102304	0.0724091	0.0650058	0.0980461
a93	0.0116993	0.0307852	0.137719	0.194515	0.192483	0.136581	0.102606	0.0669509	0.0546055	0.0720541
a56	0.0122946	0.0298839	0.123518	0.186948	0.191673	0.145499	0.107534	0.0676764	0.0577116	0.077261
a11	0.0115522	0.0246593	0.103555	0.172194	0.21092	0.168137	0.123194	0.0699056	0.0538892	0.0619944
a56	0.00787207	0.0138532	0.0610109	0.130627	0.230894	0.202222	0.143024	0.0736268	0.0582855	0.0785845
a44	0.00845612	0.0182841	0.0638755	0.112601	0.209559	0.19007	0.146152	0.0974854	0.0701913	0.0833251
a98	0.00635658	0.0125667	0.0438283	0.082951	0.201844	0.193364	0.150917	0.109767	0.0868934	0.111511
a47	0.00330926	0.00693215	0.0342182	0.0734649	0.198849	0.171519	0.131604	0.134578	0.112347	0.133177
a37	0.00487981	0.00740118	0.0294587	0.0577476	0.173701	0.188467	0.137101	0.12517	0.111619	0.164455
a47	0.00315961	0.00448568	0.0176351	0.0398231	0.166816	0.211844	0.157189	0.131884	0.10902	0.158144
a7	0.00378644	0.00482199	0.0175138	0.032304	0.134108	0.206593	0.139855	0.128859	0.120858	0.2113
a98	0.00598709	0.00580183	0.0166375	0.0275391	0.121826	0.229968	0.155458	0.122415	0.109827	0.20454
a47	0.00263185	0.00348269	0.0194737	0.037923	0.159404	0.179352	0.118736	0.137973	0.137615	0.203409
a36	0.00252175	0.00355485	0.0161892	0.0275503	0.121938	0.167728	0.123002	0.150745	0.155263	0.231508
a2	0.00281641	0.00298014	0.00967371	0.0170418	0.0917186	0.158838	0.117347	0.142117	0.158775	0.298693
a57	0.00768334	0.00524688	0.0148442	0.0191176	0.0632176	0.123285	0.0929375	0.123996	0.181344	0.368328
a87	0.0129835	0.0106131	0.0231364	0.0292014	0.0811032	0.147339	0.117184	0.150714	0.173419	0.254306
a23	0.00761014	0.00774328	0.0195347	0.0206876	0.0885784	0.151476	0.127877	0.163717	0.166709	0.246067
a40	0.00476901	0.00511625	0.0120955	0.0144502	0.0627219	0.0629921	0.0535154	0.150467	0.219388	0.414485
a36	0.00129235	0.00118972	0.00786278	0.0150692	0.0871311	0.0913582	0.0680535	0.132638	0.210242	0.385163
a2	0.000151083	0.00023323	0.00228215	0.007369	0.0418346	0.0667961	0.05617	0.152871	0.25775	0.414543
a70	0.000259111	0.00036964	0.00211584	0.00626148	0.0420251	0.0790797	0.0750864	0.201662	0.27203	0.321111
a54	0.000602518	0.00116852	0.00512102	0.010651	0.0429893	0.0654216	0.0663818	0.170391	0.29828	0.338994
a47	0.000145655	0.000286578	0.00196932	0.00667648	0.0474894	0.0635207	0.0536869	0.116852	0.247018	0.462355
a7	8.84927e-05	0.000166289	0.00108971	0.00348738	0.0339116	0.0467584	0.0417076	0.143799	0.288979	0.440013
a47	0.000274662	0.000320522	0.00117746	0.00315449	0.0261096	0.0493705	0.0461598	0.157906	0.299907	0.41562
a7	0.000271478	0.000426839	0.00182106	0.00507288	0.0426465	0.0665621	0.0629553	0.176951	0.275384	0.367908
