 	ces	noix	de	palme	sont	bien	mûres	</S>
a66	0.298442	0.160081	0.127648	0.0975952	0.0889706	0.0770319	0.083446	0.0667851
a87	0.179718	0.125603	0.131344	0.12972	0.156948	0.139688	0.0908032	0.0461755
a23	0.218129	0.138619	0.131346	0.16668	0.130398	0.0875133	0.0858829	0.0414315
a97	0.237601	0.144589	0.134369	0.171066	0.131527	0.0836402	0.0698501	0.0273568
a87	0.319767	0.153489	0.120764	0.116634	0.0972108	0.0823414	0.0740778	0.0357166
a99	0.371223	0.175139	0.12976	0.107689	0.0749181	0.0527718	0.0609546	0.0275447
a18	0.332149	0.177015	0.138434	0.112769	0.0806903	0.0579351	0.0697653	0.0312425
a50	0.14818	0.125369	0.118411	0.111418	0.122289	0.142064	0.152187	0.0800824
a12	0.109051	0.117714	0.114227	0.110105	0.118469	0.111975	0.150988	0.167471
a96	0.0879864	0.104606	0.107214	0.117128	0.126684	0.11281	0.12855	0.21502
a50	0.0519804	0.0634565	0.0788623	0.107493	0.132971	0.132377	0.155211	0.277649
a62	0.0304339	0.0405804	0.0585683	0.0931992	0.136977	0.146347	0.165656	0.328238
a31	0.0279404	0.0376517	0.05555	0.0987413	0.152375	0.159559	0.156797	0.311386
a0	0.0237156	0.0330349	0.052002	0.0976561	0.156465	0.173062	0.172204	0.291861
a90	0.00975114	0.0142123	0.0255488	0.0499493	0.0995172	0.143011	0.207764	0.450246
a93	0.00845492	0.0144515	0.0285106	0.0538784	0.104672	0.156536	0.23611	0.397387
a70	0.00442709	0.00800114	0.017468	0.0370871	0.0783588	0.136047	0.223962	0.494649
a4	0.00106449	0.00192261	0.00456314	0.00967482	0.0286313	0.0713172	0.198176	0.684651
a53	0.0018829	0.00363977	0.00775138	0.0144824	0.0398138	0.0870933	0.227212	0.618124
a44	0.00161632	0.00312127	0.00650507	0.0122722	0.0340961	0.0812069	0.225065	0.636117
a84	0.00186697	0.00327811	0.00601586	0.0118524	0.0313855	0.088403	0.271268	0.58593
a82	0.026372	0.0277811	0.0390248	0.0713282	0.115992	0.160903	0.196693	0.361906
a87	0.138174	0.116526	0.120293	0.152321	0.149792	0.118289	0.113629	0.0909757
a23	0.0997795	0.099799	0.115201	0.163788	0.172706	0.139674	0.142587	0.0664658
a87	0.123939	0.0944346	0.086966	0.117551	0.136153	0.1482	0.179681	0.113074
a23	0.0796133	0.0805718	0.089786	0.119097	0.144852	0.163626	0.191152	0.131301
a87	0.0920889	0.0904675	0.0994794	0.123768	0.147845	0.158319	0.178154	0.109877
a23	0.106651	0.106378	0.11785	0.146866	0.161339	0.141412	0.143501	0.0760035
a87	0.123386	0.119435	0.123244	0.145674	0.154479	0.137757	0.13155	0.0644747
</S>	0.12754	0.118027	0.118346	0.13693	0.151817	0.139176	0.137926	0.0702382
