 	il	attache	le	cabri	a	l'	arbre	</S>
a23	0.224484	0.155382	0.139202	0.111536	0.0992307	0.0871915	0.0930774	0.0898966
a87	0.311953	0.213638	0.144609	0.0971558	0.062792	0.0521717	0.0534854	0.064195
a23	0.205786	0.184387	0.134242	0.111483	0.0920253	0.0861705	0.0855815	0.100324
a20	0.20927	0.150401	0.0939213	0.0726422	0.0832694	0.106174	0.129245	0.155078
a7	0.48944	0.183214	0.110083	0.0596994	0.0442606	0.037938	0.0400361	0.0353293
a26	0.471096	0.212357	0.13147	0.0716821	0.0411906	0.0273733	0.0247534	0.0200782
a24	0.327263	0.252899	0.187988	0.1049	0.0506799	0.0293773	0.0241432	0.0227502
a32	0.310294	0.258061	0.18665	0.110757	0.0524762	0.0307259	0.0257503	0.0252851
a25	0.254402	0.243304	0.208246	0.144248	0.0668457	0.033528	0.0257237	0.0237025
a38	0.244146	0.264284	0.221191	0.13454	0.0563629	0.0284316	0.0247692	0.0262747
a41	0.189126	0.22835	0.233091	0.154866	0.0693619	0.0392537	0.0394902	0.0464613
a73	0.189548	0.23527	0.223911	0.157805	0.0732939	0.0385634	0.0373713	0.044238
a35	0.132157	0.195218	0.221754	0.158296	0.0813122	0.0508444	0.0649307	0.0954869
a94	0.0996622	0.159017	0.190109	0.14821	0.0925205	0.0728691	0.0950173	0.142594
a38	0.0657313	0.106456	0.140763	0.145976	0.121786	0.0992096	0.126095	0.193983
a76	0.0513664	0.0841321	0.128838	0.1404	0.132221	0.112649	0.138444	0.211949
a94	0.0552691	0.0650182	0.0924452	0.122155	0.142931	0.135695	0.16075	0.225737
a32	0.0318471	0.0388137	0.0577112	0.0893408	0.144138	0.183093	0.202712	0.252344
a12	0.0253698	0.0306854	0.0472904	0.0738191	0.131214	0.189837	0.227703	0.274081
a96	0.0134972	0.015429	0.0240465	0.0424101	0.0886816	0.178402	0.280093	0.357441
a94	0.0229266	0.0232506	0.0293974	0.0420128	0.079903	0.167714	0.267031	0.367765
a24	0.0251165	0.0241399	0.0306566	0.0415741	0.0732048	0.153756	0.260482	0.39107
a71	0.0126755	0.0124584	0.0168917	0.0251242	0.0491958	0.126465	0.274887	0.482302
a9	0.0204732	0.0204776	0.025052	0.0320618	0.0493523	0.108986	0.243961	0.499636
a38	0.00964688	0.00950491	0.0122402	0.0192062	0.0379087	0.104616	0.281442	0.525435
a76	0.00577662	0.00549165	0.00685388	0.0105762	0.0233084	0.07989	0.260301	0.607802
a73	0.00452686	0.00405113	0.00642633	0.0115643	0.0282564	0.0954881	0.276767	0.57292
a84	0.00256939	0.00244676	0.00360334	0.00622735	0.0152677	0.063095	0.250474	0.656316
a87	0.00168684	0.00170414	0.00273791	0.00545577	0.0145608	0.0625925	0.227774	0.683488
</S>	0.00734059	0.00522042	0.00590269	0.0111222	0.027999	0.0954347	0.242922	0.604058
