 	nous	avons	bu	ce	vin	ensemble	</S>
a87	0.133629	0.0796114	0.097743	0.383613	0.245079	0.0521998	0.00812544
a23	0.532526	0.207423	0.0706335	0.065277	0.0465089	0.043701	0.0339298
a87	0.240057	0.171297	0.134217	0.192506	0.143434	0.0786074	0.0398815
a23	0.263779	0.217057	0.181096	0.206998	0.0863281	0.0287293	0.0160139
a99	0.217866	0.202896	0.16245	0.169494	0.103835	0.0841647	0.0592944
a50	0.268291	0.200293	0.151609	0.138986	0.0805792	0.0780507	0.0821915
a0	0.347849	0.313904	0.185192	0.0855165	0.0309983	0.0175137	0.0190261
a61	0.280703	0.29087	0.206074	0.110337	0.0545054	0.0340269	0.0234842
a21	0.2305	0.286409	0.204432	0.1284	0.0626321	0.0443446	0.0432819
a12	0.18611	0.276224	0.215643	0.154144	0.0958265	0.0420669	0.029985
a75	0.130759	0.19511	0.204446	0.177706	0.156544	0.0751641	0.0602716
a98	0.122489	0.17166	0.213935	0.170481	0.145257	0.0842341	0.0919437
a47	0.106753	0.142809	0.24252	0.225658	0.168469	0.0624112	0.0513792
a5	0.0867164	0.0824802	0.169337	0.221178	0.212692	0.112361	0.115235
a61	0.127603	0.116331	0.16552	0.243789	0.183	0.0811418	0.0826149
a21	0.0849039	0.0889994	0.123663	0.220727	0.249148	0.117187	0.115372
a5	0.104054	0.102135	0.117152	0.1791	0.224793	0.125625	0.14714
a37	0.094947	0.0764155	0.0997247	0.131202	0.178956	0.126055	0.292699
a21	0.0520494	0.0414912	0.059342	0.0995593	0.24711	0.194575	0.305874
a5	0.101514	0.077586	0.0838259	0.10014	0.163789	0.160987	0.312159
a66	0.0521419	0.0393282	0.0435112	0.0492972	0.11126	0.20959	0.494872
a75	0.00909056	0.00614864	0.00816559	0.0179018	0.0764938	0.244485	0.637715
a47	0.0235049	0.0179794	0.0178891	0.024579	0.063375	0.212154	0.640519
a5	0.0228726	0.0193767	0.0229714	0.0360328	0.0844421	0.243988	0.570317
a18	0.0159362	0.0115104	0.0125548	0.0181132	0.0542914	0.226268	0.661326
a66	0.00277492	0.00180886	0.00217848	0.00467952	0.0193216	0.138352	0.830885
a9	0.00458615	0.00263197	0.00210566	0.00341416	0.0137576	0.139728	0.833776
a99	0.0436118	0.0183245	0.0116904	0.0132501	0.0409286	0.166105	0.706089
a87	0.0748072	0.0452107	0.0389074	0.0675487	0.162952	0.222028	0.388546
a23	0.0804139	0.0647236	0.0649718	0.135556	0.253897	0.166817	0.233621
a87	0.0591921	0.0375615	0.030687	0.0534011	0.122832	0.179343	0.516984
</S>	0.0343232	0.0254572	0.0234094	0.039895	0.063773	0.10034	0.712802
