 	la	perdrix	kula	a	un	plumage	noir	</S>
a66	0.424883	0.247335	0.128279	0.0503983	0.0500933	0.0313646	0.0311887	0.0364587
a10	0.126612	0.0902617	0.0695968	0.145062	0.172814	0.150396	0.117079	0.128178
a87	0.357905	0.299105	0.208001	0.0437811	0.0285961	0.0216978	0.0199039	0.0210108
a23	0.395073	0.331699	0.210262	0.0260256	0.0153155	0.00888657	0.00604842	0.00669016
a83	0.399796	0.284217	0.263658	0.0196729	0.0110998	0.00807223	0.0061526	0.00733154
a75	0.343405	0.206876	0.256233	0.077387	0.050165	0.0305151	0.0169381	0.0184812
a5	0.202327	0.162584	0.211734	0.13898	0.125614	0.069956	0.0521978	0.0366073
a61	0.0940882	0.101592	0.119625	0.175097	0.206021	0.132186	0.099613	0.0717787
a88	0.021452	0.0270816	0.0298643	0.0958679	0.210851	0.204528	0.221705	0.18865
a0	0.00402677	0.00492503	0.00385854	0.0290815	0.106609	0.17765	0.287224	0.386625
a75	0.00106213	0.000928583	0.000939777	0.00875263	0.0396106	0.092503	0.266439	0.589764
a85	0.00240758	0.00215131	0.00190428	0.00909071	0.0335427	0.0800259	0.266664	0.604214
a36	0.00122611	0.000893125	0.000843333	0.00371879	0.015768	0.0479421	0.251445	0.678163
a18	0.000941893	0.000705314	0.000819795	0.00272974	0.00673232	0.0232947	0.139866	0.82491
a25	0.0171683	0.00983203	0.00535091	0.00860395	0.0233369	0.062174	0.210975	0.662559
a9	0.0955304	0.0470815	0.0188358	0.0153851	0.037326	0.0882181	0.223566	0.474057
a87	0.195965	0.125361	0.0535872	0.0434117	0.0742696	0.103402	0.164047	0.239956
a23	0.208552	0.122094	0.0681409	0.080774	0.144989	0.147573	0.107737	0.12014
a87	0.16271	0.0921288	0.0711671	0.0400612	0.0790666	0.0978028	0.151491	0.305573
</S>	0.0276999	0.0287437	0.055601	0.0641916	0.133991	0.168748	0.173282	0.347743
