 	celui	qui	construit	des	murs	de	cette	case	est	maladroit	</S>
a66	0.270022	0.204224	0.175379	0.112492	0.0554908	0.0382635	0.0371051	0.0382183	0.0297823	0.0207844	0.0182394
a87	0.383489	0.181733	0.104637	0.0766218	0.0335507	0.0413754	0.0495927	0.0396694	0.0345596	0.0288825	0.0258893
a23	0.484069	0.217699	0.10886	0.0528457	0.0227858	0.0173674	0.0194351	0.0222641	0.0206025	0.0183407	0.0157302
a79	0.406464	0.148312	0.0658402	0.0320842	0.0184653	0.0210672	0.0302838	0.0381165	0.041468	0.0775991	0.1203
a90	0.253584	0.106456	0.0909945	0.0814668	0.0510627	0.0584123	0.0614968	0.064472	0.0702379	0.0671423	0.0946751
a56	0.236589	0.163097	0.169426	0.11912	0.0600429	0.0553597	0.0388658	0.0394622	0.0407818	0.0387376	0.038519
a75	0.107703	0.140983	0.185451	0.134247	0.089551	0.0804256	0.0559099	0.0548126	0.0591933	0.0546014	0.0371223
a5	0.0425683	0.0659249	0.127911	0.146862	0.115736	0.116807	0.0921862	0.0801169	0.0861425	0.0722784	0.0534676
a47	0.043659	0.0604977	0.110177	0.133687	0.129876	0.151325	0.118299	0.0737817	0.0618987	0.0556463	0.0611526
a88	0.0363889	0.0447469	0.0850411	0.11965	0.134858	0.187027	0.154119	0.0778435	0.050892	0.0459086	0.0635251
a47	0.0144068	0.0175636	0.0586401	0.131207	0.170987	0.173054	0.134321	0.0863112	0.071311	0.0636112	0.0785867
a21	0.0186133	0.0181615	0.0428175	0.0779455	0.100133	0.138339	0.154275	0.109717	0.0945194	0.102728	0.142751
a47	0.00594818	0.00658769	0.0187219	0.043663	0.0701993	0.0825866	0.113283	0.123077	0.130675	0.156794	0.248464
a62	0.00570256	0.00633373	0.0147957	0.0325351	0.054458	0.0619219	0.0925216	0.130419	0.148468	0.179177	0.273668
a70	0.00279586	0.0032696	0.00816644	0.0176531	0.0313376	0.0354009	0.0615239	0.106357	0.140689	0.219167	0.37364
a93	0.00141218	0.00155733	0.00287308	0.0060898	0.0121015	0.0172761	0.0332504	0.0596345	0.0945499	0.205804	0.565452
a34	0.000681955	0.000769181	0.00155008	0.00332021	0.00608345	0.008816	0.0198016	0.0423292	0.0733512	0.205965	0.637332
a75	0.000968564	0.000981778	0.00151553	0.00227403	0.00392736	0.0053475	0.0123055	0.0281325	0.0583796	0.200126	0.686042
a6	0.00020012	0.000177838	0.000314415	0.000708356	0.00154086	0.00298808	0.00858024	0.0259221	0.0601832	0.205535	0.69385
a36	0.000511827	0.000381885	0.000495098	0.000677002	0.00128308	0.00242762	0.00667061	0.0140472	0.0301235	0.148668	0.794714
a27	0.014455	0.00834682	0.00856891	0.0107887	0.0117506	0.0133821	0.0204417	0.0324727	0.0487401	0.142676	0.688377
a57	0.100691	0.0561582	0.0729188	0.0574976	0.0710007	0.050311	0.050156	0.0427361	0.0505836	0.106747	0.3412
a87	0.359328	0.164506	0.112419	0.0613703	0.0554423	0.0352285	0.0342541	0.0304197	0.0304291	0.0408464	0.0757576
a23	0.261969	0.149408	0.10001	0.0496773	0.0385358	0.0321356	0.0372926	0.0382267	0.0552929	0.0909403	0.146512
a87	0.135035	0.0791405	0.0548474	0.026007	0.0205371	0.0201925	0.032333	0.0573549	0.11271	0.197745	0.264098
</S>	0.0209736	0.013335	0.013066	0.0102213	0.0105977	0.0115916	0.0222957	0.0569022	0.124114	0.263776	0.453127
