 	c'	est	une	région	brûlée	par	le	soleil	</S>
a23	0.270595	0.204782	0.12738	0.107141	0.118151	0.0743514	0.0436093	0.0275761	0.0264141
a85	0.32322	0.27197	0.173947	0.068033	0.0426027	0.0282685	0.0245586	0.0289308	0.0384688
a87	0.201838	0.205871	0.19176	0.117844	0.0836073	0.0548141	0.0395256	0.043801	0.0609392
a23	0.226643	0.226234	0.22834	0.122293	0.0656809	0.0310316	0.0213622	0.0289571	0.0494583
a41	0.213155	0.187465	0.175013	0.0921384	0.0760095	0.037658	0.0331829	0.0606183	0.124759
a32	0.311257	0.266161	0.217118	0.0858253	0.046043	0.0213998	0.0154762	0.0165712	0.0201487
a61	0.293296	0.221881	0.206504	0.136397	0.079778	0.0267812	0.012253	0.0111549	0.0119547
a24	0.230732	0.215563	0.221969	0.15379	0.0729758	0.0432482	0.024705	0.0198432	0.0171737
a41	0.162865	0.160891	0.166885	0.165751	0.108341	0.0944749	0.0620926	0.0446574	0.0340417
a12	0.149967	0.148269	0.146058	0.169823	0.133603	0.119586	0.0638828	0.038375	0.0304369
a32	0.116458	0.127279	0.142158	0.160273	0.132958	0.132328	0.0889321	0.0578638	0.0417491
a26	0.0708515	0.0749424	0.0923465	0.146819	0.143785	0.171492	0.131597	0.0954843	0.0726814
a35	0.034081	0.033142	0.0432762	0.0961022	0.151957	0.200016	0.161821	0.139135	0.14047
a41	0.0417748	0.0384941	0.0445018	0.100664	0.128793	0.210687	0.191455	0.137452	0.10618
a27	0.0527291	0.0458424	0.0473904	0.0815214	0.0974433	0.183367	0.207608	0.163663	0.120435
a76	0.0189071	0.0157302	0.0148706	0.0288992	0.0663173	0.137321	0.181606	0.223913	0.312435
a73	0.0158171	0.0109723	0.00806224	0.0148599	0.0394854	0.156636	0.275526	0.271254	0.207388
a35	0.00963968	0.0076921	0.00788338	0.016084	0.0400592	0.129502	0.236713	0.277169	0.275257
a41	0.0100397	0.00679513	0.00481154	0.0082607	0.0222492	0.0953797	0.223422	0.30717	0.321873
a43	0.0103417	0.007088	0.00562953	0.0113836	0.0361424	0.113028	0.232007	0.302559	0.281821
a75	0.00643851	0.00416088	0.00279719	0.00444866	0.0142881	0.0610116	0.170297	0.301076	0.435482
a76	0.00621161	0.00387411	0.00254987	0.00517807	0.0170457	0.0670239	0.180526	0.314296	0.403294
a73	0.00942067	0.0065811	0.00390742	0.00584925	0.0160089	0.057959	0.162755	0.309739	0.427779
a35	0.0058705	0.00378311	0.00205936	0.00243646	0.00831381	0.0358467	0.130227	0.299389	0.512074
a62	0.00730859	0.00482629	0.00295404	0.00303145	0.0065254	0.0267647	0.0934858	0.259457	0.595647
a83	0.00846981	0.00602719	0.00358882	0.00386397	0.0068528	0.0276456	0.096643	0.266631	0.580278
a9	0.00879321	0.00648869	0.00406656	0.00451937	0.00785271	0.0247757	0.0827455	0.242482	0.618276
a87	0.00831562	0.00506999	0.00326875	0.00404412	0.00930911	0.0264271	0.0802445	0.236553	0.626768
</S>	0.00348903	0.00260695	0.00277706	0.00373754	0.00809641	0.0245434	0.0948644	0.280625	0.57926
