 	il	a	amené	son	frère	avec	lui	</S>
a23	0.428501	0.300244	0.156508	0.028736	0.0226323	0.0237793	0.0198285	0.0197703
a87	0.408528	0.203576	0.164922	0.0608687	0.0415563	0.0353309	0.038481	0.0467373
a23	0.214301	0.152314	0.1676	0.127797	0.105379	0.0697583	0.0699612	0.0928909
a79	0.192483	0.130566	0.144271	0.0881148	0.0959651	0.0916477	0.108666	0.148286
a20	0.237808	0.237344	0.270472	0.121507	0.0703859	0.0277248	0.0176596	0.0170988
a30	0.251399	0.322479	0.284588	0.086414	0.0338188	0.0113132	0.00572401	0.00426337
a44	0.265354	0.255819	0.245282	0.122774	0.0636015	0.0257586	0.0126568	0.00875454
a38	0.229089	0.228868	0.250486	0.147382	0.0820323	0.0333171	0.0168934	0.0119316
a35	0.165006	0.187013	0.232616	0.180916	0.112424	0.0579577	0.0356523	0.0284151
a41	0.169168	0.182744	0.232361	0.182578	0.114852	0.0602326	0.0336428	0.0244225
a35	0.134945	0.145332	0.223711	0.211607	0.13359	0.0746229	0.0437055	0.032487
a24	0.119212	0.120099	0.178186	0.21083	0.159943	0.102018	0.0628799	0.0468329
a25	0.0647948	0.0561382	0.0955316	0.178824	0.208993	0.181062	0.12108	0.0935769
a79	0.0186365	0.0177249	0.0472794	0.137591	0.235444	0.234333	0.168812	0.14018
a90	0.0223597	0.0206699	0.0399151	0.124801	0.228559	0.23553	0.174938	0.153227
a38	0.0269169	0.0267378	0.0520033	0.138969	0.21849	0.20852	0.173074	0.155288
a24	0.0120801	0.0095545	0.0268049	0.0730133	0.154694	0.230697	0.247961	0.245196
a31	0.00863386	0.00704382	0.0170829	0.038761	0.0859896	0.195442	0.294379	0.352668
a96	0.00528836	0.00454324	0.0104638	0.0299116	0.0816218	0.197071	0.294116	0.376985
a24	0.00736935	0.0064228	0.0133731	0.0298016	0.0674391	0.162226	0.293692	0.419675
a41	0.0103578	0.00959581	0.0173486	0.026399	0.0504685	0.123592	0.283911	0.478327
a14	0.00404133	0.00349549	0.00958137	0.0208632	0.0461999	0.129861	0.312403	0.473555
a73	0.00485788	0.00421917	0.0124919	0.028367	0.0495386	0.116167	0.294063	0.490295
a76	0.00397961	0.00318187	0.00891505	0.0306587	0.0717566	0.146406	0.291782	0.443319
a20	0.00465789	0.00383735	0.0108886	0.0314828	0.0667562	0.145963	0.295814	0.440601
a84	0.00571131	0.00455225	0.0138586	0.047945	0.0908541	0.150464	0.273196	0.41342
a87	0.00161678	0.00198494	0.00311522	0.00746916	0.0183315	0.0593877	0.240625	0.66747
a23	0.0377959	0.0212493	0.0161746	0.019294	0.0340275	0.101538	0.275381	0.494539
a87	0.140934	0.0748751	0.0337352	0.0295187	0.0416796	0.0943338	0.212422	0.372502
</S>	0.0730013	0.0379074	0.0280145	0.0355107	0.0631873	0.149673	0.255893	0.356812
