 	l'	autre	chose	qu'	il	m'	a	promise	c'	était	une	chemise	</S>
a66	0.253651	0.123427	0.0555124	0.0482066	0.0623898	0.0912149	0.103789	0.0895214	0.0613879	0.0479784	0.0307446	0.0175406	0.0146361
a87	0.318142	0.177735	0.109149	0.0709876	0.0518646	0.0573877	0.0585924	0.0632079	0.0347871	0.0212083	0.0161795	0.00956132	0.0111967
a23	0.30942	0.18205	0.112108	0.0656662	0.0469912	0.0605472	0.0636268	0.0868794	0.027435	0.0137692	0.0115974	0.00951213	0.0103967
a83	0.328001	0.198837	0.12588	0.0693321	0.0479886	0.0525793	0.050137	0.0584228	0.0255795	0.0136377	0.011229	0.00839239	0.00998289
a50	0.267675	0.199461	0.136101	0.0646286	0.0417085	0.0497692	0.0542953	0.0613899	0.0423312	0.0319597	0.0238145	0.0124994	0.0143665
a62	0.170402	0.202885	0.216178	0.117075	0.0655888	0.0459267	0.0367281	0.0336741	0.0268261	0.0265068	0.0240728	0.0159128	0.0182235
a12	0.136916	0.187739	0.236626	0.131358	0.0682729	0.0468785	0.0391617	0.0351148	0.0234872	0.0261419	0.0253078	0.0202605	0.0227356
a18	0.105441	0.161305	0.25541	0.152968	0.0802289	0.0603156	0.0532665	0.0440277	0.0217462	0.0204627	0.0169135	0.0136842	0.0142303
a12	0.0593167	0.106369	0.169629	0.130116	0.0931055	0.0759609	0.0704744	0.0653171	0.0394567	0.0491475	0.0500697	0.0425533	0.0484831
a96	0.0675351	0.106318	0.205788	0.154621	0.0972551	0.0805801	0.0752	0.0705237	0.0340919	0.038041	0.0266458	0.0222065	0.0211939
a23	0.039839	0.0677863	0.14628	0.129082	0.0976695	0.0897726	0.0878141	0.0907839	0.0497588	0.0643859	0.0484104	0.0450748	0.0433427
a12	0.0260755	0.0516359	0.102269	0.118122	0.102187	0.0889323	0.0820575	0.0786741	0.0581559	0.0818321	0.0683642	0.0689496	0.072744
a18	0.030284	0.0467827	0.0865522	0.11597	0.115051	0.111078	0.102455	0.0969744	0.0634964	0.0782658	0.0556273	0.0513563	0.0461068
a43	0.0106533	0.0180943	0.0334538	0.0662274	0.108585	0.126333	0.125535	0.121784	0.0886037	0.104221	0.0731983	0.0608579	0.0624529
a24	0.0143176	0.0211714	0.0312184	0.057068	0.100907	0.118416	0.118088	0.112249	0.100713	0.119495	0.0851229	0.0607262	0.0605072
a11	0.00911358	0.013463	0.0241287	0.044071	0.0879977	0.110829	0.112716	0.105396	0.109796	0.138612	0.100342	0.0680709	0.0754646
a90	0.00554904	0.00808072	0.0121257	0.0276865	0.0676438	0.0980509	0.10808	0.109521	0.126491	0.166134	0.11355	0.0770199	0.0800672
a44	0.0048198	0.00628642	0.00876902	0.015657	0.0382213	0.0741528	0.0888727	0.0976788	0.113351	0.180083	0.152904	0.117461	0.101743
a70	0.00354023	0.0045413	0.00606551	0.0129846	0.0380847	0.0735894	0.0846527	0.0889259	0.114839	0.180948	0.1644	0.122349	0.10508
a62	0.00213022	0.00270709	0.00369704	0.0088528	0.0280226	0.052814	0.0626936	0.0703789	0.108064	0.188884	0.195306	0.146071	0.130378
a12	0.00254733	0.00310155	0.00493862	0.0105457	0.0317513	0.0545978	0.0605478	0.0645349	0.0847418	0.145845	0.185924	0.185456	0.165468
a18	0.00275494	0.00323194	0.0047028	0.00932355	0.0235039	0.0415328	0.051661	0.0590485	0.0857988	0.150279	0.190638	0.190958	0.186566
a34	0.00079908	0.000844187	0.000875338	0.00184185	0.00502931	0.0100695	0.0169307	0.0234527	0.0515979	0.136207	0.237932	0.262796	0.251625
a90	0.000609097	0.000728303	0.000794031	0.00201547	0.00623347	0.0117164	0.016531	0.0206794	0.0497866	0.136153	0.238989	0.247771	0.267993
a69	0.000489597	0.000635339	0.000763496	0.00265338	0.00946819	0.0191379	0.0243976	0.0265354	0.0565257	0.136653	0.218441	0.240075	0.264224
a4	0.000322793	0.000456182	0.000689697	0.00246376	0.00873773	0.0163933	0.0204048	0.0246629	0.053475	0.135034	0.225412	0.242189	0.269759
a58	0.000354699	0.000417713	0.000440948	0.00166101	0.00627002	0.0115981	0.0137918	0.0142005	0.0369401	0.10358	0.225347	0.268106	0.317292
a40	0.000401917	0.000431398	0.000424513	0.000983208	0.00261366	0.00412561	0.00570749	0.00781597	0.0200034	0.0665216	0.154891	0.332714	0.403367
a54	0.000410462	0.000462877	0.000511777	0.00153025	0.00439992	0.00641133	0.00756831	0.00853091	0.0257929	0.093432	0.223225	0.28727	0.340454
a36	0.000860491	0.000987874	0.00106932	0.00327078	0.0103879	0.0158655	0.0149142	0.0164735	0.0263379	0.0829386	0.182041	0.262055	0.382798
a37	0.000300721	0.000337178	0.000365812	0.00101529	0.00227037	0.00248641	0.00244728	0.00293028	0.0109161	0.0506866	0.154763	0.341202	0.430279
a70	0.000315396	0.000412342	0.000497743	0.00119925	0.00253548	0.00265434	0.00278775	0.00356359	0.0119869	0.0457706	0.137275	0.361734	0.429267
a66	0.000195996	0.000243984	0.000257403	0.000618748	0.00139676	0.00165137	0.00205583	0.00299327	0.0100491	0.0378431	0.111248	0.358626	0.47282
a94	0.00108473	0.00116724	0.00112725	0.00209573	0.00383111	0.00401807	0.00443213	0.00660853	0.0131756	0.0432316	0.109124	0.362981	0.447123
a26	0.000262363	0.000326761	0.000353632	0.000833117	0.00165449	0.00187479	0.00229641	0.00339851	0.00916611	0.0324187	0.10062	0.376334	0.470462
a57	0.00171122	0.00171843	0.00171571	0.00310791	0.00540202	0.00483003	0.00425298	0.00558017	0.00986457	0.031609	0.0907563	0.369743	0.469708
a82	0.00907831	0.0069299	0.00637947	0.00970145	0.0152586	0.0126603	0.0100484	0.0114368	0.0170741	0.0436261	0.106591	0.343898	0.407318
a10	0.104937	0.0519541	0.0386347	0.0410909	0.0496093	0.0406359	0.0295842	0.0279634	0.0315789	0.0480282	0.0919756	0.208314	0.235694
a87	0.148952	0.0877746	0.0619441	0.0596338	0.0614228	0.0606807	0.0514529	0.0524166	0.0499658	0.0546606	0.0831471	0.109811	0.118138
a23	0.120568	0.0845575	0.0639365	0.0633228	0.0653454	0.0813513	0.0833585	0.08549	0.0654585	0.0595437	0.0753267	0.0768179	0.0749231
a87	0.094066	0.064157	0.0449361	0.0694762	0.0801376	0.104489	0.0855721	0.0595496	0.0652085	0.0719774	0.0902492	0.0738789	0.0963024
</S>	0.0384117	0.0361651	0.0343792	0.067945	0.0932158	0.136443	0.0984536	0.0652012	0.0545462	0.0612822	0.0862103	0.099807	0.12794
