 	cette	femme	a	perdu	son	enfant	</S>
a66	0.428466	0.194692	0.106617	0.0826686	0.0809589	0.0625792	0.0440177
a87	0.262342	0.145801	0.112331	0.118461	0.125985	0.124426	0.110654
a23	0.392615	0.217203	0.121734	0.0922928	0.0655431	0.0562287	0.0543836
a13	0.445714	0.241603	0.115582	0.0649743	0.0482787	0.0437204	0.0401282
a18	0.367269	0.229654	0.126902	0.0679988	0.0645157	0.0727331	0.0709282
a93	0.34846	0.261254	0.147952	0.0750296	0.0563418	0.0546497	0.0563136
a53	0.280532	0.246195	0.161659	0.0910294	0.0712723	0.0715565	0.077757
a20	0.198346	0.20007	0.161659	0.109276	0.0929887	0.108384	0.129276
a7	0.167848	0.174861	0.173548	0.141295	0.116901	0.112466	0.113081
a12	0.106315	0.133111	0.151573	0.13502	0.133099	0.157998	0.182884
a88	0.0606411	0.0814812	0.116069	0.133006	0.136004	0.19307	0.279729
a96	0.0417834	0.0575572	0.104553	0.1526	0.146984	0.193565	0.302957
a54	0.0353677	0.0548502	0.106824	0.163243	0.161403	0.192389	0.285923
a79	0.0170405	0.0306947	0.0682781	0.127394	0.178398	0.232717	0.345478
a37	0.0315772	0.0522121	0.101929	0.162914	0.188441	0.205347	0.25758
a36	0.0161464	0.0202995	0.0388972	0.0895022	0.154213	0.260747	0.420195
a26	0.00709517	0.00840183	0.0156255	0.0366735	0.103139	0.281241	0.547824
a57	0.00341574	0.00398214	0.00701384	0.016528	0.0676597	0.268078	0.633322
a97	0.0373079	0.0256367	0.0260859	0.0440465	0.0994927	0.24438	0.52305
a3	0.104096	0.0584035	0.0474705	0.0786713	0.148875	0.230392	0.332092
a99	0.140877	0.0827657	0.0606155	0.0969966	0.175935	0.213597	0.229212
a97	0.103805	0.0728284	0.0663466	0.114265	0.181254	0.225539	0.235962
a87	0.0868481	0.06388	0.0637337	0.116841	0.177473	0.228943	0.262281
a97	0.0738175	0.0587141	0.0599226	0.111271	0.178928	0.238394	0.278953
a87	0.121529	0.0999643	0.0932206	0.134012	0.165918	0.186994	0.198362
a97	0.121896	0.100231	0.0945767	0.129094	0.160833	0.188442	0.204926
</S>	0.149619	0.136747	0.122805	0.13599	0.141669	0.152533	0.160637
