 	cette	femme	qui	allaite	son	bébé	a	des	pieds	enflés	</S>
a87	0.232797	0.144591	0.148629	0.0884996	0.0815363	0.0954879	0.0738981	0.0593972	0.0318469	0.0272939	0.0160225
a23	0.265994	0.120691	0.0794297	0.0387447	0.0593475	0.0695554	0.0688341	0.0642606	0.067814	0.0511741	0.114155
a10	0.138656	0.117385	0.12349	0.0789777	0.102714	0.0931274	0.0715507	0.0524376	0.0595957	0.0588193	0.103246
a87	0.118913	0.130126	0.144422	0.0808899	0.0763223	0.0597619	0.0586041	0.0514197	0.0585888	0.0932338	0.127719
a23	0.154893	0.127193	0.126106	0.0803055	0.0776974	0.073379	0.0716062	0.0657333	0.0600508	0.0761295	0.0869072
a38	0.15133	0.137281	0.142853	0.0783606	0.0727814	0.0651832	0.066335	0.0599865	0.0558727	0.0808844	0.0891322
a54	0.28814	0.253209	0.189444	0.0902867	0.0392034	0.0244333	0.018939	0.0206016	0.0199849	0.0275746	0.0281825
a47	0.238857	0.219917	0.179903	0.126659	0.0693652	0.0448944	0.0298638	0.0244957	0.0201358	0.023354	0.0225548
a5	0.180452	0.222333	0.223777	0.151424	0.0657732	0.0396548	0.0229191	0.0207118	0.0199157	0.0241644	0.0288745
a37	0.178885	0.210497	0.21329	0.164889	0.0823895	0.0490183	0.0273942	0.0225594	0.0182584	0.0158369	0.0169828
a11	0.137077	0.182494	0.233747	0.189919	0.0891703	0.0538005	0.032501	0.0275577	0.0203528	0.0173025	0.0160776
a90	0.098058	0.134492	0.192949	0.161315	0.106703	0.0839711	0.0590028	0.0514968	0.0406877	0.0377177	0.0336067
a70	0.0959585	0.115079	0.153708	0.165539	0.121497	0.0874065	0.0600086	0.0538481	0.0490145	0.0432933	0.0546482
a83	0.0871601	0.0972249	0.145176	0.150562	0.132666	0.11101	0.0721061	0.0585339	0.0468222	0.0449754	0.0537627
a62	0.0641299	0.0671268	0.103029	0.118521	0.131465	0.120121	0.0909909	0.0730425	0.0652329	0.0731418	0.0931987
a24	0.0591227	0.0605513	0.0908549	0.105632	0.145302	0.154076	0.116368	0.0859328	0.0628619	0.0591944	0.0601044
a31	0.0446621	0.0447329	0.0652657	0.0808406	0.134287	0.151156	0.128845	0.0980417	0.0727994	0.0805581	0.0988111
a21	0.0435779	0.0393774	0.052991	0.067274	0.127876	0.148397	0.14643	0.118762	0.0898276	0.082305	0.0831818
a61	0.051598	0.0457745	0.0563089	0.0659421	0.113867	0.152984	0.164138	0.137483	0.0939739	0.0667695	0.0511605
a62	0.0282063	0.0252453	0.0316814	0.0416191	0.0813921	0.11499	0.161776	0.162969	0.148187	0.116351	0.0875831
a83	0.0214267	0.0191601	0.0241337	0.0324859	0.0669964	0.0934637	0.14494	0.158262	0.174895	0.161986	0.10225
a90	0.0121124	0.0113508	0.0155163	0.0244758	0.0482272	0.0647865	0.118113	0.141457	0.191162	0.211413	0.161386
a70	0.0160179	0.0172094	0.0221637	0.0416038	0.0949534	0.100549	0.137553	0.145586	0.165476	0.158778	0.100109
a83	0.00377984	0.00367327	0.00605747	0.0115259	0.0253563	0.0328922	0.0614542	0.0892015	0.173502	0.305222	0.287335
a90	0.00257824	0.0026891	0.00475089	0.0106558	0.0274195	0.0346771	0.0643678	0.0877122	0.167392	0.2815	0.316257
a82	0.00413675	0.00426776	0.00665518	0.0164122	0.0347966	0.0372131	0.06155	0.0893434	0.174414	0.294739	0.276473
a87	0.00172744	0.00159496	0.00247519	0.00498487	0.0134234	0.018773	0.0411648	0.0725076	0.145268	0.26701	0.431071
a23	0.00915743	0.00648236	0.00979823	0.0141397	0.0296586	0.0559883	0.121039	0.185065	0.185775	0.176531	0.206366
a99	0.00588445	0.00343545	0.00478496	0.00767026	0.0211703	0.0421794	0.100077	0.188799	0.241097	0.173974	0.210928
a87	0.00386972	0.00362296	0.00806016	0.0174516	0.046947	0.0605433	0.102833	0.157536	0.188487	0.192485	0.218164
a23	0.00915587	0.00643237	0.010383	0.0151698	0.0301941	0.0473053	0.0937931	0.150834	0.215054	0.203388	0.218289
a87	0.0087166	0.00660855	0.0104165	0.0165363	0.0375444	0.0558423	0.101276	0.152179	0.214916	0.177409	0.218556
</S>	0.0139197	0.0105084	0.0150932	0.0196294	0.0383963	0.0514046	0.08078	0.115647	0.169183	0.179202	0.306236
