 	la	brebis	a	mis	bas	un	agnelet	</S>
a87	0.215008	0.259651	0.197353	0.145349	0.0878384	0.0372218	0.0354085	0.0221706
a38	0.118319	0.152	0.131169	0.106077	0.104301	0.089377	0.123516	0.175239
a5	0.198631	0.236295	0.149851	0.121544	0.0981657	0.0602645	0.0635359	0.0717119
a18	0.489608	0.221138	0.0920642	0.0714807	0.045175	0.0320874	0.0250205	0.0234259
a75	0.550687	0.273636	0.079384	0.0476953	0.0200316	0.0120409	0.00914024	0.00738413
a98	0.480813	0.258767	0.103474	0.0684095	0.0388826	0.0204378	0.0164798	0.0127365
a56	0.403209	0.311528	0.116376	0.0669652	0.0386954	0.0240935	0.021834	0.017299
a75	0.312275	0.312633	0.149341	0.0939651	0.049298	0.0294629	0.0284997	0.0245257
a56	0.14076	0.225517	0.192409	0.135104	0.10333	0.0722386	0.0725236	0.058117
a66	0.0759256	0.156191	0.205286	0.179473	0.135748	0.0891838	0.0879743	0.070218
a90	0.0278435	0.0708567	0.140318	0.148749	0.156207	0.136241	0.170793	0.148992
a25	0.0130567	0.0314817	0.100328	0.133542	0.198096	0.174671	0.195176	0.153649
a98	0.00821284	0.0170119	0.053163	0.07828	0.145474	0.183128	0.287059	0.227672
a73	0.00482695	0.00973559	0.0335536	0.0483337	0.108747	0.163252	0.348421	0.28313
a56	0.00340797	0.00537307	0.0141235	0.0181034	0.0415929	0.0775369	0.343418	0.496445
a54	0.00122583	0.00234212	0.00849043	0.012852	0.0418497	0.101937	0.376217	0.455086
a73	0.0023755	0.00336521	0.00835866	0.00964255	0.0270189	0.0760439	0.319086	0.554109
a37	0.00145593	0.00210367	0.00503375	0.00502083	0.0174449	0.0524286	0.310786	0.605726
a26	0.000587901	0.000842165	0.00275048	0.00383827	0.0195448	0.0626951	0.351053	0.558688
a57	0.00217627	0.00310226	0.00827134	0.00991521	0.0391021	0.0715748	0.298721	0.567137
a10	0.0349866	0.0289088	0.0394995	0.0347094	0.0717058	0.0942756	0.26138	0.434534
</S>	0.0450617	0.0370078	0.0541447	0.0472132	0.0915326	0.130433	0.266736	0.327871
