 	les	maux	de	tête	me	donnent	des	vertiges	</S>
a57	0.258033	0.170119	0.134665	0.109885	0.0977136	0.087512	0.0853031	0.0363927	0.020376
a10	0.220905	0.12056	0.0686197	0.0973508	0.0995908	0.190999	0.12427	0.0446259	0.0330787
a97	0.20023	0.169028	0.120419	0.139581	0.100777	0.138835	0.06003	0.0362899	0.0348086
a83	0.221488	0.219924	0.149841	0.151408	0.0777415	0.0891415	0.0376561	0.0287513	0.0240481
a50	0.287403	0.249602	0.130625	0.113292	0.0603048	0.0764419	0.0330719	0.018377	0.0308834
a62	0.245195	0.224876	0.162032	0.144469	0.0877417	0.0807137	0.0344134	0.011211	0.00934705
a88	0.172756	0.216831	0.1927	0.173627	0.114197	0.0773426	0.03454	0.0107817	0.00722462
a93	0.139867	0.195813	0.187555	0.172451	0.13673	0.0861724	0.0451301	0.0198689	0.0164126
a90	0.093205	0.162229	0.160448	0.165085	0.170688	0.114127	0.0735484	0.0348153	0.0258537
a98	0.116355	0.171623	0.181559	0.179233	0.155327	0.0977369	0.0604036	0.0204708	0.0172925
a92	0.100152	0.118903	0.145309	0.151632	0.159156	0.121353	0.112385	0.0489857	0.0421245
a21	0.117863	0.107165	0.12813	0.127954	0.138233	0.129166	0.136309	0.064109	0.05107
a12	0.0745373	0.0615802	0.073691	0.0848817	0.124819	0.140671	0.196751	0.143759	0.0993098
a96	0.0505402	0.0408914	0.0560682	0.0736702	0.120422	0.133124	0.204365	0.178253	0.142666
a21	0.0208411	0.0178006	0.0259276	0.0384443	0.0749381	0.109069	0.196868	0.230806	0.285305
a5	0.0134171	0.0107668	0.0145811	0.0214243	0.0454409	0.0668056	0.154088	0.333909	0.339567
a21	0.0067826	0.00508224	0.00752465	0.0111475	0.0227167	0.0402878	0.115487	0.311249	0.479723
a47	0.00341676	0.00284631	0.00450074	0.00760104	0.0175542	0.0320793	0.0871677	0.271892	0.572942
a96	0.00329661	0.00272735	0.0045326	0.00788671	0.0158006	0.034151	0.0764831	0.228304	0.626818
a61	0.000693576	0.000646267	0.00122485	0.00277341	0.00633307	0.0167969	0.0474031	0.190552	0.733577
a93	0.00067387	0.000654071	0.00121533	0.00283222	0.00775634	0.0185919	0.0527044	0.223031	0.692541
a70	0.000302121	0.000304405	0.00062457	0.00160015	0.00410659	0.0120189	0.0349123	0.159291	0.78684
a13	0.000313982	0.000295659	0.000599427	0.00146763	0.00361768	0.0115709	0.0332331	0.136317	0.812585
a9	0.00157602	0.00133146	0.00215965	0.00382901	0.00474337	0.0145479	0.0568479	0.24901	0.665955
a3	0.0205385	0.0106263	0.0123276	0.0147167	0.0145467	0.0282748	0.063074	0.214232	0.621664
a9	0.0532385	0.0271262	0.0223369	0.0203407	0.0175774	0.0283264	0.06307	0.279353	0.488631
a3	0.0539895	0.0358025	0.0326503	0.0288821	0.0217378	0.0302165	0.0748286	0.273192	0.448701
a97	0.0143694	0.0104459	0.00967473	0.0100373	0.0107998	0.0199768	0.0526896	0.224125	0.647882
</S>	0.0177547	0.0164969	0.0155015	0.0182096	0.0220958	0.0365412	0.0616263	0.197904	0.61387
