 	il	est	attentif	à	ce	qu'	on	lui	dit	</S>
a23	0.0755975	0.0738101	0.0667037	0.086598	0.0938122	0.0955769	0.0991867	0.125105	0.127244	0.156366
a20	0.164598	0.128374	0.0864335	0.0706675	0.0656298	0.0537855	0.0534541	0.0765775	0.109838	0.190642
a44	0.368054	0.239805	0.0771049	0.0681143	0.0479388	0.0313629	0.0316884	0.0327521	0.037866	0.0653136
a20	0.45491	0.208732	0.0805216	0.0660761	0.0558774	0.0339022	0.0270647	0.0225406	0.0209224	0.0294527
a30	0.236937	0.193407	0.125085	0.110031	0.101569	0.0702301	0.0521276	0.0375325	0.033002	0.0400793
a73	0.270856	0.219468	0.156569	0.110712	0.0876467	0.0508395	0.0358678	0.0238012	0.0208285	0.0234113
a84	0.190381	0.195436	0.160615	0.135528	0.113985	0.0686279	0.0483835	0.0313515	0.0254308	0.0302622
a57	0.130976	0.135637	0.122544	0.132735	0.122365	0.0803064	0.0623402	0.0559692	0.0639917	0.093135
a4	0.0913628	0.0999735	0.0976281	0.111721	0.113321	0.0859758	0.0685862	0.0789766	0.100455	0.152
a94	0.185877	0.181685	0.135266	0.123307	0.109025	0.0713552	0.0491332	0.0361682	0.0444549	0.0637279
a54	0.156836	0.168609	0.151992	0.132517	0.120775	0.0837587	0.0578059	0.0413195	0.0392309	0.047155
a14	0.094588	0.120797	0.136733	0.120914	0.115415	0.0970341	0.0818747	0.0738761	0.0734221	0.0853458
a44	0.102464	0.144491	0.163201	0.14752	0.134681	0.0955934	0.0662895	0.0491955	0.0437816	0.0527831
a84	0.104124	0.138185	0.145941	0.145756	0.142835	0.0953709	0.0618419	0.0453076	0.0489494	0.0716888
a38	0.0656423	0.0935479	0.0908744	0.138118	0.180153	0.120141	0.0803951	0.0626328	0.0673281	0.101167
a12	0.0852636	0.0977803	0.0780163	0.109157	0.142677	0.0996671	0.0775006	0.0738856	0.0914504	0.144602
a96	0.0530982	0.0583078	0.0679524	0.0838082	0.102618	0.114086	0.0937763	0.0997376	0.131413	0.195203
a94	0.0657992	0.0661611	0.0607854	0.0717651	0.0910609	0.109811	0.098773	0.104104	0.129454	0.202287
a76	0.0746373	0.0754986	0.0576727	0.0726073	0.0968531	0.114241	0.110682	0.110478	0.116828	0.170502
a41	0.0345064	0.0431336	0.0450667	0.0552422	0.0639843	0.0751637	0.0771028	0.116845	0.191468	0.297487
a5	0.0278307	0.0349352	0.0339439	0.0462677	0.059635	0.0852947	0.0949994	0.130616	0.190608	0.295869
a43	0.0474798	0.052343	0.0506518	0.0623685	0.0726553	0.0986703	0.120443	0.143835	0.159137	0.192417
a21	0.0303022	0.0377069	0.0338276	0.0432731	0.0526175	0.0735404	0.102071	0.157687	0.194885	0.274089
a98	0.0297307	0.0361971	0.0389485	0.053129	0.0641907	0.0906363	0.120165	0.166908	0.194717	0.205377
a44	0.0185571	0.0260744	0.0264962	0.0360707	0.0437606	0.0619573	0.0925813	0.170334	0.232104	0.292064
a98	0.0386144	0.0523113	0.0422728	0.0544381	0.0633254	0.0724793	0.0972727	0.159485	0.193665	0.226137
a73	0.0338114	0.0458173	0.0392182	0.0511801	0.0607066	0.0724171	0.094786	0.156089	0.200129	0.245845
a69	0.0148632	0.02493	0.0209901	0.0344618	0.0461671	0.0565521	0.0788581	0.156201	0.241978	0.324998
a58	0.0157451	0.0252449	0.0192035	0.0332669	0.0478236	0.0546591	0.072968	0.143305	0.238953	0.348831
a82	0.0122168	0.0161448	0.0109327	0.0182985	0.0263131	0.0334724	0.0505151	0.127381	0.256319	0.448407
a87	0.00626941	0.00736053	0.00628504	0.0107125	0.0163403	0.0299261	0.0511092	0.129781	0.27145	0.470766
</S>	0.0074483	0.00773251	0.00623803	0.00707394	0.00836683	0.0194447	0.0377138	0.109849	0.27312	0.523013
