 	le	hibou	a	des	gros	yeux	</S>
a66	0.271088	0.201822	0.204245	0.144956	0.0848423	0.0516496	0.0413972
a87	0.188459	0.180784	0.203662	0.146696	0.112857	0.0881151	0.0794268
a99	0.395076	0.250659	0.137875	0.0767172	0.0551666	0.0427226	0.0417836
a50	0.438481	0.295141	0.126321	0.0525468	0.0340195	0.0257604	0.0277308
a88	0.502388	0.267487	0.114675	0.0561222	0.0277247	0.0160458	0.0155577
a0	0.465351	0.271185	0.127481	0.0614847	0.032365	0.0215979	0.0205355
a70	0.38751	0.276013	0.163968	0.0810974	0.0406916	0.0262069	0.0245123
a93	0.381695	0.249955	0.166077	0.0868459	0.047881	0.0343253	0.0332214
a56	0.358119	0.224014	0.176047	0.0971403	0.0585533	0.0433096	0.0428163
a61	0.299744	0.195065	0.175675	0.119034	0.0824752	0.063894	0.0641121
a21	0.200285	0.175051	0.185817	0.147669	0.1147	0.0882852	0.0881926
a5	0.102987	0.132052	0.178237	0.176535	0.157743	0.125824	0.126622
a12	0.0275232	0.0638378	0.123227	0.174705	0.208567	0.192776	0.209364
a43	0.0121247	0.0311106	0.0679644	0.131661	0.205536	0.244021	0.307582
a75	0.00504315	0.0140447	0.0339808	0.0880435	0.177527	0.265822	0.415539
a85	0.00229481	0.00718918	0.0194173	0.0799667	0.193844	0.290546	0.406741
a75	0.00225572	0.00635512	0.0152077	0.0648055	0.166862	0.293011	0.451503
a5	0.00111517	0.00410847	0.0102673	0.0469083	0.131098	0.258264	0.548238
a18	0.00121488	0.00337902	0.00764488	0.0328306	0.105551	0.255467	0.593912
a25	0.00147687	0.003443	0.00710586	0.0318927	0.108731	0.263328	0.584022
a99	0.0131699	0.0160461	0.0234656	0.0545361	0.125479	0.255581	0.511722
a97	0.0744948	0.0589207	0.0596556	0.0933538	0.146419	0.218449	0.348707
a87	0.202545	0.110298	0.088308	0.102641	0.1258	0.154718	0.21569
a97	0.15516	0.0787887	0.0706358	0.0991852	0.138483	0.187069	0.270678
a99	0.062983	0.0361981	0.0384286	0.0704004	0.132311	0.23083	0.428849
a97	0.0280588	0.0292174	0.0378779	0.0694035	0.134021	0.238842	0.46258
a99	0.0488785	0.0584067	0.0626085	0.0828698	0.12857	0.207392	0.411275
a30	0.0227681	0.0309362	0.0431894	0.0769522	0.14215	0.239581	0.444423
</S>	0.0380458	0.0460661	0.0525386	0.0836452	0.147676	0.230387	0.401641
