 	notre	maman	a	préparé	du	poisson	salé	aux	aubergines	</S>
a66	0.186154	0.127775	0.116106	0.11082	0.17145	0.152059	0.0820521	0.0285302	0.013704	0.0113508
a87	0.335777	0.1954	0.12038	0.0852814	0.0634874	0.0519138	0.0257982	0.0246965	0.0415483	0.0557183
a23	0.399288	0.239809	0.147507	0.075078	0.0437792	0.0250733	0.0130175	0.00939679	0.0158851	0.0311661
a87	0.297151	0.238377	0.177435	0.105673	0.0578086	0.0201716	0.0155336	0.0166191	0.0266118	0.0446198
a23	0.300258	0.246343	0.181566	0.106364	0.0602366	0.0210486	0.0136158	0.0141275	0.0211118	0.0353281
a87	0.256896	0.232665	0.18952	0.104473	0.0471871	0.019361	0.0258619	0.0258324	0.0398676	0.0583352
a23	0.225125	0.211518	0.171374	0.110083	0.0655031	0.0283566	0.0310085	0.030453	0.0495336	0.0770446
a99	0.194323	0.181263	0.160218	0.0969115	0.0502525	0.0244794	0.0509651	0.05312	0.0847097	0.103758
a53	0.194213	0.182606	0.178373	0.120392	0.0779922	0.0415594	0.0569139	0.0411183	0.051345	0.0554882
a15	0.221262	0.180923	0.169598	0.145379	0.124117	0.0636196	0.0352159	0.0226665	0.0181881	0.0190291
a79	0.12304	0.107016	0.108838	0.129179	0.162591	0.153135	0.0833559	0.0573189	0.0380012	0.0375247
a56	0.146314	0.143129	0.147045	0.163985	0.167914	0.12108	0.0505817	0.0279998	0.0160464	0.0159052
a0	0.18232	0.158026	0.153843	0.158792	0.149926	0.0921152	0.0447775	0.0265979	0.0170276	0.0165742
a75	0.183327	0.162798	0.165106	0.168439	0.153634	0.0799723	0.0366867	0.0192785	0.0144043	0.0163537
a85	0.03902	0.0437833	0.0598736	0.114444	0.173789	0.206859	0.162811	0.0930851	0.0521485	0.0541854
a92	0.032166	0.0362275	0.0485355	0.0887191	0.15136	0.224475	0.16548	0.105694	0.0686366	0.0787073
a85	0.0400172	0.0457374	0.0648058	0.104698	0.146496	0.2037	0.149379	0.104354	0.0694626	0.071351
a6	0.0185148	0.0234818	0.0324515	0.0523596	0.0782338	0.131241	0.166466	0.170766	0.150722	0.175763
a37	0.0226326	0.028446	0.0453459	0.0770241	0.118101	0.189293	0.156649	0.117152	0.11349	0.131867
a61	0.028088	0.0301403	0.0386171	0.0601794	0.10125	0.174258	0.135058	0.097411	0.132951	0.202047
a66	0.0267435	0.0249369	0.0263832	0.0328866	0.0426968	0.12891	0.184443	0.141736	0.161207	0.230058
a0	0.0314226	0.0273964	0.0246282	0.0217683	0.0282432	0.0690028	0.138163	0.176693	0.192704	0.289979
a75	0.039212	0.034979	0.0275851	0.0200213	0.0221588	0.0427225	0.104657	0.164844	0.204874	0.338947
a5	0.00210296	0.0019246	0.00205314	0.00267338	0.00410927	0.0219062	0.0911876	0.173015	0.28534	0.415688
a61	0.00561114	0.00470805	0.0048514	0.00581118	0.00873737	0.0305118	0.123498	0.209551	0.268119	0.338601
a43	0.00273618	0.00238251	0.00238709	0.00278929	0.00442153	0.0153276	0.0759712	0.197754	0.311959	0.384272
a75	0.00154539	0.00122902	0.00108105	0.00109591	0.00177966	0.00734594	0.0464952	0.15879	0.326093	0.454544
a85	0.000199897	0.000171768	0.00015606	0.000200446	0.000486574	0.00510387	0.0410862	0.160257	0.306933	0.485405
a36	6.16576e-05	5.06306e-05	4.29046e-05	5.04347e-05	0.000117466	0.00174315	0.0210008	0.0981591	0.329182	0.549592
a75	0.000847953	0.000530278	0.000317018	0.000221824	0.000256032	0.00214625	0.0162304	0.0762554	0.251984	0.651211
a47	0.000223214	0.000137766	8.54209e-05	9.38569e-05	0.000211501	0.00208578	0.01287	0.0677121	0.260152	0.656428
a79	0.000287257	0.000184885	0.000117289	0.000121199	0.000246392	0.00276268	0.0174013	0.0791333	0.279786	0.61996
a7	0.000421556	0.000265367	0.000135414	0.000109458	0.000188499	0.00211792	0.0150305	0.0787352	0.281895	0.621101
a44	0.00123745	0.000864903	0.000530232	0.000438581	0.000643806	0.0050023	0.0236353	0.0858627	0.247263	0.634521
a84	0.00260923	0.00202373	0.00154713	0.00146006	0.00243774	0.0150696	0.0548325	0.127653	0.257718	0.534649
a57	0.0120512	0.00765591	0.00506316	0.00372409	0.00472379	0.0240824	0.0891685	0.144083	0.269504	0.439944
a87	0.139778	0.065287	0.0366054	0.0236796	0.0207537	0.0465184	0.0808832	0.107097	0.166709	0.312689
a23	0.301665	0.172762	0.104472	0.0571551	0.0308492	0.0415148	0.0498231	0.0501814	0.0754598	0.116117
a87	0.206631	0.0921664	0.0339028	0.0137708	0.0071853	0.0201792	0.0306942	0.0765656	0.206902	0.312002
</S>	0.0090978	0.00382773	0.00190969	0.00158627	0.00165952	0.00924716	0.024045	0.0815489	0.264266	0.602811
