 	il	n'	aime	pas	cet	homme	</S>
a10	0.299698	0.148554	0.112882	0.129702	0.112411	0.097179	0.0995735
a87	0.215661	0.130428	0.117405	0.119161	0.125772	0.135713	0.15586
a10	0.25578	0.145668	0.106192	0.0912986	0.0959576	0.129966	0.175138
a53	0.389481	0.179641	0.076508	0.0625762	0.0726727	0.0891318	0.12999
a54	0.410995	0.203934	0.0957436	0.0632339	0.0575027	0.069898	0.0986923
a14	0.529199	0.28991	0.0859419	0.0310756	0.0213101	0.0188603	0.0237028
a35	0.466214	0.301959	0.121443	0.0413349	0.0253241	0.0207428	0.0229832
a26	0.429866	0.309854	0.137624	0.0455986	0.0271987	0.0228661	0.0269931
a98	0.324785	0.293982	0.198124	0.0713344	0.0407366	0.0332985	0.0377391
a25	0.282434	0.264353	0.209182	0.100964	0.0584036	0.0427583	0.0419047
a9	0.228645	0.241053	0.233805	0.124171	0.0711029	0.0515422	0.0496816
a76	0.173964	0.20529	0.235828	0.142844	0.0884445	0.071778	0.0818515
a35	0.176644	0.187831	0.206183	0.145233	0.113108	0.0898142	0.0811864
a32	0.147612	0.15862	0.208955	0.185565	0.134689	0.0915097	0.0730492
a75	0.0938571	0.104108	0.17613	0.208022	0.176454	0.127827	0.113602
a30	0.0674934	0.0743825	0.139792	0.187599	0.189643	0.171466	0.169624
a35	0.0725436	0.0821962	0.136767	0.194019	0.192956	0.158907	0.162611
a90	0.0507886	0.0551904	0.0983346	0.16956	0.209998	0.201657	0.21447
a76	0.0461506	0.0484847	0.0825405	0.138791	0.201837	0.223585	0.258611
a44	0.0337724	0.0366957	0.0710517	0.134588	0.206764	0.238644	0.278485
a82	0.0294358	0.0303246	0.0496332	0.0873112	0.163345	0.258891	0.381059
a40	0.00910741	0.00986978	0.0159166	0.0378577	0.109411	0.270588	0.54725
a98	0.0276352	0.02525	0.0380428	0.0665323	0.139063	0.264627	0.438849
a14	0.0129218	0.0137168	0.0262636	0.0600336	0.143471	0.279588	0.464005
a30	0.0214016	0.0217301	0.0355606	0.0735053	0.155417	0.278143	0.414243
a57	0.027594	0.0242044	0.02725	0.0514397	0.124169	0.264743	0.480599
a87	0.0127582	0.0102456	0.00991555	0.0201731	0.0681431	0.229874	0.648891
</S>	0.0113196	0.00787177	0.00940022	0.0381785	0.126433	0.277678	0.529119
