 	je	suis	fatigué	</S>
a66	0.557585	0.198249	0.129674	0.114491
a87	0.515097	0.240599	0.130298	0.114006
a97	0.689583	0.203678	0.0616095	0.0451288
a38	0.689585	0.204002	0.0672953	0.0391177
a54	0.719673	0.188868	0.0577836	0.0336761
a92	0.625952	0.257542	0.0736645	0.0428411
a37	0.435036	0.3646	0.147839	0.0525254
a56	0.321676	0.322997	0.212229	0.143097
a75	0.243716	0.28126	0.248914	0.22611
a12	0.153668	0.21663	0.273826	0.355876
a96	0.126723	0.168833	0.26151	0.442935
a62	0.0908135	0.142602	0.272061	0.494523
a31	0.0573265	0.108113	0.269773	0.564787
a0	0.0199658	0.0534474	0.236398	0.690189
a21	0.0123254	0.0296983	0.166458	0.791519
a12	0.0184329	0.0529111	0.217851	0.710805
a18	0.0170793	0.0491747	0.198289	0.735457
a25	0.0106751	0.0286781	0.130516	0.830131
a97	0.0412116	0.0672776	0.153583	0.737927
a87	0.213823	0.141478	0.213815	0.430884
a97	0.4352	0.183315	0.160586	0.220899
</S>	0.242996	0.154412	0.19085	0.411742
