 	les	bananes	sont	mures	</S>
a87	0.167941	0.153063	0.159813	0.208707	0.310477
a23	0.300569	0.177274	0.124168	0.179083	0.218906
a87	0.307238	0.113774	0.0982868	0.205023	0.275678
a40	0.300306	0.0979644	0.083287	0.200452	0.317991
a73	0.128274	0.0910825	0.104726	0.23766	0.438257
a44	0.399612	0.22836	0.11725	0.10463	0.150148
a84	0.54821	0.253427	0.082337	0.0551868	0.0608394
a53	0.368107	0.295449	0.148682	0.0932586	0.0945028
a76	0.261599	0.26734	0.192765	0.141082	0.137214
a41	0.230781	0.242711	0.199328	0.1693	0.157879
a26	0.190883	0.271297	0.233404	0.159723	0.144694
a38	0.151843	0.252728	0.277093	0.16679	0.151545
a24	0.122373	0.230737	0.290417	0.185233	0.17124
a41	0.056473	0.118796	0.280345	0.279247	0.265138
a44	0.0430906	0.0956966	0.251307	0.308452	0.301454
a54	0.0425911	0.0730225	0.198393	0.331868	0.354126
a41	0.0347304	0.0589843	0.188362	0.338857	0.379067
a94	0.0289981	0.0572807	0.183611	0.339955	0.390155
a35	0.0235203	0.037947	0.133931	0.32427	0.480332
a41	0.0186743	0.032692	0.129485	0.333129	0.48602
a26	0.0272423	0.0401652	0.125365	0.300202	0.507025
a41	0.0173433	0.0167664	0.0693477	0.275539	0.621004
a94	0.0173085	0.0179112	0.0697228	0.2489	0.646157
a98	0.0150847	0.0147017	0.0586895	0.246908	0.664616
a24	0.0145919	0.016049	0.0727148	0.250091	0.646554
a12	0.00943845	0.00979253	0.052938	0.281353	0.646478
a18	0.0117259	0.0121621	0.0588517	0.312644	0.604617
a82	0.00712812	0.00825492	0.0503443	0.324811	0.609461
a87	0.0132169	0.0137138	0.0559913	0.32042	0.596658
</S>	0.0476966	0.0428607	0.0694611	0.263326	0.576656
