 	il	joue	du	balafon	</S>
a10	0.181281	0.158515	0.184334	0.260786	0.215084
a87	0.238935	0.208461	0.190555	0.212585	0.149464
a23	0.280354	0.270268	0.220949	0.161702	0.0667277
a79	0.239515	0.231647	0.245532	0.217788	0.0655183
a76	0.399208	0.27756	0.192788	0.0727983	0.0576458
a73	0.537272	0.259681	0.147781	0.0410503	0.0142156
a98	0.505131	0.271652	0.162347	0.0451239	0.0157453
a73	0.415766	0.274105	0.207666	0.0740342	0.0284287
a44	0.355783	0.258279	0.240433	0.101741	0.0437631
a38	0.30031	0.267282	0.265239	0.114767	0.0524016
a41	0.209426	0.227682	0.285734	0.174609	0.102549
a24	0.180771	0.218989	0.276074	0.185199	0.138967
a41	0.14154	0.194061	0.265336	0.22793	0.171133
a94	0.125003	0.168028	0.229926	0.247372	0.229671
a98	0.0722886	0.0979411	0.162648	0.315305	0.351817
a24	0.0662668	0.0831645	0.131334	0.289626	0.429609
a41	0.0466946	0.0778342	0.117679	0.253997	0.503795
a25	0.0557181	0.0857323	0.137325	0.260873	0.460352
a82	0.0445605	0.0771397	0.119792	0.233983	0.524524
a87	0.0158919	0.0384788	0.0752179	0.22292	0.647491
a23	0.0275058	0.054315	0.0934789	0.257951	0.566749
a97	0.106577	0.149868	0.175568	0.252771	0.315216
a87	0.0427933	0.100022	0.13836	0.25223	0.466594
a23	0.067978	0.134189	0.17243	0.267604	0.357799
a87	0.113975	0.169785	0.19794	0.254564	0.263736
a23	0.0560729	0.133432	0.181206	0.250935	0.378354
a87	0.124143	0.202024	0.195886	0.193871	0.284076
a23	0.0793578	0.16305	0.175151	0.205748	0.376693
a87	0.145332	0.220818	0.19067	0.166256	0.276924
a23	0.095904	0.173675	0.177208	0.207735	0.345477
a87	0.138656	0.199207	0.186695	0.186419	0.289023
a23	0.0938416	0.161751	0.155395	0.196965	0.392048
</S>	0.165774	0.225829	0.187528	0.160523	0.260345
